ratio,method,n_evaluated,n_skipped,T_total,CNOT_total,Anc_total,wallclock_s
0.1,rule,255,0,9920,8850,620,0.782
0.1,lgb,255,0,6898,6132,348,0.329
0.1,gnn,255,0,8440,7544,496,0.490
0.15,rule,255,0,9472,8469,592,0.207
0.15,lgb,255,0,4930,4465,190,0.350
0.15,gnn,255,0,7156,6508,400,0.517
0.2,rule,255,0,9472,8448,592,0.345
0.2,lgb,255,0,4445,4083,168,0.366
0.2,gnn,255,0,5788,5372,304,0.564
0.3,rule,255,0,9072,8105,560,0.441
0.3,lgb,255,0,3863,3635,136,0.484
0.3,gnn,255,0,3645,3553,146,0.724
0.5,rule,255,0,3588,3439,128,1.204
0.5,lgb,255,0,3490,3354,128,0.784
0.5,gnn,255,0,3280,3232,128,0.924
