ratio,method,n_evaluated,n_skipped,T_total,CNOT_total,Anc_total,wallclock_s
0.05,rule,100,0,14592,6384,912,2.570
0.05,lgb,100,0,5483,2682,271,3.240
0.05,gnn,100,0,5503,2698,274,3.380
0.1,rule,100,0,14592,6384,912,2.650
0.1,lgb,100,0,5396,2658,268,3.290
0.1,gnn,100,0,5435,2666,269,3.462
0.15,rule,100,0,14592,6384,912,4.033
0.15,lgb,100,0,5458,2658,269,3.341
0.15,gnn,100,0,5403,2666,268,3.557
0.2,rule,100,0,14592,6384,912,6.460
0.2,lgb,100,0,5443,2658,269,3.580
0.2,gnn,100,0,5379,2658,267,3.691
