correct,cost,func_id,method,n,preset,steps,time_s,truth_table_hex
True,14,0,sshr_h,3,main,7,0.000151,1
True,14,0,sshr_h_literal,3,main,7,0.000009,1
True,14,0,beam,3,main,7,0.000285,1
True,14,0,mcts_rollout,3,main,7,0.001007,1
True,14,0,xor_beam_rule,3,main,7,0.000264,1
True,14,0,xor_beam_v2,3,main,7,0.000116,1
True,14,0,xor_beam_best,3,main,7,0.000213,1
True,14,0,pv_greedy,3,main,1,0.000243,1
True,14,0,pv_greedy_lookahead,3,main,1,0.000202,1
True,14,0,pv_mcts,3,main,1,0.000314,1
True,14,1,sshr_h,3,main,5,0.000010,2
True,14,1,sshr_h_literal,3,main,5,0.000009,2
True,14,1,beam,3,main,5,0.000189,2
True,14,1,mcts_rollout,3,main,5,0.000884,2
True,14,1,xor_beam_rule,3,main,5,0.000026,2
True,14,1,xor_beam_v2,3,main,5,0.000093,2
True,14,1,xor_beam_best,3,main,5,0.000167,2
True,14,1,pv_greedy,3,main,1,0.000184,2
True,14,1,pv_greedy_lookahead,3,main,1,0.000173,2
True,14,1,pv_mcts,3,main,1,0.000322,2
True,6,2,sshr_h,3,main,5,0.000013,3
True,6,2,sshr_h_literal,3,main,5,0.000009,3
True,6,2,beam,3,main,5,0.000183,3
True,6,2,mcts_rollout,3,main,5,0.001131,3
True,6,2,xor_beam_rule,3,main,5,0.000048,3
True,6,2,xor_beam_v2,3,main,5,0.000190,3
True,6,2,xor_beam_best,3,main,5,0.000316,3
True,6,2,pv_greedy,3,main,1,0.000186,3
True,6,2,pv_greedy_lookahead,3,main,1,0.000181,3
True,6,2,pv_mcts,3,main,1,0.000345,3
True,14,3,sshr_h,3,main,5,0.000010,4
True,14,3,sshr_h_literal,3,main,5,0.000005,4
True,14,3,beam,3,main,5,0.000179,4
True,14,3,mcts_rollout,3,main,5,0.001683,4
True,14,3,xor_beam_rule,3,main,5,0.000093,4
True,14,3,xor_beam_v2,3,main,5,0.000237,4
True,14,3,xor_beam_best,3,main,5,0.000671,4
True,14,3,pv_greedy,3,main,1,0.000479,4
True,14,3,pv_greedy_lookahead,3,main,1,0.000449,4
True,14,3,pv_mcts,3,main,1,0.000707,4
True,6,4,sshr_h,3,main,5,0.000023,5
True,6,4,sshr_h_literal,3,main,5,0.000016,5
True,6,4,beam,3,main,5,0.000446,5
True,6,4,mcts_rollout,3,main,5,0.002060,5
True,6,4,xor_beam_rule,3,main,5,0.000114,5
True,6,4,xor_beam_v2,3,main,5,0.000474,5
True,6,4,xor_beam_best,3,main,5,0.000778,5
True,6,4,pv_greedy,3,main,1,0.000449,5
True,6,4,pv_greedy_lookahead,3,main,1,0.000447,5
True,6,4,pv_mcts,3,main,1,0.000996,5
True,8,5,sshr_h,3,main,5,0.000027,6
True,8,5,sshr_h_literal,3,main,5,0.000018,6
True,8,5,beam,3,main,5,0.002357,6
True,8,5,mcts_rollout,3,main,5,0.001121,6
True,8,5,xor_beam_rule,3,main,5,0.000057,6
True,8,5,xor_beam_v2,3,main,5,0.000195,6
True,8,5,xor_beam_best,3,main,5,0.000318,6
