correct,cost,func_id,method,n,preset,steps,time_s,truth_table_hex
True,14,0,sshr_h,3,smoke,7,0.000143,1
True,14,0,beam,3,smoke,7,0.000628,1
True,14,0,xor_beam_rule,3,smoke,7,0.000255,1
True,14,0,pv_greedy,3,smoke,1,0.000246,1
True,14,0,pv_greedy_lookahead,3,smoke,1,0.000194,1
True,14,0,pv_mcts,3,smoke,1,0.000321,1
True,17,1,sshr_h,3,smoke,8,0.000029,4A
True,20,1,beam,3,smoke,6,0.000243,4A
True,17,1,xor_beam_rule,3,smoke,8,0.000188,4A
True,20,1,pv_greedy,3,smoke,2,0.000205,4A
True,20,1,pv_greedy_lookahead,3,smoke,2,0.000205,4A
True,20,1,pv_mcts,3,smoke,2,0.000679,4A
True,14,2,sshr_h,3,smoke,5,0.000017,2
True,14,2,beam,3,smoke,5,0.000178,2
True,14,2,xor_beam_rule,3,smoke,5,0.000026,2
True,14,2,pv_greedy,3,smoke,1,0.000181,2
True,14,2,pv_greedy_lookahead,3,smoke,1,0.000174,2
True,14,2,pv_mcts,3,smoke,1,0.000285,2
True,3,3,sshr_h,3,smoke,5,0.000012,C3
True,3,3,beam,3,smoke,5,0.000211,C3
True,3,3,xor_beam_rule,3,smoke,5,0.000156,C3
True,3,3,pv_greedy,3,smoke,1,0.000187,C3
True,3,3,pv_greedy_lookahead,3,smoke,1,0.000211,C3
True,3,3,pv_mcts,3,smoke,1,0.000612,C3
True,6,4,sshr_h,3,smoke,5,0.000018,11
True,6,4,beam,3,smoke,5,0.000170,11
True,6,4,xor_beam_rule,3,smoke,5,0.000048,11
True,6,4,pv_greedy,3,smoke,1,0.000183,11
True,6,4,pv_greedy_lookahead,3,smoke,1,0.000179,11
True,6,4,pv_mcts,3,smoke,1,0.000343,11
True,10,5,sshr_h,3,smoke,5,0.000018,42
True,10,5,beam,3,smoke,5,0.000169,42
True,10,5,xor_beam_rule,3,smoke,5,0.000051,42
True,10,5,pv_greedy,3,smoke,1,0.000176,42
True,10,5,pv_greedy_lookahead,3,smoke,1,0.000177,42
True,10,5,pv_mcts,3,smoke,1,0.000342,42
True,9,6,sshr_h,3,smoke,6,0.000020,53
True,12,6,beam,3,smoke,8,0.000287,53
True,9,6,xor_beam_rule,3,smoke,6,0.000279,53
True,12,6,pv_greedy,3,smoke,2,0.000195,53
True,12,6,pv_greedy_lookahead,3,smoke,2,0.000208,53
True,12,6,pv_mcts,3,smoke,2,0.000883,53
True,9,7,sshr_h,3,smoke,10,0.000020,A6
True,14,7,beam,3,smoke,8,0.000241,A6
True,7,7,xor_beam_rule,3,smoke,4,0.000269,A6
True,14,7,pv_greedy,3,smoke,2,0.000183,A6
True,14,7,pv_greedy_lookahead,3,smoke,2,0.000207,A6
True,14,7,pv_mcts,3,smoke,2,0.000855,A6
True,15,8,sshr_h,3,smoke,8,0.000018,B
True,20,8,beam,3,smoke,8,0.000205,B
True,15,8,xor_beam_rule,3,smoke,8,0.000157,B
True,20,8,pv_greedy,3,smoke,2,0.000184,B
True,20,8,pv_greedy_lookahead,3,smoke,2,0.000207,B
True,20,8,pv_mcts,3,smoke,2,0.000637,B
True,14,9,sshr_h,3,smoke,3,0.000009,20
True,14,9,beam,3,smoke,3,0.000165,20
True,14,9,xor_beam_rule,3,smoke,3,0.000024,20
True,14,9,pv_greedy,3,smoke,1,0.000178,20
True,14,9,pv_greedy_lookahead,3,smoke,1,0.000173,20
True,14,9,pv_mcts,3,smoke,1,0.000289,20
True,15,10,sshr_h,3,smoke,8,0.000017,51
True,20,10,beam,3,smoke,8,0.000203,51
True,15,10,xor_beam_rule,3,smoke,8,0.000155,51
True,20,10,pv_greedy,3,smoke,2,0.000180,51
True,20,10,pv_greedy_lookahead,3,smoke,2,0.000186,51
True,20,10,pv_mcts,3,smoke,2,0.000669,51
True,9,11,sshr_h,3,smoke,8,0.000019,1B
True,12,11,beam,3,smoke,8,0.000237,1B
True,9,11,xor_beam_rule,3,smoke,8,0.000279,1B
True,16,11,pv_greedy,3,smoke,2,0.000191,1B
True,12,11,pv_greedy_lookahead,3,smoke,2,0.000207,1B
True,12,11,pv_mcts,3,smoke,2,0.000870,1B
True,15,12,sshr_h,3,smoke,10,0.000017,32
True,20,12,beam,3,smoke,8,0.000206,32
True,15,12,xor_beam_rule,3,smoke,10,0.000157,32
True,20,12,pv_greedy,3,smoke,2,0.000187,32
True,20,12,pv_greedy_lookahead,3,smoke,2,0.000188,32
True,20,12,pv_mcts,3,smoke,2,0.000636,32
True,6,13,sshr_h,3,smoke,3,0.000009,A
True,6,13,beam,3,smoke,3,0.000164,A
True,6,13,xor_beam_rule,3,smoke,3,0.000045,A
True,6,13,pv_greedy,3,smoke,1,0.000177,A
True,6,13,pv_greedy_lookahead,3,smoke,1,0.000176,A
True,6,13,pv_mcts,3,smoke,1,0.000342,A
True,17,14,sshr_h,3,smoke,12,0.000024,A4
True,20,14,beam,3,smoke,6,0.000243,A4
True,17,14,xor_beam_rule,3,smoke,12,0.000157,A4
True,20,14,pv_greedy,3,smoke,2,0.000198,A4
True,20,14,pv_greedy_lookahead,3,smoke,2,0.000188,A4
True,20,14,pv_mcts,3,smoke,2,0.000676,A4
True,10,15,sshr_h,3,smoke,7,0.000013,24
True,10,15,beam,3,smoke,7,0.000214,24
True,10,15,xor_beam_rule,3,smoke,7,0.000055,24
True,10,15,pv_greedy,3,smoke,1,0.000199,24
True,10,15,pv_greedy_lookahead,3,smoke,1,0.000193,24
True,10,15,pv_mcts,3,smoke,1,0.000353,24
