ratio,method,n_evaluated,n_skipped,T_total,CNOT_total,Anc_total,wallclock_s
0.1,rule,221,0,23907,10909,948,1.312
0.1,lgb,221,0,11388,6802,409,1.651
0.1,gnn,221,0,11919,6775,407,1.999
0.15,rule,221,0,11751,6501,396,3.508
0.15,lgb,221,0,8993,5976,301,2.155
0.15,gnn,221,0,9783,5928,308,3.693
0.2,rule,221,0,10693,5996,356,4.467
0.2,lgb,221,0,8181,5604,274,3.572
0.2,gnn,221,0,9306,5672,305,4.984
0.3,rule,221,0,10455,5757,356,6.763
0.3,lgb,221,0,7099,5267,240,5.081
0.3,gnn,221,0,8193,5345,276,6.369
0.5,rule,221,0,10455,5695,356,8.372
0.5,lgb,221,0,6197,4939,212,5.643
0.5,gnn,221,0,6815,5079,233,6.548
