reference_method,reference_display,candidate_method,scope,metric,competition_metric,metric_display,n_functions,n_seed_pairs,required_seeds,win_count,tie_count,loss_count,median_delta,median_delta_ci_low,median_delta_ci_high,median_relative_improvement_pct,median_relative_improvement_pct_ci_low,median_relative_improvement_pct_ci_high,rank_biserial,wilcoxon_p_raw,holm_family,holm_p_adjusted,holm_reject,global_holm_p_adjusted,global_holm_reject,claim_class,strict_significant_better
direct_anf,Direct-ANF,resource_nmcts[model-configured:6ba157fb9b55],logical,t_count,logic_T,T count,20,60,"[7,17,29]",17,3,0,-26.0,-192.0,-6.0,51.489028213166144,39.08045977011494,63.01169590643275,1.0,0.0002907605323283021,logical_primary,0.0005815210646566042,True,0.003779886920267927,True,strict_significant_better,True
direct_anf,Direct-ANF,resource_nmcts[model-configured:6ba157fb9b55],logical,cnot_count,logic_CNOT,CNOT count,20,60,"[7,17,29]",14,3,3,-9.5,-51.0,-3.0,16.590909090909093,4.854368932038835,23.733583489681052,0.8954248366013072,0.001178539646860598,logical_primary,0.001178539646860598,True,0.00927313835708687,True,strict_significant_better,True
direct_anf,Direct-ANF,resource_nmcts[model-configured:6ba157fb9b55],mapping,native_entangling_count,native_twoq_count,Native 2Q count,20,60,"[7,17,29]",14,3,3,-33.0,-234.0,-3.5,41.979655712050075,7.5,67.5183533807283,0.9150326797385621,0.0009192820523108241,mapping_primary,0.0018355127657806807,True,0.00927313835708687,True,strict_significant_better,True
direct_anf,Direct-ANF,resource_nmcts[model-configured:6ba157fb9b55],mapping,mapped_depth,mapped_depth,Mapped depth,20,60,"[7,17,29]",14,3,3,-70.0,-482.0,-5.5,45.232447817836814,6.111111111111111,71.71713596920287,0.9150326797385621,0.0009177563828903404,mapping_primary,0.0018355127657806807,True,0.00927313835708687,True,strict_significant_better,True
greedy_factor,Greedy-Factor,resource_nmcts[model-configured:6ba157fb9b55],logical,t_count,logic_T,T count,20,60,"[7,17,29]",15,5,0,-8.0,-54.0,-4.0,23.61111111111111,17.264957264957264,34.40860215053763,1.0,0.0006321520160876121,logical_primary,0.0012643040321752242,True,0.009482280241314181,True,strict_significant_better,True
greedy_factor,Greedy-Factor,resource_nmcts[model-configured:6ba157fb9b55],logical,cnot_count,logic_CNOT,CNOT count,20,60,"[7,17,29]",12,5,3,-9.0,-48.5,0.0,18.148646444879322,0.0,22.951505016722408,0.8916666666666667,0.002367181684514309,logical_primary,0.002367181684514309,True,0.028406180214171704,True,holm_supported_ci_touches_zero,False
greedy_factor,Greedy-Factor,resource_nmcts[model-configured:6ba157fb9b55],mapping,native_entangling_count,native_twoq_count,Native 2Q count,20,60,"[7,17,29]",12,5,3,-9.0,-35.5,0.0,16.077898550724637,0.0,22.796739684156904,0.8916666666666667,0.002367181684514309,mapping_primary,0.002367181684514309,True,0.028406180214171704,True,holm_supported_ci_touches_zero,False
greedy_factor,Greedy-Factor,resource_nmcts[model-configured:6ba157fb9b55],mapping,mapped_depth,mapped_depth,Mapped depth,20,60,"[7,17,29]",12,5,3,-17.5,-51.5,0.0,16.93058184089574,0.0,25.146652864044167,0.9,0.0008544921875,mapping_primary,0.001708984375,True,0.011962890625,True,holm_supported_ci_touches_zero,False
mcts_factor,MCTS-Factor,resource_nmcts[model-configured:6ba157fb9b55],logical,t_count,logic_T,T count,20,60,"[7,17,29]",15,5,0,-8.0,-52.0,-4.0,23.61111111111111,15.454877603215198,34.40860215053763,1.0,0.0006321520160876121,logical_primary,0.0012643040321752242,True,0.009482280241314181,True,strict_significant_better,True
mcts_factor,MCTS-Factor,resource_nmcts[model-configured:6ba157fb9b55],logical,cnot_count,logic_CNOT,CNOT count,20,60,"[7,17,29]",12,5,3,-9.0,-46.0,0.0,19.576511335012594,0.0,22.796739684156904,0.8916666666666667,0.002367181684514309,logical_primary,0.002367181684514309,True,0.028406180214171704,True,holm_supported_ci_touches_zero,False
