split,name,n,profile,term_count,oracle_depth,predicted_depth,correct_depth,depth2_score,depth2_T,depth2_CNOT,depth2_depth,depth2_ancilla,depth2_time_s,depth3_score,depth3_T,depth3_CNOT,depth3_depth,depth3_ancilla,depth3_time_s,depth4_score,depth4_T,depth4_CNOT,depth4_depth,depth4_ancilla,depth4_time_s,policy_score,policy_time_s,oracle_score,oracle_all_time_s
train,train_n16_0000_mixed,16,mixed,60,4,3,0,579.66,520,844,844,5,0.1023125829960918,558.04,500,816,816,5,0.3283835830006865,553.8199999999999,496,812,812,5,0.7023132079993957,558.04,0.3283835830006865,553.8199999999999,1.133009373996174
train,train_n16_0001_deep,16,deep,198,4,4,1,2361.715,2148,3403,3403,7,0.45925462499872083,2283.285,2076,3293,3293,7,1.6897849579981994,2217.9049999999997,2016,3201,3201,7,5.022722707995854,2217.9049999999997,5.022722707995854,2217.9049999999997,7.171762290992774
train,train_n16_0002_shallow,16,shallow,39,3,3,1,441.185,396,633,633,4,0.0020259580051060766,441.185,396,633,633,4,0.0019596249985625036,441.185,396,633,633,4,0.0019866669972543605,441.185,0.0019596249985625036,441.185,0.005972250000922941
train,train_n16_0003_mixed,16,mixed,130,4,4,1,1246.3049999999998,1128,1809,1809,6,0.25975499999913154,1207.1550000000002,1092,1755,1755,6,0.9779971669995575,1181.12,1068,1720,1720,6,2.834084875001281,1181.12,2.834084875001281,1181.12,4.07183704199997
train,train_n16_0004_deep,16,deep,137,4,4,1,1372.9099999999999,1244,1990,1990,6,0.28331145900301635,1300.895,1176,1887,1887,7,1.0494447500022943,1239.865,1120,1801,1801,7,3.0298204999999143,1239.865,3.0298204999999143,1239.865,4.362576709005225
train,train_n16_0005_shallow,16,shallow,56,4,4,1,286.3,256,444,444,2,0.09204658299859148,273.38,244,428,428,2,0.31870995899953414,269.225,240,425,425,2,0.7024016659997869,269.225,0.7024016659997869,269.225,1.1131582079979125
train,train_n16_0006_mixed,16,mixed,116,4,4,1,1239.695,1124,1799,1799,5,0.23144562500237953,1218.01,1104,1770,1770,5,0.8886102909964393,1205.0249999999999,1092,1753,1753,5,2.7008477920026053,1205.0249999999999,2.7008477920026053,1205.0249999999999,3.820903708001424
train,train_n16_0007_deep,16,deep,178,4,4,1,1608.125,1456,2349,2349,7,0.40305500000249594,1551.51,1404,2270,2270,7,1.4597964999993565,1507.8799999999999,1364,2208,2208,7,4.327124167000875,1507.8799999999999,4.327124167000875,1507.8799999999999,6.189975667002727
train,train_n16_0008_shallow,16,shallow,52,3,3,1,422.15,376,614,614,5,0.08357333300227765,417.995,372,611,611,5,0.2388379160038312,417.995,372,611,611,5,0.46344604199839523,417.995,0.2388379160038312,417.995,0.7858572910045041
train,train_n16_0009_mixed,16,mixed,89,4,4,1,507.27,452,766,766,5,0.167076999998244,485.58500000000004,432,737,737,5,0.6047355420014355,463.835,412,707,707,5,1.7505157920022612,463.835,1.7505157920022612,463.835,2.5223283340019407
train,train_n16_0010_deep,16,deep,186,4,4,1,2232.565,2028,3213,3213,8,0.429265166996629,2167.25,1968,3122,3122,8,1.5656648329968448,2115.05,1920,3050,3050,8,4.736197500002163,2115.05,4.736197500002163,2115.05,6.731127499995637
train,train_n16_0011_shallow,16,shallow,30,2,3,0,277.78000000000003,248,404,404,3,0.0031114160010474734,277.78000000000003,248,404,404,3,0.003126417002931703,277.78000000000003,248,404,404,3,0.0031374169993796386,277.78000000000003,0.003126417002931703,277.78000000000003,0.009375250003358815
train,train_n16_0012_mixed,16,mixed,154,4,4,1,1254.435,1136,1843,1843,5,0.3404066670045722,1184.77,1072,1746,1746,5,1.1820417920025648,1136.855,1028,1679,1679,5,3.4393739579973044,1136.855,3.4393739579973044,1136.855,4.961822417004441
train,train_n16_0013_deep,16,deep,209,4,4,1,1972.955,1792,2875,2875,6,0.45198191599774873,1883.215,1708,2743,2743,7,1.6519778330039117,1804.7849999999999,1636,2633,2633,7,4.790805917000398,1804.7849999999999,4.790805917000398,1804.7849999999999,6.894765666002058
train,train_n16_0014_shallow,16,shallow,54,3,3,1,542.34,488,788,788,4,0.00587012500182027,542.34,488,788,788,4,0.0057293339996249415,542.34,488,788,788,4,0.00598675000219373,542.34,0.0057293339996249415,542.34,0.017586209003638942
train,train_n16_0015_mixed,16,mixed,125,4,4,1,994.005,896,1461,1461,6,0.2749005829973612,948.025,852,1393,1393,7,0.9506622919943766,895.8249999999999,804,1321,1321,7,2.742160165995301,895.8249999999999,2.742160165995301,895.8249999999999,3.967723040987039
train,train_n16_0016_deep,16,deep,125,4,4,1,1145.7749999999999,1032,1663,1663,8,0.25028083300276194,1089.29,980,1586,1586,8,0.9331719590045395,1045.725,940,1525,1525,8,2.7223520830011694,1045.725,2.7223520830011694,1045.725,3.905804875008471
train,train_n16_0017_shallow,16,shallow,71,4,3,0,519.5649999999999,468,773,773,3,0.12428370799898403,502.295,452,751,751,3,0.46903316699899733,489.37499999999994,440,735,735,3,1.3633689579946804,502.295,0.46903316699899733,489.37499999999994,1.9566858329926617
train,train_n16_0018_mixed,16,mixed,80,4,4,1,476.04,424,712,712,5,0.14388641700497828,458.705,408,689,689,5,0.5232925419986714,441.435,392,667,667,5,1.4942831250009476,441.435,1.4942831250009476,441.435,2.1614620840045973
train,train_n16_0019_deep,16,deep,110,4,4,1,1021.4549999999999,920,1487,1487,7,0.22387833300308557,990.9399999999999,892,1444,1444,7,0.831383625001763,949.57,852,1386,1386,8,2.43102054100018,949.57,2.43102054100018,949.57,3.4862824990050285
train,train_n16_0020_shallow,16,shallow,41,4,3,0,476.115,428,683,683,4,0.002363208004680928,476.115,428,683,683,4,0.002410250002867542,476.115,428,683,683,4,0.002342624997254461,476.115,0.002410250002867542,476.115,0.007116083004802931
train,train_n16_0021_mixed,16,mixed,123,4,4,1,967.71,872,1422,1422,6,0.25130045900004916,906.6800000000001,816,1336,1336,6,0.9147617080016062,863.115,776,1275,1275,6,2.6297245000023395,863.115,2.6297245000023395,863.115,3.795786667003995
train,train_n16_0022_deep,16,deep,208,4,4,1,2347.3150000000005,2136,3395,3395,6,0.467650082995533,2273.1699999999996,2068,3290,3290,6,1.7616491669978132,2201.1549999999997,2000,3187,3187,7,5.262969834002433,2201.1549999999997,5.262969834002433,2201.1549999999997,7.4922690839957795
train,train_n16_0023_shallow,16,shallow,70,4,4,1,571.415,512,839,839,5,0.12086454200471053,554.145,496,817,817,5,0.33389879199967254,549.99,492,814,814,5,0.5846517499958281,549.99,0.5846517499958281,549.99,1.0394150840002112
train,train_n16_0024_mixed,16,mixed,74,4,4,1,436.76,388,656,656,5,0.12960800000291783,415.20500000000004,368,629,629,5,0.48400450000190176,397.87,352,606,606,5,1.402549166996323,397.87,1.402549166996323,397.87,2.0161616670011426
train,train_n16_0025_deep,16,deep,150,4,4,1,1469.7799999999997,1332,2140,2140,6,0.32715883299533743,1400.18,1268,2044,2044,6,1.2320764579999377,1356.6149999999998,1228,1983,1983,6,3.684558333006862,1356.6149999999998,3.684558333006862,1356.6149999999998,5.243793624002137
train,train_n16_0026_shallow,16,shallow,53,4,3,0,317.88,280,472,472,5,0.08789987499767449,313.725,276,469,469,5,0.30783754200092517,309.57,272,466,466,5,0.7443973330009612,313.725,0.30783754200092517,309.57,1.1401347499995609
train,train_n16_0027_mixed,16,mixed,150,4,4,1,1393.3100000000002,1264,2030,2030,5,0.30693937499745516,1364.925,1236,1989,1989,6,1.136524333996931,1338.825,1212,1953,1953,6,3.324111958994763,1338.825,3.324111958994763,1338.825,4.767575667989149
train,train_n16_0028_deep,16,deep,121,4,4,1,948.4000000000001,856,1399,1400,5,0.25328874999831896,913.5999999999999,824,1351,1352,5,0.9467795829987153,878.8,792,1303,1304,5,2.770285207996494,878.8,2.770285207996494,878.8,3.9703535409935284
train,train_n16_0029_shallow,16,shallow,57,3,3,1,490.465,440,721,721,4,0.08601962500688387,486.31,436,718,718,4,0.176541291999456,486.31,436,718,718,4,0.22561591699923156,486.31,0.176541291999456,486.31,0.48817683400557144
train,train_n16_0030_mixed,16,mixed,124,4,4,1,1127.05,1020,1650,1650,5,0.25426058399898466,1092.25,988,1602,1602,5,0.9724546669967822,1057.45,956,1554,1554,5,2.918633458997647,1057.45,2.918633458997647,1057.45,4.145348709993414
train,train_n16_0031_deep,16,deep,187,4,4,1,1767.53,1604,2578,2578,6,0.41144891600561095,1721.615,1560,2511,2511,7,1.5667633750053938,1673.7,1516,2444,2444,7,4.698666625001351,1673.7,4.698666625001351,1673.7,6.676878916012356
train,train_n20_0000_deep,20,deep,175,4,4,1,1919.0,1744,2776,2776,6,0.538977749994956,1875.565,1704,2717,2717,6,2.09285825000552,1845.18,1676,2676,2676,6,6.351552708998497,1845.18,6.351552708998497,1845.18,8.983388708998973
train,train_n20_0001_shallow,20,shallow,51,3,3,1,398.335,356,583,583,4,0.10253191700030584,394.44,352,584,584,4,0.2638482920010574,394.44,352,584,584,4,0.45319825000478886,394.44,0.2638482920010574,394.44,0.8195784590061521
train,train_n20_0002_mixed,20,mixed,110,4,4,1,839.0,756,1239,1240,5,0.3100765830022283,801.915,720,1186,1187,6,1.1962014169985196,758.48,680,1127,1128,6,3.586067834003188,758.48,3.586067834003188,758.48,5.092345834003936
train,train_n20_0003_deep,20,deep,256,4,4,1,2859.71,2604,4150,4150,6,0.8700790420043631,2776.9300000000003,2528,4034,4034,6,3.4164210410017404,2707.135,2464,3935,3935,6,10.505566040999838,2707.135,10.505566040999838,2707.135,14.792066124005942
