split,name,n,term_count,oracle_depth,predicted_depth,correct_depth,single_score,single_T,single_CNOT,single_depth,single_ancilla,single_time_s,depth1_score,depth1_T,depth1_CNOT,depth1_depth,depth1_ancilla,depth1_time_s,depth2_score,depth2_T,depth2_CNOT,depth2_depth,depth2_ancilla,depth2_time_s,policy_score,policy_time_s,oracle_score,oracle_all_time_s
train,train_n14_0000_shallow,14,52,1,1,1,1006.4599999999999,972,544,544,2,0.002314708999620052,985.5999999999999,952,528,528,2,0.010903042002610164,985.5999999999999,952,528,528,2,0.022933207997994032,985.5999999999999,0.010903042002610164,985.5999999999999,0.03615095900022425
train,train_n14_0001_mixed,14,77,2,2,1,976.11,928,752,752,3,0.0038162499986356124,908.81,860,728,728,4,0.02505104199735797,871.17,824,698,698,4,0.11241074999998091,871.17,0.11241074999998091,871.17,0.1412780419959745
train,train_n14_0002_shallow,14,44,1,1,1,764.605,736,439,439,2,0.0019182079995516688,756.1850000000001,728,431,431,2,0.005448707997857127,756.1850000000001,728,431,431,2,0.008609042000898626,756.1850000000001,0.005448707997857127,756.1850000000001,0.015975957998307422
train,train_n14_0003_deep,14,148,2,2,1,2339.79,2244,1572,1572,4,0.008341958000528393,2191.25,2100,1490,1490,4,0.05634612499852665,2054.71,1968,1408,1408,4,0.2668022090001614,2054.71,0.2668022090001614,2054.71,0.3314902919992164
train,train_n14_0004_shallow,14,64,2,1,0,1105.19,1064,628,628,3,0.003179875002388144,1067.5500000000002,1028,598,598,3,0.01982674999817391,1015.25,976,592,592,3,0.0937452910002321,1067.5500000000002,0.01982674999817391,1015.25,0.11675191600079415
train,train_n14_0005_mixed,14,155,2,2,1,3044.79,2948,1624,1624,3,0.00842370800091885,2892.6099999999997,2800,1548,1548,3,0.058231167000485584,2776.37,2688,1472,1472,3,0.26352454199877684,2776.37,0.26352454199877684,2776.37,0.3301794170001813
train,train_n14_0006_mixed,14,119,2,2,1,2197.33,2120,1276,1276,3,0.006353707998641767,2092.5699999999997,2020,1190,1190,3,0.04296562499803258,1994.03,1924,1144,1144,3,0.20143649999954505,1994.03,0.20143649999954505,1994.03,0.2507558329962194
train,train_n14_0007_deep,14,105,2,2,1,2083.72,2016,1104,1104,3,0.0055204999989655335,2005.52,1940,1064,1064,3,0.03677366700139828,1921.1,1856,1020,1020,4,0.17060020800272468,1921.1,0.17060020800272468,1921.1,0.2128943750030885
train,train_n14_0008_shallow,14,49,2,1,0,500.56999999999994,472,402,402,3,0.0022561250007129274,475.37,448,380,380,3,0.014286792000348214,458.85,432,370,370,3,0.06037633300002199,475.37,0.014286792000348214,458.85,0.07691925000108313
train,train_n14_0009_mixed,14,69,2,2,1,712.2199999999999,672,610,610,3,0.003263041999161942,674.58,636,580,580,3,0.021104166000441182,645.04,608,552,552,3,0.09564487500028918,645.04,0.09564487500028918,645.04,0.1200120829998923
train,train_n14_0010_mixed,14,155,2,2,1,3440.4,3332,1798,1798,4,0.008430207999481354,3287.9599999999996,3184,1718,1718,4,0.058605999998690095,3148.2,3048,1650,1650,4,0.2710807500006922,3148.2,0.2710807500006922,3148.2,0.33811695799886365
train,train_n14_0011_deep,14,250,2,2,1,6349.884999999999,6164,3155,3155,5,0.014741749997483566,6033.445,5856,3003,3003,5,0.10085941600118531,5758.464999999999,5588,2877,2877,5,0.47418854200077476,5758.464999999999,0.47418854200077476,5758.464999999999,0.5897897079994436
train,train_n14_0012_mixed,14,100,2,2,1,1498.375,1436,1007,1007,3,0.005230708997260081,1406.955,1348,945,945,3,0.03437708300043596,1336.535,1280,901,901,3,0.15675012499923469,1336.535,0.15675012499923469,1336.535,0.19635791699693073
train,train_n14_0013_mixed,14,101,2,2,1,1441.6200000000001,1380,994,994,3,0.005296209001244279,1288.22,1232,896,896,3,0.035284834000776755,1181.9,1128,854,854,3,0.148290042001463,1181.9,0.148290042001463,1181.9,0.18887108500348404
train,train_n14_0014_deep,14,149,2,2,1,3053.39,2952,1672,1672,4,0.008131624999805354,2899.85,2804,1572,1572,4,0.055670541998551926,2783.75,2692,1498,1498,4,0.2536987080020481,2783.75,0.2536987080020481,2783.75,0.31750087500040536
train,train_n14_0015_mixed,14,70,2,2,1,1367.95,1320,750,750,3,0.0034232500001962762,1321.6299999999999,1276,708,708,3,0.022355124998284737,1272.33,1228,684,684,3,0.10582570800033864,1272.33,0.10582570800033864,1272.33,0.13160408299881965
train,train_n14_0016_deep,14,194,2,2,1,3912.24,3788,2080,2080,4,0.01087270900097792,3649.1400000000003,3532,1952,1952,4,0.10018054200190818,3475.26,3364,1846,1846,4,0.34189975000117556,3475.26,0.34189975000117556,3475.26,0.45295300100406166
train,train_n14_0017_shallow,14,50,2,2,1,493.525,464,455,455,2,0.0023082500010787044,460.22499999999997,432,431,431,2,0.014273207998485304,439.36500000000007,412,415,415,2,0.06505979199937428,439.36500000000007,0.06505979199937428,439.36500000000007,0.08164124999893829
train,train_n14_0018_shallow,14,61,2,2,1,1272.3600000000001,1228,686,686,3,0.0028649169980781153,1239.0600000000002,1196,662,662,3,0.013431167000817368,1218.2,1176,646,646,3,0.03266124999936437,1218.2,0.03266124999936437,1218.2,0.048957333998259855
train,train_n14_0019_deep,14,155,2,2,1,3253.235,3148,1777,1777,3,0.008609249998698942,3084.4549999999995,2984,1691,1691,3,0.05897970799924224,2968.475,2872,1619,1619,3,0.27520108300086576,2968.475,0.27520108300086576,2968.475,0.34279004099880694
train,train_n14_0020_deep,14,151,2,2,1,2639.065,2544,1557,1557,4,0.008299749999423511,2449.305,2360,1453,1453,4,0.0576660830010951,2321.205,2236,1379,1379,4,0.2645687500007625,2321.205,0.2645687500007625,2321.205,0.33053458300128113
train,train_n14_0021_mixed,14,134,2,2,1,2465.21,2384,1344,1344,3,0.007448750002367888,2368.23,2288,1290,1290,4,0.05062412500046776,2265.03,2188,1232,1232,4,0.23098054100046284,2265.03,0.23098054100046284,2265.03,0.2890534160032985
train,train_n14_0022_mixed,14,122,2,2,1,2383.795,2308,1249,1249,3,0.006717458996718051,2207.595,2136,1173,1173,3,0.04324879100022372,2112.955,2044,1125,1125,3,0.1962594579999859,2112.955,0.1962594579999859,2112.955,0.24622570799692767
train,train_n14_0023_shallow,14,43,0,0,1,526.25,504,360,360,1,0.001823250000597909,526.25,504,360,360,1,0.005072040999948513,526.25,504,360,360,1,0.005078833000879968,526.25,0.001823250000597909,526.25,0.01197412400142639
train,train_n14_0024_shallow,14,35,1,2,0,593.215,568,343,343,3,0.001610832998267142,560.695,536,333,333,3,0.004495042001508409,560.695,536,333,333,3,0.005549958001211053,560.695,0.005549958001211053,560.695,0.011655833000986604
train,train_n14_0025_deep,14,147,2,2,1,2981.4500000000003,2880,1674,1674,4,0.008486750000884058,2771.6900000000005,2676,1570,1570,4,0.05907162500079721,2573.83,2484,1464,1464,4,0.2592660000009346,2573.83,0.2592660000009346,2573.83,0.32682437500261585
train,train_n14_0026_mixed,14,66,2,2,1,816.65,776,618,618,3,0.0032053340000857133,742.79,704,584,584,3,0.020757207999849925,700.81,664,548,548,3,0.09357924999858369,700.81,0.09357924999858369,700.81,0.11754179199851933
train,train_n14_0027_deep,14,182,2,2,1,3684.0649999999996,3560,2115,2115,3,0.010516000002098735,3490.605,3372,2017,2017,3,0.07145754199882504,3310.3849999999998,3196,1905,1905,4,0.3234650420017715,3310.3849999999998,0.3234650420017715,3310.3849999999998,0.4054385840026953
train,train_n14_0028_deep,14,190,2,2,1,4566.825,4432,2309,2309,3,0.010866332999285078,4339.6050000000005,4212,2179,2179,3,0.07560558300247067,4161.065,4036,2097,2097,4,0.3515259159976267,4161.065,0.3515259159976267,4161.065,0.43799783199938247
train,train_n14_0029_mixed,14,120,2,2,1,1738.33,1664,1222,1222,3,0.006632290998823009,1601.55,1532,1136,1136,3,0.04463716699683573,1508.1299999999999,1440,1074,1074,4,0.23238525000124355,1508.1299999999999,0.23238525000124355,1508.1299999999999,0.2836547079969023
train,train_n14_0030_deep,14,183,2,2,1,3766.2250000000004,3644,2045,2045,4,0.010548957998253172,3605.2449999999994,3488,1955,1955,4,0.07244633400114253,3493.4849999999997,3380,1887,1887,4,0.33334204200218664,3493.4849999999997,0.33334204200218664,3493.4849999999997,0.41633733400158235
train,train_n14_0031_mixed,14,89,2,2,1,1483.18,1428,878,878,3,0.004769709001266165,1407.4400000000003,1356,810,810,3,0.03034999999727006,1361.9,1312,782,782,3,0.1392655410018051,1361.9,0.1392655410018051,1361.9,0.17438525000034133
train,train_n14_0032_shallow,14,62,2,1,0,1158.8649999999998,1116,659,659,3,0.0029829590021108743,1138.005,1096,643,643,3,0.019309582999994745,1117.145,1076,627,627,3,0.09273487500104238,1138.005,0.019309582999994745,1117.145,0.115027417003148
train,train_n14_0033_mixed,14,88,2,2,1,1502.4499999999998,1444,902,902,4,0.004489208000450162,1382.79,1328,836,836,4,0.02936187500017695,1316.71,1264,798,798,4,0.1300834579997172,1316.71,0.1300834579997172,1316.71,0.16393454100034432
train,train_n14_0034_deep,14,224,2,2,1,5359.325,5200,2713,2713,4,0.013156417000573128,5132.244999999999,4980,2585,2585,4,0.088813582999137,4931.365,4784,2497,2497,4,0.41576208299738937,4931.365,0.41576208299738937,4931.365,0.5177320829970995
train,train_n14_0035_shallow,14,75,2,2,1,1124.28,1080,683,684,3,0.0037232920003589243,1078.86,1036,657,658,3,0.024426500000117812,1033.44,992,631,632,3,0.10827154200160294,1033.44,0.10827154200160294,1033.44,0.13642133400207967
train,train_n14_0036_mixed,14,60,2,2,1,888.74,852,548,548,3,0.0029452079979819246,831.66,796,528,528,3,0.017734125001879875,798.68,764,510,510,3,0.08274004199847695,798.68,0.08274004199847695,798.68,0.10341937499833875
train,train_n14_0037_deep,14,114,2,2,1,2531.6349999999998,2448,1355,1355,4,0.006304624999756925,2408.2149999999997,2328,1293,1293,4,0.04126208299931022,2294.915,2216,1233,1233,5,0.19467962499766145,2294.915,0.19467962499766145,2294.915,0.2422463329967286
train,train_n14_0038_deep,14,87,2,2,1,1184.34,1128,900,900,3,0.004593834000843344,1087.68,1036,816,816,3,0.029569624999567168,1019.5999999999999,968,778,778,4,0.13210225000148057,1019.5999999999999,0.13210225000148057,1019.5999999999999,0.16626570900189108
train,train_n14_0039_shallow,14,36,1,2,0,772.67,744,442,442,2,0.001617124999029329,772.67,744,442,442,2,0.0016024590004235506,772.67,744,442,442,2,0.0016038750000006985,772.67,0.0016038750000006985,772.67,0.004823458999453578
train,train_n14_0040_mixed,14,89,2,2,1,1828.9899999999998,1768,984,984,3,0.004537000000709668,1693.35,1636,918,918,3,0.02992012499817065,1561.7099999999998,1508,852,852,3,0.13783745899854694,1561.7099999999998,0.13783745899854694,1561.7099999999998,0.17229458399742725
train,train_n14_0041_deep,14,222,2,2,1,4343.065,4204,2381,2381,3,0.012456082997232443,4078.265,3948,2187,2187,4,0.08595208400220145,3848.725,3724,2087,2087,4,0.3909614589974808,3848.725,0.3909614589974808,3848.725,0.4893696259969147
train,train_n14_0042_deep,14,106,2,2,1,1901.465,1832,1099,1099,4,0.005578125001193257,1753.365,1688,1025,1025,4,0.03721075000066776,1680.285,1616,1005,1005,4,0.16556170799958636,1680.285,0.16556170799958636,1680.285,0.20835058300144738
train,train_n14_0043_shallow,14,40,1,2,0,562.4,536,364,364,3,0.0018154589997720905,504.88,480,336,336,3,0.008063332999881823,504.88,480,336,336,3,0.01904462499805959,504.88,0.01904462499805959,504.88,0.028923416997713502
train,train_n14_0044_deep,14,112,2,2,1,2095.2099999999996,2024,1166,1166,3,0.005960500002402114,1963.55,1896,1100,1100,3,0.03847424999912619,1846.67,1784,1012,1012,3,0.17293887499909033,1846.67,0.17293887499909033,1846.67,0.21737362500061863
train,train_n14_0045_shallow,14,62,2,2,1,1014.335,976,613,613,2,0.00284299999839277,967.035,928,589,589,3,0.018692959001782583,946.175,908,573,573,3,0.08625216699874727,946.175,0.08625216699874727,946.175,0.10778812599892262
train,train_n14_0046_shallow,14,75,2,2,1,1263.815,1216,747,747,3,0.003787207999266684,1185.615,1140,707,707,3,0.024956249999377178,1151.7350000000001,1108,673,673,3,0.10806245800267789,1151.7350000000001,0.10806245800267789,1151.7350000000001,0.13680591600132175
train,train_n14_0047_deep,14,226,2,2,1,5597.095,5432,2817,2817,4,0.013102499997330597,5267.995,5112,2653,2653,4,0.09014350000143168,5046.455,4896,2553,2553,4,0.4208157499997469,5046.455,0.4208157499997469,5046.455,0.5240617499985092
train,train_n14_0048_mixed,14,56,2,2,1,870.34,836,506,506,3,0.002663250001205597,837.04,804,482,482,3,0.01679800000056275,821.3000000000001,788,486,486,3,0.06995891599945026,821.3000000000001,0.06995891599945026,821.3000000000001,0.0894201660012186
