dataset,index,name,preset_name,n,anf_terms,method,flow,T,CNOT,depth,gates,explicit_ancilla,peak_ancilla,n_qubits,score,correct,source_blif_correct,verilog_correct,time_s,abc_time_s,cirkit_time_s,verify_time_s,aig_gates,aig_level,mc_size,mc_depth,cirkit_commit,abc_binary,cirkit_binary,source_manifest,skipped,error,aig_inputs,aig_outputs
highdim,0,anf_n14_0,anf_n14_0,14,11,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",296,445,79,149,74,74,89,464.475,True,True,True,0.31896424293518066,0.04041695594787598,0.10612010955810547,0.07599401473999023,74,13,74,13,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/highdim_resource_external_seed42,,,14,1
highdim,1,anf_n14_1,anf_n14_1,14,3,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",56,85,49,29,14,14,29,88.425,True,True,True,0.2863907814025879,0.03852200508117676,0.08115100860595703,0.07602596282958984,14,8,14,8,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/highdim_resource_external_seed42,,,14,1
highdim,10,anf_n14_10,anf_n14_10,14,985,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",41804,62707,313,20903,10451,10451,10466,65428.005,True,True,True,4.348457098007202,0.055098772048950195,4.0774781703948975,0.12038397789001465,10451,52,10451,52,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/highdim_resource_external_seed42,,,14,1
highdim,11,anf_n14_11,anf_n14_11,14,267,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",39332,58999,283,19667,9833,9833,9848,61558.875,True,True,True,3.9471940994262695,0.04964613914489746,3.6795880794525146,0.12249517440795898,9833,47,9833,47,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/highdim_resource_external_seed42,,,14,1
highdim,12,anf_n14_12,anf_n14_12,14,246,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",36140,54211,253,18071,9035,9035,9050,56562.945,True,True,True,3.570606231689453,0.04980587959289551,3.3092379570007324,0.11807894706726074,9035,42,9035,42,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/highdim_resource_external_seed42,,,14,1
highdim,13,anf_n14_13,anf_n14_13,14,766,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",42076,63115,325,21039,10519,10519,10534,65853.86499999999,True,True,True,4.380842924118042,0.05550503730773926,4.105036735534668,0.12415719032287598,10519,54,10519,54,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/highdim_resource_external_seed42,,,14,1
highdim,14,anf_n14_14,anf_n14_14,14,14,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",648,973,91,325,162,162,177,1015.535,True,True,True,0.34319329261779785,0.0409698486328125,0.1293351650238037,0.07649469375610352,162,15,162,15,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/highdim_resource_external_seed42,,,14,1
highdim,15,anf_n14_15,anf_n14_15,14,2,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",20,31,19,11,5,5,20,31.634999999999998,True,True,True,0.2764437198638916,0.03791308403015137,0.07807517051696777,0.07495594024658203,5,3,5,3,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/highdim_resource_external_seed42,,,14,1
highdim,16,anf_n14_16,anf_n14_16,14,30,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",10236,15355,151,5119,2559,2559,2574,16021.655,True,True,True,2.295865297317505,0.0423130989074707,2.075261116027832,0.0859079360961914,2559,25,2559,25,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/highdim_resource_external_seed42,,,14,1
highdim,17,anf_n14_17,anf_n14_17,14,89,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",28848,43273,223,14425,7212,7212,7227,45150.515,True,True,True,3.159080982208252,0.046668052673339844,2.9109418392181396,0.10785079002380371,7212,37,7212,37,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/highdim_resource_external_seed42,,,14,1
highdim,18,anf_n14_18,anf_n14_18,14,790,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",42092,63139,343,21047,10523,10523,10538,65879.17499999999,True,True,True,4.383373975753784,0.05621790885925293,4.104913949966431,0.12671399116516113,10523,57,10523,57,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/highdim_resource_external_seed42,,,14,1
highdim,19,anf_n14_19,anf_n14_19,14,56,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",24248,36373,229,12125,6062,6062,6077,37951.604999999996,True,True,True,2.536841869354248,0.04641413688659668,2.2937662601470947,0.10298395156860352,6062,38,6062,38,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/highdim_resource_external_seed42,,,14,1
highdim,2,anf_n14_2,anf_n14_2,14,1010,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",42216,63325,295,21109,10554,10554,10569,66072.515,True,True,True,4.339272975921631,0.054609060287475586,4.068144798278809,0.12043166160583496,10554,49,10554,49,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/highdim_resource_external_seed42,,,14,1
highdim,20,anf_n14_20,anf_n14_20,14,1018,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",41956,62935,289,20979,10489,10489,10504,65665.525,True,True,True,4.273066997528076,0.05333399772644043,3.9984817504882812,0.12281513214111328,10489,48,10489,48,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/highdim_resource_external_seed42,,,14,1
