name,n,esop_10s,esop_30s
parity_n5,5,0.4,0.4
majority_n5,5,87.48,87.48
threshold2_n5,5,71.99,71.99
parity_n6,6,0.48,0.48
majority_n6,6,244.24,200.9
threshold3_n6,6,320.76,206.2
mux_2_4,6,38.08,38.08
adder_carry_w3,6,80.04,80.04
mul_w3_bit2,6,30.96,30.96
truth_n5_0,5,49.32,49.32
truth_n5_1,5,60.26,60.26
truth_n5_2,5,78.2,78.16
truth_n5_3,5,69.25,69.25
truth_n5_4,5,71.87,71.87
truth_n5_5,5,69.08,69.08
truth_n5_6,5,53.89,53.89
truth_n5_7,5,55.68,55.68
truth_n5_8,5,69.28,69.28
truth_n5_9,5,62.66,62.66
truth_n5_10,5,58.38,58.38
truth_n5_11,5,67.19,67.19
truth_n5_12,5,60.36,60.36
truth_n5_13,5,64.5,64.5
truth_n5_14,5,62.93,62.93
truth_n5_15,5,51.18,51.18
truth_n5_16,5,55.74,55.74
truth_n5_17,5,53.74,53.74
truth_n5_18,5,44.71,44.71
truth_n5_19,5,53.93,53.93
truth_n5_20,5,67.26,67.26
truth_n5_21,5,58.38,58.38
truth_n5_22,5,64.79,64.79
truth_n5_23,5,69.2,69.2
truth_n5_24,5,58.38,58.38
truth_n5_25,5,51.18,51.18
truth_n5_26,5,69.26,69.26
truth_n5_27,5,60.36,60.36
truth_n5_28,5,71.87,71.58
truth_n5_29,5,62.79,62.79
truth_n5_30,5,51.25,51.25
truth_n5_31,5,58.44,58.44
truth_n5_32,5,62.94,62.94
truth_n5_33,5,69.26,69.26
truth_n5_34,5,63.02,63.02
truth_n5_35,5,73.96,73.96
truth_n5_36,5,60.12,60.12
truth_n5_37,5,29.34,29.34
truth_n5_38,5,64.71,64.71
truth_n5_39,5,64.8,64.8
truth_n5_40,5,60.38,60.38
truth_n5_41,5,49.11,49.11
truth_n5_42,5,62.91,62.91
truth_n5_43,5,64.82,64.82
truth_n5_44,5,44.87,44.87
truth_n5_45,5,64.98,64.98
truth_n5_46,5,64.74,64.74
truth_n5_47,5,69.34,69.34
truth_n5_48,5,69.26,69.26
truth_n5_49,5,62.91,62.91
truth_n5_50,5,73.7,73.7
truth_n5_51,5,69.23,69.23
truth_n5_52,5,69.37,69.37
truth_n5_53,5,60.32,60.32
truth_n5_54,5,62.53,62.53
truth_n5_55,5,58.29,58.29
truth_n5_56,5,60.14,60.14
truth_n5_57,5,64.68,64.68
truth_n5_58,5,42.62,42.62
truth_n5_59,5,69.32,69.32
truth_n5_60,5,69.31,69.31
truth_n5_61,5,49.33,49.33
truth_n5_62,5,64.96,64.96
truth_n5_63,5,69.22,69.22
truth_n6_0,6,309.62,296.5
truth_n6_1,6,299.0,237.74
truth_n6_2,6,354.32,262.9
truth_n6_3,6,265.28,265.28
truth_n6_4,6,376.54,318.86
truth_n6_5,6,295.94,287.4
truth_n6_6,6,300.84,273.74
truth_n6_7,6,309.28,264.2
truth_n6_8,6,322.68,233.44
truth_n6_9,6,331.58,273.74
truth_n6_10,6,345.2,305.06
truth_n6_11,6,300.3,287.4
truth_n6_12,6,336.12,231.46
truth_n6_13,6,340.62,264.84
truth_n6_14,6,251.24,136.82
truth_n6_15,6,300.1,174.46
truth_n6_16,6,352.6,323.22
truth_n6_17,6,268.68,202.2
truth_n6_18,6,341.48,237.92
truth_n6_19,6,313.78,238.04
truth_n6_20,6,266.6,251.38
truth_n6_21,6,322.92,237.9
truth_n6_22,6,376.42,283.12
truth_n6_23,6,340.42,310.44
truth_n6_24,6,372.48,246.52
truth_n6_25,6,127.84,127.84
truth_n6_26,6,332.1,305.14
truth_n6_27,6,290.88,233.42
truth_n6_28,6,273.3,164.36
truth_n6_29,6,301.26,264.62
truth_n6_30,6,300.12,247.04
truth_n6_31,6,354.0,264.73
