name,n,esop_10s,esop_60s,pareto
parity_n3,3,0.24000000000000002,0.24000000000000002,0.24000000000000002
majority_n3,3,13.56,13.56,4.92
threshold2_n3,3,13.56,13.56,4.92
parity_n4,4,0.32,0.32,0.32
majority_n4,4,40.16,40.16,31.93
threshold2_n4,4,40.37,40.37,31.66
parity_n5,5,0.39999999999999997,0.39999999999999997,0.39999999999999997
majority_n5,5,87.48,87.48,41.24
threshold2_n5,5,71.99000000000001,71.99000000000001,50.11
parity_n6,6,0.48000000000000004,0.48000000000000004,0.48000000000000004
majority_n6,6,264.68,182.88,110.67999999999999
threshold3_n6,6,335.02,205.96,111.07000000000001
mux_2_4,6,38.080000000000005,38.080000000000005,39.03
adder_carry_w2,4,24.439999999999998,24.439999999999998,18.03
adder_carry_w3,6,80.04,80.04,40.24
mul_w2_bit1,4,9.04,9.04,9.04
mul_w3_bit2,6,30.96,30.96,26.82
truth_n4_0,4,24.73,24.73,20.380000000000003
truth_n4_1,4,24.499999999999996,24.499999999999996,20.840000000000003
truth_n4_2,4,35.870000000000005,35.870000000000005,27.26
truth_n4_3,4,40.19,40.19,31.729999999999997
truth_n4_4,4,29.34,29.34,21.06
truth_n4_5,4,31.14,31.14,22.76
truth_n4_6,4,24.84,24.84,20.41
truth_n4_7,4,31.28,31.28,23.06
truth_n4_8,4,29.26,29.26,21.15
truth_n4_9,4,29.349999999999998,29.349999999999998,25.18
truth_n4_10,4,26.7,26.7,22.62
truth_n4_11,4,24.759999999999998,24.759999999999998,16.0
truth_n4_12,4,29.23,29.23,20.77
truth_n4_13,4,35.760000000000005,35.760000000000005,27.34
truth_n4_14,4,31.32,31.32,22.740000000000002
truth_n4_15,4,35.72,35.72,16.18
truth_n4_16,4,20.23,20.23,15.92
truth_n4_17,4,26.499999999999996,26.499999999999996,22.380000000000003
truth_n4_18,4,26.7,26.7,18.46
truth_n4_19,4,24.78,24.78,15.94
truth_n4_20,4,20.2,20.2,20.2
truth_n4_21,4,24.59,24.59,20.63
truth_n4_22,4,26.78,26.78,18.590000000000003
truth_n4_23,4,20.23,20.23,16.13
truth_n4_24,4,31.26,31.26,22.86
truth_n4_25,4,20.150000000000002,20.150000000000002,20.150000000000002
truth_n4_26,4,31.34,31.34,27.15
truth_n4_27,4,20.259999999999998,20.259999999999998,16.009999999999998
truth_n4_28,4,26.759999999999998,26.759999999999998,22.58
truth_n4_29,4,24.62,24.62,20.62
truth_n4_30,4,20.240000000000002,20.240000000000002,15.92
truth_n4_31,4,26.819999999999997,26.819999999999997,22.64
truth_n4_32,4,24.84,24.84,20.55
truth_n4_33,4,20.07,20.07,15.790000000000001
truth_n4_34,4,22.14,22.14,18.08
truth_n4_35,4,31.05,31.05,26.99
truth_n4_36,4,20.34,20.34,16.0
truth_n4_37,4,31.38,31.38,22.729999999999997
truth_n4_38,4,26.74,26.74,22.5
truth_n4_39,4,35.78,35.78,22.790000000000003
truth_n4_40,4,29.14,29.14,20.98
truth_n4_41,4,26.67,26.67,18.08
truth_n4_42,4,31.310000000000002,31.310000000000002,23.200000000000003
truth_n4_43,4,20.259999999999998,20.259999999999998,20.3
truth_n4_44,4,35.78,35.78,16.159999999999997
truth_n4_45,4,20.180000000000003,20.180000000000003,16.04
truth_n4_46,4,31.2,31.2,22.85
truth_n4_47,4,31.34,31.34,23.14
truth_n4_48,4,22.3,22.3,18.21
truth_n4_49,4,20.28,20.28,11.53
truth_n4_50,4,24.9,24.9,16.03
truth_n4_51,4,20.06,20.06,15.780000000000001
truth_n4_52,4,24.819999999999997,24.819999999999997,20.39
truth_n4_53,4,31.34,31.34,23.09
truth_n4_54,4,35.75,35.75,27.279999999999998
truth_n4_55,4,35.78,35.78,16.259999999999998
truth_n4_56,4,20.21,20.21,15.92
truth_n4_57,4,15.770000000000001,15.770000000000001,15.76
truth_n4_58,4,29.270000000000003,29.270000000000003,21.15
truth_n4_59,4,31.11,31.11,27.049999999999997
truth_n4_60,4,31.17,31.17,22.900000000000002
truth_n4_61,4,29.23,29.23,16.22
truth_n4_62,4,26.65,26.65,22.470000000000002
truth_n4_63,4,31.29,31.29,23.150000000000002
truth_n5_0,5,49.32,49.32,46.67
truth_n5_1,5,60.260000000000005,60.260000000000005,46.04
truth_n5_2,5,78.2,78.16000000000001,62.12
truth_n5_3,5,69.25,69.25,56.4
truth_n5_4,5,71.87,71.87,57.06
truth_n5_5,5,69.08,69.08,46.42
truth_n5_6,5,53.89,53.89,46.690000000000005
truth_n5_7,5,55.68,55.68,50.029999999999994
truth_n5_8,5,69.28,69.28,54.94
truth_n5_9,5,62.66,62.66,41.35
truth_n5_10,5,58.38,58.38,45.43
truth_n5_11,5,67.19,67.19,50.24999999999999
truth_n5_12,5,60.36,60.36,54.75
truth_n5_13,5,64.5,64.5,41.49
truth_n5_14,5,62.93,62.93,56.8
truth_n5_15,5,51.18,51.18,45.82
truth_n5_16,5,55.74,55.74,41.71
truth_n5_17,5,53.74,53.74,45.45
truth_n5_18,5,44.71,44.71,41.09
truth_n5_19,5,53.93000000000001,53.93000000000001,43.059999999999995
truth_n5_20,5,67.25999999999999,67.25999999999999,50.349999999999994
truth_n5_21,5,58.38,58.38,41.17
truth_n5_22,5,64.78999999999999,64.78999999999999,50.46
truth_n5_23,5,69.19999999999999,69.19999999999999,54.519999999999996
truth_n5_24,5,58.38,58.38,50.78
truth_n5_25,5,51.18,51.18,41.46
truth_n5_26,5,69.25999999999999,69.25999999999999,63.72
truth_n5_27,5,60.36,60.36,54.790000000000006
truth_n5_28,5,71.58,71.58,59.48
truth_n5_29,5,62.79,62.79,46.709999999999994
truth_n5_30,5,51.25,51.25,41.18
truth_n5_31,5,58.44,58.44,46.11
truth_n5_32,5,62.94,62.94,50.449999999999996
truth_n5_33,5,69.25999999999999,69.25999999999999,54.9
truth_n5_34,5,63.019999999999996,63.019999999999996,50.99999999999999
truth_n5_35,5,73.96000000000001,73.96000000000001,55.6
truth_n5_36,5,60.12,60.12,54.81999999999999
truth_n5_37,5,29.34,29.34,25.4
truth_n5_38,5,64.71000000000001,64.71000000000001,54.85
truth_n5_39,5,64.80000000000001,64.80000000000001,42.83
truth_n5_40,5,60.38,60.38,45.699999999999996
truth_n5_41,5,49.11,49.11,45.63
truth_n5_42,5,62.91,62.91,52.22
truth_n5_43,5,64.82,64.82,55.00000000000001
truth_n5_44,5,44.870000000000005,44.870000000000005,36.949999999999996
truth_n5_45,5,64.98,64.98,55.02
truth_n5_46,5,64.74000000000001,64.74000000000001,50.86
truth_n5_47,5,69.34,69.34,59.260000000000005
truth_n5_48,5,69.25999999999999,69.25999999999999,59.57
truth_n5_49,5,62.91,62.91,50.44
truth_n5_50,5,73.69999999999999,73.69999999999999,55.9
truth_n5_51,5,69.22999999999999,69.22999999999999,59.23
truth_n5_52,5,69.37,69.37,55.07
truth_n5_53,5,60.32,60.32,45.830000000000005
truth_n5_54,5,62.53,62.53,40.93
truth_n5_55,5,58.290000000000006,58.290000000000006,51.99
truth_n5_56,5,60.14,60.14,55.62
truth_n5_57,5,64.68,64.68,54.82
truth_n5_58,5,42.62,42.62,31.77
truth_n5_59,5,69.32,69.32,54.93
truth_n5_60,5,69.31,69.31,54.519999999999996
truth_n5_61,5,49.32999999999999,49.32999999999999,41.199999999999996
truth_n5_62,5,64.96,64.96,54.97
truth_n5_63,5,69.22,69.22,59.74
truth_n6_0,6,309.62,161.36,123.09
truth_n6_1,6,299.0,226.86,135.57000000000002
truth_n6_2,6,354.32,209.16,126.05
truth_n6_3,6,265.28000000000003,206.6,130.01999999999998
truth_n6_4,6,376.54,292.08,134.81
truth_n6_5,6,295.94,174.94,130.12
truth_n6_6,6,300.43999999999994,170.01999999999998,129.84
truth_n6_7,6,309.28,213.14,118.12
truth_n6_8,6,322.68000000000006,175.1,131.6
truth_n6_9,6,331.58,190.86,133.67
truth_n6_10,6,345.2,247.26,129.66000000000003
truth_n6_11,6,300.3,246.39999999999998,136.34
truth_n6_12,6,336.12,213.62,111.45
truth_n6_13,6,340.62,233.54,135.0
truth_n6_14,6,251.24,118.97999999999999,102.82000000000001
truth_n6_15,6,300.1,154.54,126.30999999999999
truth_n6_16,6,352.6,251.04,118.59
truth_n6_17,6,268.68,136.68,114.66
truth_n6_18,6,341.48,112.24,103.06
truth_n6_19,6,313.78000000000003,156.78,125.76
truth_n6_20,6,258.28000000000003,242.22,127.23
truth_n6_21,6,322.92,210.84,139.63
truth_n6_22,6,376.42,264.46000000000004,139.16
truth_n6_23,6,340.42,242.1,121.25
truth_n6_24,6,372.48,179.18,139.14000000000001
truth_n6_25,6,127.84000000000002,123.74,108.78
truth_n6_26,6,332.09999999999997,165.88,130.08
truth_n6_27,6,290.88,143.35999999999999,93.7
truth_n6_28,6,273.3,155.35999999999999,106.1
truth_n6_29,6,301.26,136.54000000000002,115.84
truth_n6_30,6,300.12,152.38,125.02000000000001
truth_n6_31,6,354.0,157.34,125.36000000000001
