name,n,method,polarity,action_rank,T,CNOT,depth,gates,explicit_ancilla,peak_ancilla,score,terms,correct,time_s,error
anf_n14_0,14,root_direct,1024,,36,64,66,30,0,0,39.85,10,True,0.592134952545166,
anf_n14_1,14,root_direct,0,,12,21,21,9,0,0,13.245,3,True,0.5843920707702637,
anf_n14_2,14,root_direct,0,,16512,25778,25778,9266,0,4,18030.449999999997,1010,True,0.6271038055419922,
anf_n14_2,14,root_heuristic_top1,0,0,15404,24130,24130,8692,3,5,16828.07,1010,True,0.007752895355224609,
anf_n14_2,14,root_beam4_oracle_eval,0,0,15404,24130,24130,8692,3,5,16828.07,1010,True,0.01642894744873047,
anf_n14_2,14,root_oracle12,0,0,15404,24130,24130,8692,3,5,16828.07,1010,True,0.03656816482543945,
anf_n14_2,14,root_oracle24,0,0,15404,24130,24130,8692,3,5,16828.07,1010,True,0.05208182334899902,
anf_n14_2,14,root_neural_top4,0,0,15404,24130,24130,8692,3,5,16828.07,1010,True,0.03289079666137695,
anf_n14_2,14,root_union_h4_n4,0,0,15404,24130,24130,8692,3,5,16828.07,1010,True,0.0008690357208251953,
anf_n14_2,14,root_neural_top8,0,0,15404,24130,24130,8692,3,5,16828.07,1010,True,0.0007770061492919922,
anf_n14_2,14,root_union_h4_n8,0,0,15404,24130,24130,8692,3,5,16828.07,1010,True,0.0007767677307128906,
anf_n14_2,14,root_neural_top12,0,0,15404,24130,24130,8692,3,5,16828.07,1010,True,0.001154184341430664,
anf_n14_2,14,root_union_h4_n12,0,0,15404,24130,24130,8692,3,5,16828.07,1010,True,0.0007951259613037109,
anf_n14_3,14,root_direct,0,,2384,3744,3744,1360,0,3,2609.52,168,True,0.6140658855438232,
anf_n14_3,14,root_heuristic_top1,0,0,1572,2768,2768,1070,2,4,1742.94,168,True,0.03845095634460449,
anf_n14_3,14,root_beam4_oracle_eval,0,0,1572,2768,2768,1070,2,4,1742.94,168,True,0.10886502265930176,
anf_n14_3,14,root_oracle12,0,11,1560,2753,2753,1067,2,4,1730.085,168,True,0.31253600120544434,
anf_n14_3,14,root_oracle24,0,11,1560,2753,2753,1067,2,4,1730.085,168,True,0.41617631912231445,
anf_n14_3,14,root_neural_top4,0,7,1568,2764,2764,1070,2,4,1738.72,168,True,0.0002162456512451172,
anf_n14_3,14,root_union_h4_n4,0,7,1568,2764,2764,1070,2,4,1738.72,168,True,0.00026702880859375,
anf_n14_3,14,root_neural_top8,0,10,1560,2758,2758,1068,2,4,1730.37,168,True,0.00021886825561523438,
anf_n14_3,14,root_union_h4_n8,0,10,1560,2758,2758,1068,2,4,1730.37,168,True,0.0002770423889160156,
anf_n14_3,14,root_neural_top12,0,10,1560,2758,2758,1068,2,4,1730.37,168,True,0.0002288818359375,
anf_n14_3,14,root_union_h4_n12,0,10,1560,2758,2758,1068,2,4,1730.37,168,True,0.0002791881561279297,
anf_n14_4,14,root_direct,0,,6208,9767,9767,3559,0,3,6786.775000000001,455,True,0.6191799640655518,
anf_n14_4,14,root_heuristic_top1,0,0,3752,6565,6565,2559,2,4,4146.665,455,True,0.18184185028076172,
