name,verified,threshold,run_probability,action,resource_time_s,pareto_time_s,policy_time_s,resource_score,pareto_score,policy_score,resource_T,pareto_T,policy_T,resource_CNOT,pareto_CNOT,policy_CNOT,resource_depth,pareto_depth,policy_depth,resource_gates,pareto_gates,policy_gates,resource_peak_ancilla,pareto_peak_ancilla,policy_peak_ancilla
raw_mcts_budget_policy_test_seed45:truth_n4_0,True,0.6,0.46605774760246277,stop_after_resource,0.06351709365844727,0.41975975036621094,0.06351709365844727,17.740000000000002,17.740000000000002,17.740000000000002,12.0,12.0,12.0,27.0,27.0,27.0,32.0,32.0,32.0,18.0,18.0,18.0,2.0,2.0,2.0
raw_mcts_budget_policy_test_seed45:truth_n4_1,True,0.6,0.41020095348358154,stop_after_resource,0.01952505111694336,0.1532738208770752,0.01952505111694336,15.815,15.815,15.815,12.0,12.0,12.0,29.0,29.0,29.0,31.0,31.0,31.0,19.0,19.0,19.0,1.0,1.0,1.0
raw_mcts_budget_policy_test_seed45:truth_n4_10,True,0.6,0.43978172540664673,stop_after_resource,0.052607059478759766,0.4095301628112793,0.052607059478759766,24.705,24.705,24.705,20.0,20.0,20.0,43.0,43.0,43.0,49.0,49.0,49.0,25.0,25.0,25.0,1.0,1.0,1.0
raw_mcts_budget_policy_test_seed45:truth_n4_11,True,0.6,0.42284613847732544,stop_after_resource,0.034867048263549805,0.2552981376647949,0.034867048263549805,11.14,11.14,11.14,8.0,8.0,8.0,18.0,18.0,18.0,20.0,20.0,20.0,12.0,12.0,12.0,1.0,1.0,1.0
raw_mcts_budget_policy_test_seed45:truth_n4_12,True,0.6,0.43389520049095154,stop_after_resource,0.03345894813537598,0.24219894409179688,0.03345894813537598,15.375,15.375,15.375,12.0,12.0,12.0,23.0,23.0,23.0,23.0,23.0,23.0,11.0,11.0,11.0,1.0,1.0,1.0
raw_mcts_budget_policy_test_seed45:truth_n4_13,True,0.6,0.5137815475463867,stop_after_resource,0.03778982162475586,0.2704949378967285,0.03778982162475586,15.59,15.59,15.59,12.0,12.0,12.0,24.0,24.0,24.0,30.0,30.0,30.0,18.0,18.0,18.0,1.0,1.0,1.0
raw_mcts_budget_policy_test_seed45:truth_n4_14,True,0.6,0.5388259291648865,stop_after_resource,0.004979848861694336,0.04111289978027344,0.004979848861694336,9.01,9.01,9.01,8.0,8.0,8.0,16.0,16.0,16.0,18.0,18.0,18.0,10.0,10.0,10.0,0.0,0.0,0.0
raw_mcts_budget_policy_test_seed45:truth_n4_15,True,0.6,0.44453752040863037,stop_after_resource,0.08076167106628418,0.5421731472015381,0.08076167106628418,18.015,18.015,18.015,12.0,12.0,12.0,32.0,32.0,32.0,35.0,35.0,35.0,21.0,21.0,21.0,2.0,2.0,2.0
raw_mcts_budget_policy_test_seed45:truth_n4_16,True,0.6,0.44513970613479614,stop_after_resource,0.0630950927734375,0.4352531433105469,0.0630950927734375,17.65,17.65,17.65,12.0,12.0,12.0,26.0,26.0,26.0,30.0,30.0,30.0,16.0,16.0,16.0,2.0,2.0,2.0
raw_mcts_budget_policy_test_seed45:truth_n4_17,True,0.6,0.482826828956604,stop_after_resource,0.08937501907348633,0.573173999786377,0.08937501907348633,22.095,22.095,22.095,16.0,16.0,16.0,35.0,35.0,35.0,35.0,35.0,35.0,17.0,17.0,17.0,2.0,2.0,2.0
raw_mcts_budget_policy_test_seed45:truth_n4_18,True,0.6,0.45468947291374207,stop_after_resource,0.07301616668701172,0.49263787269592285,0.07301616668701172,22.205,22.205,22.205,16.0,16.0,16.0,34.0,34.0,34.0,41.0,41.0,41.0,23.0,23.0,23.0,2.0,2.0,2.0
raw_mcts_budget_policy_test_seed45:truth_n4_19,True,0.6,0.4760423004627228,stop_after_resource,0.0810859203338623,0.5523090362548828,0.0810859203338623,22.585,22.585,22.585,16.0,16.0,16.0,41.0,41.0,41.0,45.0,45.0,45.0,27.0,27.0,27.0,2.0,2.0,2.0
raw_mcts_budget_policy_test_seed45:truth_n4_2,True,0.6,0.6062958240509033,run_pareto,0.04829287528991699,0.33722400665283203,0.385516881942749,20.25,20.25,20.25,16.0,16.0,16.0,37.0,37.0,37.0,38.0,38.0,38.0,20.0,20.0,20.0,1.0,1.0,1.0
raw_mcts_budget_policy_test_seed45:truth_n4_20,True,0.6,0.5482885837554932,stop_after_resource,0.03406119346618652,0.25312280654907227,0.03406119346618652,24.195,22.32,24.195,20.0,16.0,20.0,33.0,37.0,33.0,43.0,40.0,43.0,23.0,24.0,23.0,1.0,2.0,1.0
raw_mcts_budget_policy_test_seed45:truth_n4_21,True,0.6,0.5089666247367859,stop_after_resource,0.07545590400695801,0.49800896644592285,0.07545590400695801,22.25,22.25,22.25,16.0,16.0,16.0,37.0,37.0,37.0,38.0,38.0,38.0,20.0,20.0,20.0,2.0,2.0,2.0
raw_mcts_budget_policy_test_seed45:truth_n4_22,True,0.6,0.4576927423477173,stop_after_resource,0.09553885459899902,0.6187639236450195,0.09553885459899902,22.205,22.205,22.205,16.0,16.0,16.0,34.0,34.0,34.0,41.0,41.0,41.0,23.0,23.0,23.0,2.0,2.0,2.0
raw_mcts_budget_policy_test_seed45:truth_n4_23,True,0.6,0.37804114818573,stop_after_resource,0.06567120552062988,0.4266700744628906,0.06567120552062988,22.05,22.05,22.05,16.0,16.0,16.0,32.0,32.0,32.0,38.0,38.0,38.0,20.0,20.0,20.0,2.0,2.0,2.0
raw_mcts_budget_policy_test_seed45:truth_n4_24,True,0.6,0.44769641757011414,stop_after_resource,0.04264497756958008,0.3217759132385254,0.04264497756958008,20.32,20.32,20.32,16.0,16.0,16.0,38.0,38.0,38.0,40.0,40.0,40.0,20.0,20.0,20.0,1.0,1.0,1.0
raw_mcts_budget_policy_test_seed45:truth_n4_25,True,0.6,0.45200231671333313,stop_after_resource,0.02019190788269043,0.15496587753295898,0.02019190788269043,15.59,15.59,15.59,12.0,12.0,12.0,24.0,24.0,24.0,30.0,30.0,30.0,18.0,18.0,18.0,1.0,1.0,1.0
raw_mcts_budget_policy_test_seed45:truth_n4_26,True,0.6,0.3832886517047882,stop_after_resource,0.030552148818969727,0.3211667537689209,0.030552148818969727,15.735,15.735,15.735,12.0,12.0,12.0,27.0,27.0,27.0,31.0,31.0,31.0,19.0,19.0,19.0,1.0,1.0,1.0
