CNOT,T,anf_terms,correct,depth,explicit_ancilla,gates,method,n,n_qubits,name,peak_ancilla,score,skipped,terms,time_s,truth_table_hex
3,0,3,True,3,0,3,and_resource_no_mcts,3,4,parity_n3,0,0.19499999999999998,,3,0.0012280941009521484,96
3,0,3,True,3,0,3,and_resource_nmcts,3,4,parity_n3,0,0.19499999999999998,,3,0.0043909549713134766,96
12,4,3,True,12,0,8,and_resource_no_mcts,3,4,majority_n3,0,4.74,,2,0.001986980438232422,E8
3,0,3,True,3,0,3,and_pareto_resource_nmcts,3,4,parity_n3,0,0.19499999999999998,,3,0.01817488670349121,96
12,4,3,True,12,0,8,and_resource_nmcts,3,4,majority_n3,0,4.74,,2,0.005127906799316406,E8
12,4,3,True,12,0,8,and_resource_no_mcts,3,4,threshold2_n3,0,4.74,,2,0.001390218734741211,E8
12,4,3,True,12,0,8,and_resource_nmcts,3,4,threshold2_n3,0,4.74,,2,0.0031719207763671875,E8
12,4,3,True,12,0,8,and_pareto_resource_nmcts,3,4,majority_n3,0,4.74,,2,0.04925107955932617,E8
4,0,4,True,4,0,4,and_resource_no_mcts,4,5,parity_n4,0,0.26,,4,0.0031189918518066406,6996
12,4,3,True,12,0,8,and_pareto_resource_nmcts,3,4,threshold2_n3,0,4.74,,2,0.05153203010559082,E8
4,0,4,True,4,0,4,and_resource_nmcts,4,5,parity_n4,0,0.26,,4,0.023426055908203125,6996
49,24,5,True,58,1,32,and_resource_no_mcts,4,6,majority_n4,2,31.150000000000002,,8,0.018067121505737305,E880
4,0,4,True,4,0,4,and_pareto_resource_nmcts,4,5,parity_n4,0,0.26,,4,0.03937792778015137,6996
5,0,5,True,5,0,5,and_resource_no_mcts,5,6,parity_n5,0,0.325,,5,0.008297920227050781,96696996
5,0,5,True,5,0,5,and_resource_nmcts,5,6,parity_n5,0,0.325,,5,0.011733055114746094,96696996
49,24,7,True,49,1,23,and_resource_no_mcts,4,6,threshold2_n4,2,30.925,,7,0.051992177963256836,FEE8
49,24,5,True,58,1,32,and_resource_nmcts,4,6,majority_n4,2,31.150000000000002,,8,0.15334510803222656,E880
49,24,7,True,49,1,23,and_resource_nmcts,4,6,threshold2_n4,2,30.925,,7,0.14956021308898926,FEE8
5,0,5,True,5,0,5,and_pareto_resource_nmcts,5,6,parity_n5,0,0.325,,5,0.13155603408813477,96696996
78,40,15,True,89,1,43,and_resource_no_mcts,5,7,threshold2_n5,2,48.885,,6,0.15160584449768066,FFFEFEE8
68,32,15,True,77,1,43,and_resource_no_mcts,5,7,majority_n5,2,40.305,,9,0.1695849895477295,FEE8E880
6,0,6,True,6,0,6,and_resource_no_mcts,6,7,parity_n6,0,0.38999999999999996,,6,0.07498311996459961,6996966996696996
6,0,6,True,6,0,6,and_resource_nmcts,6,7,parity_n6,0,0.38999999999999996,,6,0.07767486572265625,6996966996696996
70,32,15,True,70,1,34,and_resource_nmcts,5,7,majority_n5,2,40.19,,6,0.3859071731567383,FEE8E880
183,104,15,True,183,2,73,and_resource_no_mcts,6,9,majority_n6,3,120.795,,15,0.3793520927429199,FEE8E880E8808000
6,0,6,True,6,0,6,and_pareto_resource_nmcts,6,7,parity_n6,0,0.38999999999999996,,6,0.4842569828033447,6996966996696996
183,104,15,True,183,2,73,and_resource_nmcts,6,9,majority_n6,3,120.795,,15,0.5405440330505371,FEE8E880E8808000
65,32,9,True,71,1,37,and_resource_no_mcts,6,8,mux_2_4,1,38.035,,11,0.022395849227905273,FEDCBA9876543210
65,32,9,True,71,1,37,and_resource_nmcts,6,8,mux_2_4,1,38.035,,11,0.05485415458679199,FEDCBA9876543210
183,104,35,True,196,2,86,and_resource_no_mcts,6,9,threshold3_n6,3,121.11999999999999,,16,0.47712278366088867,FFFEFEE8FEE8E880
25,12,3,True,30,1,18,and_resource_no_mcts,4,6,adder_carry_w2,2,17.63,,6,0.025557994842529297,EC80
25,12,3,True,30,1,18,and_resource_nmcts,4,6,adder_carry_w2,2,17.63,,6,0.07190299034118652,EC80
78,40,15,True,89,1,43,and_resource_nmcts,5,7,threshold2_n5,2,48.885,,6,1.0138840675354004,FFFEFEE8
49,24,7,True,49,1,23,and_pareto_resource_nmcts,4,6,threshold2_n4,2,30.925,,7,1.129141092300415,FEE8
49,24,5,True,58,1,32,and_pareto_resource_nmcts,4,6,majority_n4,2,31.150000000000002,,8,1.1475441455841064,E880
60,32,7,True,60,2,26,and_resource_no_mcts,6,9,adder_carry_w3,3,41.559999999999995,,7,0.12079000473022461,FEFCF8F0E0C08000
14,8,2,True,14,0,6,and_resource_no_mcts,4,5,mul_w2_bit1,0,8.830000000000002,,2,0.0025899410247802734,6AC0
14,8,2,True,14,0,6,and_resource_nmcts,4,5,mul_w2_bit1,0,8.830000000000002,,2,0.029433250427246094,6AC0
14,8,2,True,14,0,6,and_pareto_resource_nmcts,4,5,mul_w2_bit1,0,8.830000000000002,,2,0.07204794883728027,6AC0
60,32,7,True,60,2,26,and_resource_nmcts,6,9,adder_carry_w3,3,41.559999999999995,,7,0.1557481288909912,FEFCF8F0E0C08000
38,20,4,True,38,1,16,and_resource_nmcts,6,8,mul_w3_bit2,2,26.25,,4,0.06772613525390625,1E665AAAB4CCF000
38,20,4,True,38,1,16,and_resource_no_mcts,6,8,mul_w3_bit2,2,26.25,,4,0.0826559066772461,1E665AAAB4CCF000
33,16,8,True,33,0,17,and_resource_no_mcts,4,5,truth_n4_0,1,19.985000000000003,,7,0.009296178817749023,9DE
31,16,8,True,34,0,18,and_resource_nmcts,4,5,truth_n4_0,1,19.93,,6,0.034459829330444336,9DE
64,32,9,True,72,1,38,and_pareto_resource_nmcts,6,8,mux_2_4,1,38.02,,12,0.6955304145812988,FEDCBA9876543210
25,12,3,True,30,1,18,and_pareto_resource_nmcts,4,6,adder_carry_w2,2,17.63,,6,0.5390589237213135,EC80
27,12,6,True,30,1,16,and_resource_no_mcts,4,6,truth_n4_1,2,17.689999999999998,,6,0.09297394752502441,493C
183,104,35,True,196,2,86,and_resource_nmcts,6,9,threshold3_n6,3,121.11999999999999,,16,1.0627779960632324,FFFEFEE8FEE8E880
41,20,11,True,47,1,25,and_resource_no_mcts,4,6,truth_n4_2,2,26.595,,5,0.016806364059448242,B23B
27,12,6,True,30,1,16,and_resource_nmcts,4,6,truth_n4_1,2,17.689999999999998,,6,0.15672707557678223,493C
41,20,11,True,47,1,25,and_resource_nmcts,4,6,truth_n4_2,2,26.595,,5,0.12930703163146973,B23B
16,8,5,True,23,0,15,and_resource_no_mcts,4,5,truth_n4_3,1,11.135000000000002,,5,0.005719184875488281,C33F
16,8,5,True,23,0,15,and_resource_nmcts,4,5,truth_n4_3,1,11.135000000000002,,5,0.05099177360534668,C33F
38,20,4,True,38,1,16,and_pareto_resource_nmcts,6,8,mul_w3_bit2,2,26.25,,4,0.5184550285339355,1E665AAAB4CCF000
31,16,8,True,34,0,18,and_pareto_resource_nmcts,4,5,truth_n4_0,1,19.93,,6,0.4636228084564209,9DE
26,12,6,True,30,0,18,and_resource_no_mcts,4,5,truth_n4_4,1,15.669999999999998,,6,0.006067752838134766,24D8
26,12,6,True,30,0,18,and_resource_nmcts,4,5,truth_n4_4,1,15.669999999999998,,6,0.07177376747131348,24D8
34,16,9,True,41,1,23,and_resource_no_mcts,4,6,truth_n4_5,2,22.205,,5,0.013769865036010742,F59B
34,16,9,True,41,1,23,and_resource_nmcts,4,6,truth_n4_5,2,22.205,,5,0.11365818977355957,F59B
16,8,5,True,23,0,15,and_pareto_resource_nmcts,4,5,truth_n4_3,1,11.135000000000002,,5,0.24963903427124023,C33F
34,16,8,True,40,1,22,and_resource_no_mcts,4,6,truth_n4_6,1,20.18,,6,0.009293794631958008,7668
26,12,6,True,30,0,18,and_pareto_resource_nmcts,4,5,truth_n4_4,1,15.669999999999998,,6,0.25173497200012207,24D8
34,16,8,True,40,1,22,and_resource_nmcts,4,6,truth_n4_6,1,20.18,,6,0.10283088684082031,7668
25,12,6,True,27,1,15,and_resource_no_mcts,4,6,truth_n4_7,2,17.555,,5,0.028506040573120117,5EB0
25,12,6,True,27,1,15,and_resource_nmcts,4,6,truth_n4_7,2,17.555,,5,0.04403090476989746,5EB0
27,12,6,True,30,1,16,and_pareto_resource_nmcts,4,6,truth_n4_1,2,17.689999999999998,,6,0.9406180381774902,493C
25,12,9,True,31,0,19,and_resource_no_mcts,4,5,truth_n4_8,1,15.655,,5,0.00637507438659668,ABF1
25,12,9,True,31,0,19,and_resource_nmcts,4,5,truth_n4_8,1,15.655,,5,0.021092891693115234,ABF1
27,12,8,True,33,1,21,and_pareto_resource_nmcts,4,6,truth_n4_6,2,17.785,,9,0.5924208164215088,7668
28,12,7,True,32,1,18,and_resource_no_mcts,4,6,truth_n4_9,1,15.780000000000001,,4,0.010378122329711914,B2CC
41,20,11,True,47,1,25,and_pareto_resource_nmcts,4,6,truth_n4_2,2,26.595,,5,1.0619661808013916,B23B
28,12,7,True,32,1,18,and_resource_nmcts,4,6,truth_n4_9,1,15.780000000000001,,4,0.0825650691986084,B2CC
