name,n,method,model_path,score,T,CNOT,depth,peak_ancilla,correct,time_s
aes_sbox_bit2,8,and_direct_anf,,1818.76,1620,2562,2562,5,True,0.0
aes_sbox_bit1,8,and_direct_anf,,1586.71,1412,2235,2236,5,True,0.0
aes_sbox_bit4,8,and_direct_anf,,1707.4400000000003,1520,2408,2408,5,True,0.0
aes_sbox_bit3,8,and_direct_anf,,1885.52,1680,2654,2654,5,True,0.0
aes_sbox_bit5,8,and_direct_anf,,1667.27,1484,2351,2352,5,True,0.0
aes_sbox_bit0,8,and_direct_anf,,1542.4699999999998,1372,2177,2178,5,True,0.01
aes_sbox_bit7,8,and_direct_anf,,1693.8,1508,2386,2386,5,True,0.0
aes_sbox_bit6,8,and_direct_anf,,1829.9099999999999,1628,2577,2578,6,True,0.0
aes_sbox_bit1,8,and_resource_nmcts,models/action_scorer_v2.pt,775.92,676,1211,1223,5,True,17.49
aes_sbox_bit0,8,and_resource_nmcts,models/action_scorer_v2.pt,789.53,688,1289,1290,3,True,20.83
large_n8_0,8,and_resource_nmcts,models/action_scorer_v2.pt,830.1,724,1296,1304,5,True,20.77
large_n8_0,8,and_resource_nmcts,,830.1,724,1296,1304,5,True,21.46
aes_sbox_bit3,8,and_resource_nmcts,models/action_scorer_v2.pt,847.42,740,1311,1327,5,True,24.87
aes_sbox_bit2,8,and_resource_nmcts,models/action_scorer_v2.pt,857.22,748,1335,1351,5,True,26.03
large_n8_0,8,and_resource_nmcts,random-prior:0,830.1,724,1296,1304,5,True,21.48
large_n8_0,8,and_resource_nmcts,random-prior:1,830.1,724,1296,1304,5,True,21.53
aes_sbox_bit6,8,and_resource_nmcts,models/action_scorer_v2.pt,890.88,776,1386,1398,6,True,26.61
aes_sbox_bit5,8,and_resource_nmcts,models/action_scorer_v2.pt,817.02,712,1282,1288,5,True,29.92
aes_sbox_bit4,8,and_resource_nmcts,models/action_scorer_v2.pt,915.89,800,1427,1438,5,True,30.09
aes_sbox_bit7,8,and_resource_nmcts,models/action_scorer_v2.pt,835.8199999999999,728,1316,1332,5,True,39.74
