name,n,method,T,CNOT,depth,gates,explicit_ancilla,peak_ancilla,n_qubits,score,score_lower_bound,score_rz1,score_rz1.5,score_rz2,score_rz4,score_rz10,score_synth_tperrz30,score_synth_tperrz60,score_synth_tperrz100,time_s,anf_terms,parity_gadgets,rz_total,rz_clifford,rz_t_like,rz_non_clifford,rz_max_denominator,phase_ops,ct_supported,verified_up_to_global_phase,correct,skipped,error,truth_table_hex,candidate_affine_forms,candidate_polarities,candidate_transforms,exact_eval_forms,global_phase_pi,global_phase_pi_den,global_phase_pi_num,polarity,polarity_hex,polarity_weight,policy_target_metric,prediction_rank,rank_metric,shifted_constant_term,split,transform_index,transform_nonidentity,transform_rows_hex,transform_weight
adder_carry_w2,4,phase_affine_prefix16_tperrz30,7,18,27,27,0,0,4,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,0.0,3,9,9,2,7,0,4,7,1,True,phase oracle verified up to global phase,,,EC80,2048,16,128,256,0/1,1,0,0,0x0,0,score_synth_tperrz30,,score_synth_tperrz30,0,train,10,1,0x1;0x2;0x4;0xa,5
adder_carry_w2,4,phase_affine_budget32_tperrz30,7,18,27,27,0,0,4,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,0.0,3,9,9,2,7,0,4,7,1,True,phase oracle verified up to global phase,,,EC80,2048,16,128,512,0/1,1,0,0,0x0,0,score_synth_tperrz30,,score_synth_tperrz30,0,train,10,1,0x1;0x2;0x4;0xa,5
adder_carry_w2,4,phase_affine_wide128_tperrz30,7,18,27,27,0,0,4,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,0.0,3,9,9,2,7,0,4,7,1,True,phase oracle verified up to global phase,,,EC80,2048,16,128,2048,0/1,1,0,0,0x0,0,score_synth_tperrz30,,score_synth_tperrz30,0,train,10,1,0x1;0x2;0x4;0xa,5
adder_carry_w2,4,phase_parity_affine_policy_tperrz30_top64,7,18,27,27,0,0,4,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,0.0,4,9,9,2,7,0,4,7,1,True,phase oracle verified up to global phase,,,EC80,2048,16,128,64,0/1,1,0,0,0x0,0,score_synth_tperrz30,5,score_synth_tperrz30,0,train,32,1,0x1;0xa;0x5;0x8,6
adder_carry_w2,4,phase_parity_affine_policy_tperrz30_top128,7,18,27,27,0,0,4,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,0.0,4,9,9,2,7,0,4,7,1,True,phase oracle verified up to global phase,,,EC80,2048,16,128,128,0/1,1,0,0,0x0,0,score_synth_tperrz30,5,score_synth_tperrz30,0,train,32,1,0x1;0xa;0x5;0x8,6
adder_carry_w2,4,phase_parity_affine_policy_tperrz30_top256,7,18,27,27,0,0,4,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,0.0,3,9,9,2,7,0,4,7,1,True,phase oracle verified up to global phase,,,EC80,2048,16,128,256,0/1,1,0,0,0x0,0,score_synth_tperrz30,163,score_synth_tperrz30,0,train,10,1,0x1;0x2;0x4;0xa,5
adder_carry_w2,4,phase_parity_affine_policy_tperrz30_top512,7,18,27,27,0,0,4,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,0.0,3,9,9,2,7,0,4,7,1,True,phase oracle verified up to global phase,,,EC80,2048,16,128,512,0/1,1,0,0,0x0,0,score_synth_tperrz30,163,score_synth_tperrz30,0,train,10,1,0x1;0x2;0x4;0xa,5
adder_carry_w2,4,phase_parity_affine_policy_diverse_tperrz30_top64,7,18,27,27,0,0,4,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,0.0,4,9,9,2,7,0,4,7,1,True,phase oracle verified up to global phase,,,EC80,2048,16,128,64,0/1,1,0,0,0x0,0,score_synth_tperrz30,5,score_synth_tperrz30,0,train,32,1,0x1;0xa;0x5;0x8,6
adder_carry_w2,4,phase_parity_affine_policy_diverse_tperrz30_top128,7,18,27,27,0,0,4,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,0.0,3,9,9,2,7,0,4,7,1,True,phase oracle verified up to global phase,,,EC80,2048,16,128,128,0/1,1,0,0,0x0,0,score_synth_tperrz30,162,score_synth_tperrz30,0,train,15,1,0x1;0xa;0x4;0x8,5
adder_carry_w2,4,phase_parity_affine_policy_diverse_tperrz30_top256,7,18,27,27,0,0,4,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,0.0,3,9,9,2,7,0,4,7,1,True,phase oracle verified up to global phase,,,EC80,2048,16,128,256,0/1,1,0,0,0x0,0,score_synth_tperrz30,162,score_synth_tperrz30,0,train,15,1,0x1;0xa;0x4;0x8,5
adder_carry_w2,4,phase_parity_affine_policy_diverse_tperrz30_top512,7,18,27,27,0,0,4,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,0.0,3,9,9,2,7,0,4,7,1,True,phase oracle verified up to global phase,,,EC80,2048,16,128,512,0/1,1,0,0,0x0,0,score_synth_tperrz30,162,score_synth_tperrz30,0,train,15,1,0x1;0xa;0x4;0x8,5
adder_carry_w2,4,phase_affine_random_top64,7,18,27,27,0,0,4,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,0.0,6,9,9,2,7,0,4,7,1,True,phase oracle verified up to global phase,,,EC80,2048,16,128,64,0/1,1,0,0,0x0,0,score_synth_tperrz30,,score_synth_tperrz30,0,train,81,1,0x5;0xf;0xb;0x7,12
adder_carry_w2,4,phase_affine_random_top128,7,18,27,27,0,0,4,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,0.0,4,9,9,2,7,0,4,7,1,True,phase oracle verified up to global phase,,,EC80,2048,16,128,128,0/1,1,0,4,0x4,1,score_synth_tperrz30,,score_synth_tperrz30,0,train,10,1,0x1;0x2;0x4;0xa,5
adder_carry_w2,4,phase_affine_random_top256,7,18,27,27,0,0,4,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,0.0,5,9,9,2,7,0,4,7,1,True,phase oracle verified up to global phase,,,EC80,2048,16,128,256,0/1,1,0,2,0x2,1,score_synth_tperrz30,,score_synth_tperrz30,1,train,10,1,0x1;0x2;0x4;0xa,5
adder_carry_w2,4,phase_affine_random_top512,7,18,27,27,0,0,4,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,0.0,3,9,9,2,7,0,4,7,1,True,phase oracle verified up to global phase,,,EC80,2048,16,128,512,0/1,1,0,0,0x0,0,score_synth_tperrz30,,score_synth_tperrz30,0,train,10,1,0x1;0x2;0x4;0xa,5
adder_carry_w2,4,phase_affine_random_s1_top64,7,18,27,27,0,0,4,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,0.0,6,9,9,2,7,0,4,7,1,True,phase oracle verified up to global phase,,,EC80,2048,16,128,64,0/1,1,0,12,0xc,2,score_synth_tperrz30,,score_synth_tperrz30,1,train,15,1,0x1;0xa;0x4;0x8,5
adder_carry_w2,4,phase_affine_random_s1_top128,7,18,27,27,0,0,4,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,0.0,6,9,9,2,7,0,4,7,1,True,phase oracle verified up to global phase,,,EC80,2048,16,128,128,0/1,1,0,2,0x2,1,score_synth_tperrz30,,score_synth_tperrz30,1,train,50,1,0x5;0x2;0x1;0xa,6
adder_carry_w2,4,phase_affine_random_s1_top256,7,18,27,27,0,0,4,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,0.0,4,9,9,2,7,0,4,7,1,True,phase oracle verified up to global phase,,,EC80,2048,16,128,256,0/1,1,0,0,0x0,0,score_synth_tperrz30,,score_synth_tperrz30,0,train,48,1,0xb;0xa;0x4;0x8,7
adder_carry_w2,4,phase_affine_random_s1_top512,7,18,27,27,0,0,4,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,0.0,4,9,9,2,7,0,4,7,1,True,phase oracle verified up to global phase,,,EC80,2048,16,128,512,0/1,1,0,0,0x0,0,score_synth_tperrz30,,score_synth_tperrz30,0,train,50,1,0x5;0x2;0x1;0xa,6
adder_carry_w2,4,phase_affine_random_s2_top64,7,18,27,27,0,0,4,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,0.0,3,9,9,2,7,0,4,7,1,True,phase oracle verified up to global phase,,,EC80,2048,16,128,64,0/1,1,0,1,0x1,1,score_synth_tperrz30,,score_synth_tperrz30,0,train,50,1,0x5;0x2;0x1;0xa,6
adder_carry_w2,4,phase_affine_random_s2_top128,7,18,27,27,0,0,4,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,0.0,4,9,9,2,7,0,4,7,1,True,phase oracle verified up to global phase,,,EC80,2048,16,128,128,0/1,1,0,0,0x0,0,score_synth_tperrz30,,score_synth_tperrz30,0,train,80,1,0xb;0xa;0xf;0x2,10
adder_carry_w2,4,phase_affine_random_s2_top256,7,18,27,27,0,0,4,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,0.0,3,9,9,2,7,0,4,7,1,True,phase oracle verified up to global phase,,,EC80,2048,16,128,256,0/1,1,0,0,0x0,0,score_synth_tperrz30,,score_synth_tperrz30,0,train,10,1,0x1;0x2;0x4;0xa,5
adder_carry_w2,4,phase_affine_random_s2_top512,7,18,27,27,0,0,4,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,0.0,3,9,9,2,7,0,4,7,1,True,phase oracle verified up to global phase,,,EC80,2048,16,128,512,0/1,1,0,0,0x0,0,score_synth_tperrz30,,score_synth_tperrz30,0,train,10,1,0x1;0x2;0x4;0xa,5
adder_carry_w2,4,phase_affine_random_s3_top64,7,18,27,27,0,0,4,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,0.0,7,9,9,2,7,0,4,7,1,True,phase oracle verified up to global phase,,,EC80,2048,16,128,64,0/1,1,0,8,0x8,1,score_synth_tperrz30,,score_synth_tperrz30,1,train,108,1,0x1;0xb;0x5;0x9,8
adder_carry_w2,4,phase_affine_random_s3_top128,7,18,27,27,0,0,4,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,0.0,5,9,9,2,7,0,4,7,1,True,phase oracle verified up to global phase,,,EC80,2048,16,128,128,0/1,1,0,2,0x2,1,score_synth_tperrz30,,score_synth_tperrz30,1,train,10,1,0x1;0x2;0x4;0xa,5
adder_carry_w2,4,phase_affine_random_s3_top256,7,18,27,27,0,0,4,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,0.0,4,9,9,2,7,0,4,7,1,True,phase oracle verified up to global phase,,,EC80,2048,16,128,256,0/1,1,0,1,0x1,1,score_synth_tperrz30,,score_synth_tperrz30,0,train,15,1,0x1;0xa;0x4;0x8,5
adder_carry_w2,4,phase_affine_random_s3_top512,7,18,27,27,0,0,4,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,0.0,3,9,9,2,7,0,4,7,1,True,phase oracle verified up to global phase,,,EC80,2048,16,128,512,0/1,1,0,0,0x0,0,score_synth_tperrz30,,score_synth_tperrz30,0,train,15,1,0x1;0xa;0x4;0x8,5
adder_carry_w2,4,phase_affine_random_s4_top64,7,18,27,27,0,0,4,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,0.0,4,9,9,2,7,0,4,7,1,True,phase oracle verified up to global phase,,,EC80,2048,16,128,64,0/1,1,0,0,0x0,0,score_synth_tperrz30,,score_synth_tperrz30,0,train,50,1,0x5;0x2;0x1;0xa,6
adder_carry_w2,4,phase_affine_random_s4_top128,7,18,27,27,0,0,4,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,0.0,4,9,9,2,7,0,4,7,1,True,phase oracle verified up to global phase,,,EC80,2048,16,128,128,0/1,1,0,0,0x0,0,score_synth_tperrz30,,score_synth_tperrz30,0,train,32,1,0x1;0xa;0x5;0x8,6
adder_carry_w2,4,phase_affine_random_s4_top256,7,18,27,27,0,0,4,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,0.0,5,9,9,2,7,0,4,7,1,True,phase oracle verified up to global phase,,,EC80,2048,16,128,256,0/1,1,0,8,0x8,1,score_synth_tperrz30,,score_synth_tperrz30,0,train,50,1,0x5;0x2;0x1;0xa,6
adder_carry_w2,4,phase_affine_random_s4_top512,7,18,27,27,0,0,4,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,0.0,3,9,9,2,7,0,4,7,1,True,phase oracle verified up to global phase,,,EC80,2048,16,128,512,0/1,1,0,0,0x0,0,score_synth_tperrz30,,score_synth_tperrz30,0,train,10,1,0x1;0x2;0x4;0xa,5
adder_carry_w2,4,phase_affine_random_s5_top64,7,18,27,27,0,0,4,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,0.0,5,9,9,2,7,0,4,7,1,True,phase oracle verified up to global phase,,,EC80,2048,16,128,64,0/1,1,0,2,0x2,1,score_synth_tperrz30,,score_synth_tperrz30,0,train,32,1,0x1;0xa;0x5;0x8,6
adder_carry_w2,4,phase_affine_random_s5_top128,7,18,27,27,0,0,4,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,0.0,3,9,9,2,7,0,4,7,1,True,phase oracle verified up to global phase,,,EC80,2048,16,128,128,0/1,1,0,0,0x0,0,score_synth_tperrz30,,score_synth_tperrz30,0,train,15,1,0x1;0xa;0x4;0x8,5
adder_carry_w2,4,phase_affine_random_s5_top256,7,18,27,27,0,0,4,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,0.0,3,9,9,2,7,0,4,7,1,True,phase oracle verified up to global phase,,,EC80,2048,16,128,256,0/1,1,0,0,0x0,0,score_synth_tperrz30,,score_synth_tperrz30,0,train,10,1,0x1;0x2;0x4;0xa,5
adder_carry_w2,4,phase_affine_random_s5_top512,7,18,27,27,0,0,4,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,0.0,4,9,9,2,7,0,4,7,1,True,phase oracle verified up to global phase,,,EC80,2048,16,128,512,0/1,1,0,0,0x0,0,score_synth_tperrz30,,score_synth_tperrz30,0,train,32,1,0x1;0xa;0x5;0x8,6
adder_carry_w2,4,phase_affine_random_s6_top64,7,18,27,27,0,0,4,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,0.0,4,9,9,2,7,0,4,7,1,True,phase oracle verified up to global phase,,,EC80,2048,16,128,64,0/1,1,0,5,0x5,2,score_synth_tperrz30,,score_synth_tperrz30,0,train,32,1,0x1;0xa;0x5;0x8,6
adder_carry_w2,4,phase_affine_random_s6_top128,7,18,27,27,0,0,4,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,0.0,6,9,9,2,7,0,4,7,1,True,phase oracle verified up to global phase,,,EC80,2048,16,128,128,0/1,1,0,4,0x4,1,score_synth_tperrz30,,score_synth_tperrz30,0,train,48,1,0xb;0xa;0x4;0x8,7
adder_carry_w2,4,phase_affine_random_s6_top256,7,18,27,27,0,0,4,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,0.0,3,9,9,2,7,0,4,7,1,True,phase oracle verified up to global phase,,,EC80,2048,16,128,256,0/1,1,0,0,0x0,0,score_synth_tperrz30,,score_synth_tperrz30,0,train,99,1,0x1;0x8;0x4;0xa,5
adder_carry_w2,4,phase_affine_random_s6_top512,7,18,27,27,0,0,4,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,0.0,4,9,9,2,7,0,4,7,1,True,phase oracle verified up to global phase,,,EC80,2048,16,128,512,0/1,1,0,0,0x0,0,score_synth_tperrz30,,score_synth_tperrz30,0,train,48,1,0xb;0xa;0x4;0x8,7
