name,n,method,T,CNOT,depth,gates,explicit_ancilla,peak_ancilla,n_qubits,score,score_lower_bound,score_rz1,score_rz1.5,score_rz2,score_rz4,score_rz10,score_synth_tperrz30,score_synth_tperrz60,score_synth_tperrz100,time_s,anf_terms,parity_gadgets,rz_total,rz_clifford,rz_t_like,rz_non_clifford,rz_max_denominator,phase_ops,ct_supported,verified_up_to_global_phase,correct,skipped,error,truth_table_hex,candidate_polarities,global_phase_pi,global_phase_pi_den,global_phase_pi_num,polarity,polarity_hex,polarity_weight,rank_metric,shifted_constant_term
majority_n3,3,phase_parity_fprm_opt_score,0,6,10,10,0,0,3,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,7.700920104980469e-05,5,4,4,4,0,0,2,0,1,True,phase oracle verified up to global phase,,,E8,8,0/1,1,0,1,0x1,1,score,0
majority_n3,3,phase_parity_fprm_opt_rz1,0,6,10,10,0,0,3,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,7.700920104980469e-05,5,4,4,4,0,0,2,0,1,True,phase oracle verified up to global phase,,,E8,8,0/1,1,0,1,0x1,1,score_rz1,0
majority_n3,3,phase_parity_fprm_opt_tperrz30,0,6,10,10,0,0,3,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,7.700920104980469e-05,5,4,4,4,0,0,2,0,1,True,phase oracle verified up to global phase,,,E8,8,0/1,1,0,1,0x1,1,score_synth_tperrz30,0
parity_n3,3,phase_parity_fprm_opt_score,0,0,3,3,0,0,3,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,4.887580871582031e-05,3,3,3,3,0,0,1,0,1,True,phase oracle verified up to global phase,,,96,8,0/1,1,0,0,0x0,0,score,0
parity_n3,3,phase_parity_fprm_opt_rz1,0,0,3,3,0,0,3,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,4.887580871582031e-05,3,3,3,3,0,0,1,0,1,True,phase oracle verified up to global phase,,,96,8,0/1,1,0,0,0x0,0,score_rz1,0
parity_n3,3,phase_parity_fprm_opt_tperrz30,0,0,3,3,0,0,3,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,4.887580871582031e-05,3,3,3,3,0,0,1,0,1,True,phase oracle verified up to global phase,,,96,8,0/1,1,0,0,0x0,0,score_synth_tperrz30,0
threshold2_n3,3,phase_parity_fprm_opt_score,0,6,10,10,0,0,3,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,5.793571472167969e-05,5,4,4,4,0,0,2,0,1,True,phase oracle verified up to global phase,,,E8,8,0/1,1,0,1,0x1,1,score,0
threshold2_n3,3,phase_parity_fprm_opt_rz1,0,6,10,10,0,0,3,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,5.793571472167969e-05,5,4,4,4,0,0,2,0,1,True,phase oracle verified up to global phase,,,E8,8,0/1,1,0,1,0x1,1,score_rz1,0
threshold2_n3,3,phase_parity_fprm_opt_tperrz30,0,6,10,10,0,0,3,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,5.793571472167969e-05,5,4,4,4,0,0,2,0,1,True,phase oracle verified up to global phase,,,E8,8,0/1,1,0,1,0x1,1,score_synth_tperrz30,0
adder_carry_w2,4,phase_parity_fprm_opt_score,8,20,32,32,0,0,4,9.600000000000001,9.600000000000001,9.600000000000001,9.600000000000001,9.600000000000001,9.600000000000001,9.600000000000001,9.600000000000001,9.600000000000001,9.600000000000001,0.00016689300537109375,3,12,12,4,8,0,4,8,1,True,phase oracle verified up to global phase,,,EC80,16,0/1,1,0,0,0x0,0,score,0
adder_carry_w2,4,phase_parity_fprm_opt_rz1,8,20,32,32,0,0,4,9.600000000000001,9.600000000000001,9.600000000000001,9.600000000000001,9.600000000000001,9.600000000000001,9.600000000000001,9.600000000000001,9.600000000000001,9.600000000000001,0.00016689300537109375,3,12,12,4,8,0,4,8,1,True,phase oracle verified up to global phase,,,EC80,16,0/1,1,0,0,0x0,0,score_rz1,0
adder_carry_w2,4,phase_parity_fprm_opt_tperrz30,8,20,32,32,0,0,4,9.600000000000001,9.600000000000001,9.600000000000001,9.600000000000001,9.600000000000001,9.600000000000001,9.600000000000001,9.600000000000001,9.600000000000001,9.600000000000001,0.00016689300537109375,3,12,12,4,8,0,4,8,1,True,phase oracle verified up to global phase,,,EC80,16,0/1,1,0,0,0x0,0,score_synth_tperrz30,0
majority_n4,4,phase_parity_fprm_opt_score,0,34,49,49,0,0,4,2.585,2.585,17.585,25.085,32.585,62.585,152.585,463.83500000000004,925.085,1540.0849999999998,0.0002067089080810547,5,15,15,0,0,15,8,15,0,True,phase oracle verified up to global phase,,,E880,16,0/1,1,0,0,0x0,0,score,0
