target_id,angle_pi,denominator,source_count,source_file,source_name,source_method,source_split,source_n,source_parity_mask_hex,backend,beam_width,max_sequence_length,sequence,sequence_length,t_count,achieved_error,smoke_epsilon,smoke_pass,tight_epsilon,tight_pass,status
freq01-den8-15,15/8,8,1155,raw_phase_parity_affine.csv,majority_n4,phase_parity_affine_fprm_opt_tperrz30,traditional,4,0xf,internal_matrix_beam,2500,24,Td H Td H Td H Td H Td H Td,11,6,0.11185337158122173,0.125,True,0.05,False,pass
freq02-den8-1,1/8,8,1088,raw_phase_parity_affine.csv,threshold2_n4,phase_parity_affine_fprm_opt_tperrz30,traditional,4,0xe,internal_matrix_beam,2500,24,T H T H T H T H T H T S Td Td,14,8,0.11185337158122173,0.125,True,0.05,False,pass
freq03-den32-57,57/32,32,1015,raw_phase_parity_affine.csv,truth_n6_0,phase_parity_affine_fprm_opt_tperrz30,traditional,6,0x35,internal_matrix_beam,2500,24,X Sd X Sd Td Td S Td Td S Td Td S Td Td S Td,17,9,0.034706538214398217,0.125,True,0.05,True,pass
freq04-den32-61,61/32,32,991,raw_phase_parity_affine.csv,truth_n6_0,phase_parity_affine_fprm_opt_tperrz30,traditional,6,0x2e,internal_matrix_beam,2500,24,I,0,0,0.10403600355270759,0.125,True,0.05,False,pass
freq05-den32-19,19/32,32,986,raw_phase_parity_affine.csv,truth_n6_0,phase_parity_affine_fprm_opt_tperrz30,traditional,6,0x15,internal_matrix_beam,2500,24,X Sd Td X Td Td S Td Td S Td,11,6,0.10403600355270705,0.125,True,0.05,False,pass
freq06-den32-59,59/32,32,905,raw_phase_parity_affine.csv,truth_n6_0,phase_parity_affine_fprm_opt_tperrz30,traditional,6,0x1d,internal_matrix_beam,2500,24,X Sd X Sd Td Td S Td Td S Td Td S Td Td S Td Td S Td Td S Td,23,13,0.10403600355270652,0.125,True,0.05,False,pass
freq07-den32-3,3/32,32,904,raw_phase_parity_affine.csv,truth_n6_0,phase_parity_affine_fprm_opt_tperrz30,traditional,6,0x2f,internal_matrix_beam,2500,24,X Sd Td X Sd Td Td S Td Td S Td Td S Td Td S Td,18,10,0.10403600355270705,0.125,True,0.05,False,pass
freq08-den32-1,1/32,32,903,raw_phase_parity_affine.csv,truth_n6_0,phase_parity_affine_fprm_opt_tperrz30,traditional,6,0x3e,internal_matrix_beam,2500,24,X Sd T X Td,5,2,0.034706538214398217,0.125,True,0.05,True,pass
freq09-den16-31,31/16,16,784,raw_phase_parity_affine.csv,truth_n5_1,phase_parity_affine_fprm_opt_tperrz30,traditional,5,0x1e,internal_matrix_beam,2500,24,I,0,0,0.06939217050794118,0.125,True,0.05,False,pass
freq10-den32-63,63/32,32,775,raw_phase_parity_affine.csv,truth_n6_0,phase_parity_affine_fprm_opt_tperrz30,traditional,6,0x3f,internal_matrix_beam,2500,24,X S Td X T,5,2,0.034706538214398217,0.125,True,0.05,True,pass
freq11-den32-13,13/32,32,741,raw_phase_parity_affine.csv,truth_n6_0,phase_parity_affine_fprm_opt_tperrz30,traditional,6,0x1a,internal_matrix_beam,2500,24,X Td X T T Sd T T Sd T,10,6,0.10403600355270705,0.125,True,0.05,False,pass
freq12-den32-17,17/32,32,730,raw_phase_parity_affine.csv,truth_n6_0,phase_parity_affine_fprm_opt_tperrz30,traditional,6,0xa,internal_matrix_beam,2500,24,X Sd Td X Td Td S Td,8,4,0.03470653821439982,0.125,True,0.05,True,pass
freq13-den16-1,1/16,16,729,raw_phase_parity_affine.csv,truth_n5_1,phase_parity_affine_fprm_opt_tperrz30,traditional,5,0x1f,internal_matrix_beam,2500,24,X Sd T X Td,5,2,0.06939217050793958,0.125,True,0.05,False,pass
freq14-den32-15,15/32,32,726,raw_phase_parity_affine.csv,truth_n6_0,phase_parity_affine_fprm_opt_tperrz30,traditional,6,0xd,internal_matrix_beam,2500,24,S,1,0,0.034706538214398217,0.125,True,0.05,True,pass
freq15-den8-3,3/8,8,714,raw_phase_parity_affine.csv,majority_n4,phase_parity_affine_fprm_opt_tperrz30,traditional,4,0x7,internal_matrix_beam,2500,24,T H T H T H T H X Td H Sd,12,5,0.11185337158122222,0.125,True,0.05,False,pass
freq16-den16-3,3/16,16,714,raw_phase_parity_affine.csv,truth_n5_1,phase_parity_affine_fprm_opt_tperrz30,traditional,5,0x2,internal_matrix_beam,2500,24,X Sd Td X Td Td,6,3,0.06939217050794039,0.125,True,0.05,False,pass
freq17-den16-29,29/16,16,706,raw_phase_parity_affine.csv,truth_n5_1,phase_parity_affine_fprm_opt_tperrz30,traditional,5,0xf,internal_matrix_beam,2500,24,Td,1,1,0.06939217050794039,0.125,True,0.05,False,pass
freq18-den32-11,11/32,32,680,raw_phase_parity_affine.csv,truth_n6_0,phase_parity_affine_fprm_opt_tperrz30,traditional,6,0xb,internal_matrix_beam,2500,24,S Td Td S Td Td S Td Td S Td Td S Td Td S Td Td S Td Td S Td,23,15,0.10403600355270652,0.125,True,0.05,False,pass
freq19-den32-21,21/32,32,664,raw_phase_parity_affine.csv,truth_n6_0,phase_parity_affine_fprm_opt_tperrz30,traditional,6,0x9,internal_matrix_beam,2500,24,S T T Sd T T Sd T T Sd T T Sd T,14,9,0.10403600355270705,0.125,True,0.05,False,pass
freq20-den8-13,13/8,8,630,raw_phase_parity_affine.csv,threshold2_n4,phase_parity_affine_fprm_opt_tperrz30,traditional,4,0x2,internal_matrix_beam,2500,24,H Td H X T H Td H T H S Td,12,5,0.11185337158122173,0.125,True,0.05,False,pass
