CNOT,T,anf_terms,correct,depth,error,explicit_ancilla,gates,method,n,n_qubits,name,peak_ancilla,profile,profile_label,score,skipped,terms,time_s,truth_table_hex
3,0,3,True,3,,0,3,and_direct_anf,3,4,parity_n3,0,t_heavy,T-heavy,0.075,,3,5.316734313964844e-05,96
3,0,3,True,3,,0,3,and_mcts_factor,3,4,parity_n3,0,t_heavy,T-heavy,0.075,,3,8.511543273925781e-05,96
3,0,3,True,3,,0,3,and_affine_nmcts,3,4,parity_n3,0,t_heavy,T-heavy,0.075,,3,0.006089925765991211,96
3,0,3,True,3,,0,3,and_resource_nmcts,3,4,parity_n3,0,t_heavy,T-heavy,0.075,,3,0.0043981075286865234,96
52,32,3,True,64,,0,32,and_cube_beam,3,4,parity_n3,1,t_heavy,T-heavy,34.26,,3,0.00011324882507324219,96
16,8,3,True,20,,0,10,sshr_h,3,4,parity_n3,0,t_heavy,T-heavy,8.39,,3,0.00023603439331054688,96
21,12,3,True,21,,0,9,and_direct_anf,3,4,majority_n3,0,t_heavy,T-heavy,12.465,,3,2.5987625122070312e-05,E8
21,12,3,True,21,,0,9,and_mcts_factor,3,4,majority_n3,0,t_heavy,T-heavy,12.465,,3,6.67572021484375e-05,E8
12,4,3,True,12,,0,8,and_affine_nmcts,3,4,majority_n3,0,t_heavy,T-heavy,4.279999999999999,,2,0.004884004592895508,E8
12,4,3,True,12,,0,8,and_resource_nmcts,3,4,majority_n3,0,t_heavy,T-heavy,4.279999999999999,,2,0.005308866500854492,E8
27,16,3,True,33,,0,17,and_cube_beam,3,4,majority_n3,1,t_heavy,T-heavy,17.655,,3,0.00015616416931152344,E8
11,4,3,True,11,,0,6,sshr_h,3,4,majority_n3,0,t_heavy,T-heavy,4.25,,3,4.291534423828125e-05,E8
21,12,3,True,21,,0,9,and_direct_anf,3,4,threshold2_n3,0,t_heavy,T-heavy,12.465,,3,2.09808349609375e-05,E8
21,12,3,True,21,,0,9,and_mcts_factor,3,4,threshold2_n3,0,t_heavy,T-heavy,12.465,,3,5.817413330078125e-05,E8
12,4,3,True,12,,0,8,and_affine_nmcts,3,4,threshold2_n3,0,t_heavy,T-heavy,4.279999999999999,,2,0.004765033721923828,E8
12,4,3,True,12,,0,8,and_resource_nmcts,3,4,threshold2_n3,0,t_heavy,T-heavy,4.279999999999999,,2,0.005301952362060547,E8
27,16,3,True,33,,0,17,and_cube_beam,3,4,threshold2_n3,1,t_heavy,T-heavy,17.655,,3,0.00015401840209960938,E8
11,4,3,True,11,,0,6,sshr_h,3,4,threshold2_n3,0,t_heavy,T-heavy,4.25,,3,3.886222839355469e-05,E8
4,0,4,True,4,,0,4,and_direct_anf,4,5,parity_n4,0,t_heavy,T-heavy,0.1,,4,2.5033950805664062e-05,6996
4,0,4,True,4,,0,4,and_mcts_factor,4,5,parity_n4,0,t_heavy,T-heavy,0.1,,4,5.602836608886719e-05,6996
4,0,4,True,4,,0,4,and_affine_nmcts,4,5,parity_n4,0,t_heavy,T-heavy,0.1,,4,0.005424022674560547,6996
4,0,4,True,4,,0,4,and_resource_nmcts,4,5,parity_n4,0,t_heavy,T-heavy,0.1,,4,0.007578849792480469,6996
152,96,4,True,184,,0,88,and_cube_beam,4,5,parity_n4,2,t_heavy,T-heavy,101.64,,4,0.0016319751739501953,6996
20,8,4,True,24,,0,14,sshr_h,4,5,parity_n4,0,t_heavy,T-heavy,8.49,,4,0.001764059066772461,6996
71,44,5,True,71,,0,27,and_direct_anf,4,5,majority_n4,2,t_heavy,T-heavy,47.55499999999999,,5,3.0994415283203125e-05,E880
61,32,5,True,61,,1,25,and_mcts_factor,4,6,majority_n4,2,t_heavy,T-heavy,35.345,,5,0.0048100948333740234,E880
64,40,5,True,72,,0,32,and_cube_beam,4,5,majority_n4,2,t_heavy,T-heavy,43.48,,5,0.0009911060333251953,E880
34,44,5,True,36,,0,9,sshr_h,4,5,majority_n4,1,t_heavy,T-heavy,45.735,,5,0.0018219947814941406,E880
61,36,7,True,61,,0,25,and_direct_anf,4,5,threshold2_n4,2,t_heavy,T-heavy,39.345,,7,4.8160552978515625e-05,FEE8
59,32,7,True,59,,1,25,and_mcts_factor,4,6,threshold2_n4,2,t_heavy,T-heavy,35.305,,7,0.002255678176879883,FEE8
5,0,5,True,5,,0,5,and_direct_anf,5,6,parity_n5,0,t_heavy,T-heavy,0.125,,5,6.508827209472656e-05,96696996
5,0,5,True,5,,0,5,and_mcts_factor,5,6,parity_n5,0,t_heavy,T-heavy,0.125,,5,0.00010395050048828125,96696996
103,64,7,True,119,,0,55,and_cube_beam,4,5,threshold2_n4,2,t_heavy,T-heavy,68.415,,7,0.0020990371704101562,FEE8
35,36,7,True,43,,0,19,sshr_h,4,5,threshold2_n4,1,t_heavy,T-heavy,37.835,,7,0.002009153366088867,FEE8
