name,n,method,flow,T,CNOT,depth,gates,explicit_ancilla,peak_ancilla,n_qubits,score,revkit_lines,revkit_logic_qubits,revkit_t_count,unknown_gates,time_s,correct,permutation_checked,toffoli_distribution,skipped,error,truth_table_hex,revkit_commit
majority_n3,3,external_revkit_cli_tbs,tbs,21,18,18,3,0,0,4,22.02,4,4,21,0,0.09564781188964844,True,True,"{""0"": 0, ""1"": 0, ""2"": 3}",,,E8,104eb35f1933b080aa228ad419756f04682d4a2e
parity_n3,3,external_revkit_cli_tbs,tbs,0,3,3,3,0,0,4,0.19499999999999998,4,4,0,0,0.10617899894714355,True,True,"{""0"": 0, ""1"": 3}",,,96,104eb35f1933b080aa228ad419756f04682d4a2e
threshold2_n3,3,external_revkit_cli_tbs,tbs,21,18,18,3,0,0,4,22.02,4,4,21,0,0.09896492958068848,True,True,"{""0"": 0, ""1"": 0, ""2"": 3}",,,E8,104eb35f1933b080aa228ad419756f04682d4a2e
adder_carry_w2,4,external_revkit_cli_tbs,tbs,39,34,34,3,0,0,5,40.9,5,5,39,0,0.09635615348815918,True,True,"{""0"": 0, ""1"": 0, ""2"": 1, ""3"": 2}",,,EC80,104eb35f1933b080aa228ad419756f04682d4a2e
majority_n4,4,external_revkit_cli_tbs,tbs,88,66,66,5,0,1,6,93.67999999999999,5,6,88,0,0.09622907638549805,True,True,"{""0"": 0, ""1"": 0, ""2"": 0, ""3"": 4, ""4"": 1}",,,E880,104eb35f1933b080aa228ad419756f04682d4a2e
mul_w2_bit1,4,external_revkit_cli_tbs,tbs,14,12,12,2,0,0,5,14.68,5,5,14,0,0.09518885612487793,True,True,"{""0"": 0, ""1"": 0, ""2"": 2}",,,6AC0,104eb35f1933b080aa228ad419756f04682d4a2e
parity_n4,4,external_revkit_cli_tbs,tbs,0,4,4,4,0,0,5,0.26,5,5,0,0,0.10074973106384277,True,True,"{""0"": 0, ""1"": 4}",,,6996,104eb35f1933b080aa228ad419756f04682d4a2e
threshold2_n4,4,external_revkit_cli_tbs,tbs,66,46,46,7,0,1,6,70.6,5,6,66,0,0.09967780113220215,True,True,"{""0"": 0, ""1"": 0, ""2"": 6, ""3"": 0, ""4"": 1}",,,FEE8,104eb35f1933b080aa228ad419756f04682d4a2e
truth_n4_0,4,external_revkit_cli_tbs,tbs,60,54,55,9,0,0,5,63.075,5,5,60,0,0.09089207649230957,True,True,"{""0"": 1, ""1"": 2, ""2"": 4, ""3"": 2}",,,A3B1,104eb35f1933b080aa228ad419756f04682d4a2e
truth_n4_1,4,external_revkit_cli_tbs,tbs,46,40,40,4,0,0,5,48.24,5,5,46,0,0.09088325500488281,True,True,"{""0"": 0, ""1"": 0, ""2"": 2, ""3"": 2}",,,1C80,104eb35f1933b080aa228ad419756f04682d4a2e
truth_n4_10,4,external_revkit_cli_tbs,tbs,54,39,39,7,0,1,6,58.215,5,6,54,0,0.09007716178894043,True,True,"{""0"": 0, ""1"": 3, ""2"": 2, ""3"": 1, ""4"": 1}",,,AD3C,104eb35f1933b080aa228ad419756f04682d4a2e
truth_n4_11,4,external_revkit_cli_tbs,tbs,60,55,55,9,0,0,5,63.11500000000001,5,5,60,0,0.0937037467956543,True,True,"{""0"": 0, ""1"": 3, ""2"": 4, ""3"": 2}",,,BD9C,104eb35f1933b080aa228ad419756f04682d4a2e
truth_n4_12,4,external_revkit_cli_tbs,tbs,76,69,70,11,0,0,5,79.92,5,5,76,0,0.09256911277770996,True,True,"{""0"": 1, ""1"": 3, ""2"": 4, ""3"": 3}",,,E465,104eb35f1933b080aa228ad419756f04682d4a2e
truth_n4_13,4,external_revkit_cli_tbs,tbs,75,55,56,9,0,1,6,80.13000000000001,5,6,75,0,0.0936429500579834,True,True,"{""0"": 1, ""1"": 1, ""2"": 5, ""3"": 1, ""4"": 1}",,,8B9D,104eb35f1933b080aa228ad419756f04682d4a2e
truth_n4_14,4,external_revkit_cli_tbs,tbs,70,54,55,10,0,1,6,75.085,5,6,70,0,0.09512901306152344,True,True,"{""0"": 1, ""1"": 4, ""2"": 2, ""3"": 2, ""4"": 1}",,,1641,104eb35f1933b080aa228ad419756f04682d4a2e
truth_n4_15,4,external_revkit_cli_tbs,tbs,71,64,64,7,0,0,5,74.58999999999999,5,5,71,0,0.09502911567687988,True,True,"{""0"": 0, ""1"": 2, ""2"": 1, ""3"": 4}",,,972A,104eb35f1933b080aa228ad419756f04682d4a2e
truth_n4_16,4,external_revkit_cli_tbs,tbs,46,43,44,8,0,0,5,48.459999999999994,5,5,46,0,0.09427404403686523,True,True,"{""0"": 1, ""1"": 3, ""2"": 2, ""3"": 2}",,,6C03,104eb35f1933b080aa228ad419756f04682d4a2e
truth_n4_17,4,external_revkit_cli_tbs,tbs,38,23,23,4,0,1,6,41.305,5,6,38,0,0.0914618968963623,True,True,"{""0"": 0, ""1"": 1, ""2"": 2, ""3"": 0, ""4"": 1}",,,822,104eb35f1933b080aa228ad419756f04682d4a2e
truth_n4_18,4,external_revkit_cli_tbs,tbs,70,51,51,6,0,1,6,74.86500000000001,5,6,70,0,0.08993101119995117,True,True,"{""0"": 0, ""1"": 1, ""2"": 2, ""3"": 2, ""4"": 1}",,,7A0,104eb35f1933b080aa228ad419756f04682d4a2e
truth_n4_19,4,external_revkit_cli_tbs,tbs,53,49,49,8,0,0,5,55.775,5,5,53,0,0.09136795997619629,True,True,"{""0"": 0, ""1"": 3, ""2"": 3, ""3"": 2}",,,17FC,104eb35f1933b080aa228ad419756f04682d4a2e
truth_n4_2,4,external_revkit_cli_tbs,tbs,98,76,77,12,0,1,6,104.31500000000001,5,6,98,0,0.09599089622497559,True,True,"{""0"": 1, ""1"": 2, ""2"": 6, ""3"": 2, ""4"": 1}",,,667,104eb35f1933b080aa228ad419756f04682d4a2e
truth_n4_20,4,external_revkit_cli_tbs,tbs,46,42,42,6,0,0,5,48.370000000000005,5,5,46,0,0.0899960994720459,True,True,"{""0"": 0, ""1"": 2, ""2"": 2, ""3"": 2}",,,37F8,104eb35f1933b080aa228ad419756f04682d4a2e
truth_n4_21,4,external_revkit_cli_tbs,tbs,46,41,42,6,0,0,5,48.330000000000005,5,5,46,0,0.09082674980163574,True,True,"{""0"": 1, ""1"": 1, ""2"": 2, ""3"": 2}",,,3B8F,104eb35f1933b080aa228ad419756f04682d4a2e
truth_n4_22,4,external_revkit_cli_tbs,tbs,70,54,54,9,0,1,6,75.06,5,6,70,0,0.09140992164611816,True,True,"{""0"": 0, ""1"": 4, ""2"": 2, ""3"": 2, ""4"": 1}",,,815E,104eb35f1933b080aa228ad419756f04682d4a2e
truth_n4_23,4,external_revkit_cli_tbs,tbs,37,34,35,7,0,0,5,38.955,5,5,37,0,0.09138989448547363,True,True,"{""0"": 1, ""1"": 2, ""2"": 3, ""3"": 1}",,,9A1D,104eb35f1933b080aa228ad419756f04682d4a2e
