dataset,name,n,budget,cap_fraction,peak_cap,feasible,method,selected_policy,selected_k,T,CNOT,depth,gates,explicit_ancilla,peak_ancilla,n_qubits,score,lut_nodes,lut_edges,checkpoint_nodes,expanded_compute_calls,keep_peak_ancilla,keep_score,peak_reduction_vs_keep_pct,score_change_vs_keep_pct,official_ros_fully_reproduced
n14,anf_n14_0,14,keep100,1.0,17,True,external_ros_lut_garbage_budget_keep100,keep_all_bennett,5,648.0,1147.0,1163.0,515.0,16.0,17.0,31.0,750.475,16.0,17.0,16.0,32.0,17.0,750.475,0.0,0.0,False
n14,anf_n14_0,14,line75,0.75,12,True,external_ros_lut_garbage_budget_line75,fanout_checkpoint,5,1976.0,3491.0,3549.0,1573.0,3.0,10.0,18.0,2204.605,16.0,17.0,2.0,110.0,17.0,750.475,41.1764705882353,193.76128451980412,False
n14,anf_n14_0,14,line50,0.5,8,True,external_ros_lut_garbage_budget_line50,zero_checkpoint,5,2216.0,4031.0,4119.0,1903.0,1.0,8.0,16.0,2474.055,16.0,17.0,0.0,170.0,17.0,750.475,52.94117647058823,229.6652120323795,False
n14,anf_n14_0,14,minline,0.0,8.0,True,external_ros_lut_garbage_budget_minline,zero_checkpoint,5,2216.0,4031.0,4119.0,1903.0,1.0,8.0,16.0,2474.055,16.0,17.0,0.0,170.0,17.0,750.475,52.94117647058823,229.6652120323795,False
n14,anf_n14_1,14,keep100,1.0,4,True,external_ros_lut_garbage_budget_keep100,keep_all_bennett,4,64.0,111.0,115.0,51.0,3.0,4.0,18.0,78.675,3.0,2.0,3.0,6.0,4.0,78.675,0.0,0.0,False
n14,anf_n14_1,14,minline,0.0,4.0,True,external_ros_lut_garbage_budget_minline,keep_all_bennett,4,64.0,111.0,115.0,51.0,3.0,4.0,18.0,78.675,3.0,2.0,3.0,6.0,4.0,78.675,0.0,0.0,False
n14,anf_n14_10,14,keep100,1.0,6701,True,external_ros_lut_garbage_budget_keep100,keep_all_bennett,3,151792.0,269933.0,273763.0,121971.0,6700.0,6701.0,6715.0,181317.475,6700.0,10650.0,6700.0,13400.0,6701.0,181317.475,0.0,0.0,False
n14,anf_n14_10,14,line75,0.75,5025,True,external_ros_lut_garbage_budget_line75,fanout_checkpoint,3,269900797544.0,479934510157.0,487807613909.0,217906816365.0,658.0,716.0,673.0,298594361754.56506,6700.0,10650.0,657.0,23877194316.0,6701.0,181317.475,89.31502760781973,164680310.2883989,False
n14,anf_n14_10,14,line50,0.5,3350,True,external_ros_lut_garbage_budget_line50,fanout_checkpoint,3,269900797544.0,479934510157.0,487807613909.0,217906816365.0,658.0,716.0,673.0,298594361754.56506,6700.0,10650.0,657.0,23877194316.0,6701.0,181317.475,89.31502760781973,164680310.2883989,False
n14,anf_n14_10,14,line25,0.25,1675,True,external_ros_lut_garbage_budget_line25,fanout_checkpoint,3,269900797544.0,479934510157.0,487807613909.0,217906816365.0,658.0,716.0,673.0,298594361754.56506,6700.0,10650.0,657.0,23877194316.0,6701.0,181317.475,89.31502760781973,164680310.2883989,False
n14,anf_n14_10,14,minline,0.0,65.0,True,external_ros_lut_garbage_budget_minline,zero_checkpoint,3,510925335480.0,963919695081.0,987301383471.0,476376047991.0,1.0,65.0,16.0,569055404645.215,6700.0,10650.0,0.0,83757020406.0,6701.0,181317.475,99.02999552305626,313844665.7321585,False
n14,anf_n14_11,14,keep100,1.0,6344,True,external_ros_lut_garbage_budget_keep100,keep_all_bennett,3,142600.0,253419.0,256935.0,114335.0,6343.0,6344.0,6358.0,170422.135,6343.0,9982.0,6343.0,12686.0,6344.0,170422.135,0.0,0.0,False
n14,anf_n14_11,14,line75,0.75,4758,True,external_ros_lut_garbage_budget_line75,fanout_checkpoint,3,48234407376.0,85976637089.0,87331977255.0,39097569879.0,635.0,688.0,650.0,53374429593.174995,6343.0,9982.0,634.0,4301695006.0,6344.0,170422.135,89.15510718789407,31318853.72228202,False
n14,anf_n14_11,14,line50,0.5,3172,True,external_ros_lut_garbage_budget_line50,fanout_checkpoint,3,48234407376.0,85976637089.0,87331977255.0,39097569879.0,635.0,688.0,650.0,53374429593.174995,6343.0,9982.0,634.0,4301695006.0,6344.0,170422.135,89.15510718789407,31318853.72228202,False
n14,anf_n14_11,14,line25,0.25,1586,True,external_ros_lut_garbage_budget_line25,fanout_checkpoint,3,48234407376.0,85976637089.0,87331977255.0,39097569879.0,635.0,688.0,650.0,53374429593.174995,6343.0,9982.0,634.0,4301695006.0,6344.0,170422.135,89.15510718789407,31318853.72228202,False
n14,anf_n14_11,14,minline,0.0,61.0,True,external_ros_lut_garbage_budget_minline,zero_checkpoint,3,86340618552.0,163091769197.0,167097346659.0,80756728107.0,1.0,61.0,16.0,96178316922.835,6343.0,9982.0,0.0,14149397014.0,6344.0,170422.135,99.03846153846153,56435243.28614943,False
n14,anf_n14_12,14,keep100,1.0,5809,True,external_ros_lut_garbage_budget_keep100,keep_all_bennett,3,130736.0,232273.0,235537.0,104801.0,5808.0,5809.0,5823.0,156225.985,5808.0,9086.0,5808.0,11616.0,5809.0,156225.985,0.0,0.0,False
n14,anf_n14_12,14,line75,0.75,4356,True,external_ros_lut_garbage_budget_line75,fanout_checkpoint,3,8038205056.0,14306073517.0,14546042549.0,6507837493.0,592.0,637.0,607.0,8893718283.845001,5808.0,9086.0,591.0,730891672.0,5809.0,156225.985,89.03425718712343,5692754.670652261,False
n14,anf_n14_12,14,line50,0.5,2904,True,external_ros_lut_garbage_budget_line50,fanout_checkpoint,3,8038205056.0,14306073517.0,14546042549.0,6507837493.0,592.0,637.0,607.0,8893718283.845001,5808.0,9086.0,591.0,730891672.0,5809.0,156225.985,89.03425718712343,5692754.670652261,False
n14,anf_n14_12,14,line25,0.25,1452,True,external_ros_lut_garbage_budget_line25,fanout_checkpoint,3,8038205056.0,14306073517.0,14546042549.0,6507837493.0,592.0,637.0,607.0,8893718283.845001,5808.0,9086.0,591.0,730891672.0,5809.0,156225.985,89.03425718712343,5692754.670652261,False
n14,anf_n14_12,14,minline,0.0,49.0,True,external_ros_lut_garbage_budget_minline,zero_checkpoint,3,14927119008.0,28104984443.0,28783922677.0,13856803669.0,1.0,49.0,16.0,16621645360.565,5808.0,9086.0,0.0,2401519606.0,5809.0,156225.985,99.15648132208642,10639388.277551908,False
