name,n,profile,term_count,method,score,T,CNOT,depth,gates,peak_ancilla,time_s,anf_verified,plan_nodes,plan_mismatches,circuit_anf_verified,circuit_gates,circuit_max_wire_terms,circuit_mismatches
terms_n20_0000_deep,20,deep,179,adaptive_all_depth,1726.12,1568,2520,2520,952,5,9.167988876011805,True,11,0,True,168,179,0
terms_n20_0000_deep,20,deep,179,depth2_guard_direct,1808.77,1644,2634,2634,990,5,0.5377647499990417,True,7,0,True,168,179,0
terms_n20_0000_deep,20,deep,179,depth_frontier_policy,1726.12,1568,2520,2520,952,5,6.405093917004706,True,11,0,True,168,179,0
terms_n20_0000_deep,20,deep,179,depth_policy,1808.77,1644,2634,2634,990,5,0.5377647499990417,True,7,0,True,168,179,0
terms_n20_0000_deep,20,deep,179,direct_logical_and,2064.1349999999998,1880,2999,2999,1119,4,1.3329990906640887e-06,True,1,0,True,179,179,0
terms_n20_0000_deep,20,deep,179,screen_depth1,1878.5,1708,2732,2732,1024,5,0.11095358300372027,True,5,0,True,170,179,0
terms_n20_0000_deep,20,deep,179,screen_depth2,1808.77,1644,2634,2634,990,5,0.5377647499990417,True,7,0,True,168,179,0
terms_n20_0000_deep,20,deep,179,screen_depth3,1756.505,1596,2561,2561,965,5,2.097831541999767,True,9,0,True,167,179,0
terms_n20_0000_deep,20,deep,179,screen_depth4,1726.12,1568,2520,2520,952,5,6.405093917004706,True,11,0,True,168,179,0
terms_n20_0000_deep,20,deep,179,screen_single,1950.7099999999998,1776,2838,2838,1062,4,0.0163450840045698,True,3,0,True,174,179,0
terms_n20_0001_shallow,20,shallow,52,adaptive_all_depth,457.08,408,664,664,256,5,0.06376916699809954,True,5,0,True,52,52,0
terms_n20_0001_shallow,20,shallow,52,depth2_guard_direct,457.08,408,664,664,256,5,0.015592499999911524,True,5,0,True,52,52,0
terms_n20_0001_shallow,20,shallow,52,depth_frontier_policy,457.08,408,664,664,256,5,0.015592499999911524,True,5,0,True,52,52,0
terms_n20_0001_shallow,20,shallow,52,depth_policy,457.08,408,664,664,256,5,0.015592499999911524,True,5,0,True,52,52,0
terms_n20_0001_shallow,20,shallow,52,direct_logical_and,559.48,504,808,808,304,4,1.0000003385357559e-06,True,1,0,True,52,52,0
terms_n20_0001_shallow,20,shallow,52,screen_depth1,457.08,408,664,664,256,5,0.012296708999201655,True,5,0,True,52,52,0
terms_n20_0001_shallow,20,shallow,52,screen_depth2,457.08,408,664,664,256,5,0.015592499999911524,True,5,0,True,52,52,0
terms_n20_0001_shallow,20,shallow,52,screen_depth3,457.08,408,664,664,256,5,0.015750958998978604,True,5,0,True,52,52,0
terms_n20_0001_shallow,20,shallow,52,screen_depth4,457.08,408,664,664,256,5,0.01576795800065156,True,5,0,True,52,52,0
terms_n20_0001_shallow,20,shallow,52,screen_single,461.235,412,667,667,255,5,0.004361040999356192,True,3,0,True,49,52,0
terms_n20_0002_mixed,20,mixed,110,adaptive_all_depth,890.825,800,1305,1305,505,7,5.074715334005305,True,11,0,True,105,110,0
terms_n20_0002_mixed,20,mixed,110,depth2_guard_direct,962.71,868,1406,1406,538,6,0.30684958300116705,True,7,0,True,104,110,0
terms_n20_0002_mixed,20,mixed,110,depth_frontier_policy,890.825,800,1305,1305,505,7,3.5179142089982633,True,11,0,True,105,110,0
terms_n20_0002_mixed,20,mixed,110,depth_policy,962.71,868,1406,1406,538,6,0.30684958300116705,True,7,0,True,104,110,0
terms_n20_0002_mixed,20,mixed,110,direct_logical_and,1150.1499999999999,1040,1670,1670,630,6,1.2079981388524175e-06,True,1,0,True,110,110,0
terms_n20_0002_mixed,20,mixed,110,screen_depth1,1019.3249999999999,920,1485,1485,565,6,0.06528141700255219,True,5,0,True,105,110,0
terms_n20_0002_mixed,20,mixed,110,screen_depth2,962.71,868,1406,1406,538,6,0.30684958300116705,True,7,0,True,104,110,0
