name,n,profile,term_count,method,score,T,CNOT,depth,gates,peak_ancilla,schedule_logical_depth,schedule_cnot_depth_proxy,schedule_t_depth_proxy,explicit_ancilla_live_peak,explicit_ancilla_lifetime_area,time_s,anf_verified,plan_nodes,plan_mismatches,circuit_anf_verified,circuit_gates,circuit_max_wire_terms,circuit_mismatches
terms_n24_0000_shallow,24,shallow,51,adaptive_all_depth,404.75000000000006,360,590,590,230,5,48,425,172,1,17,0.7036118329997407,True,5,0,True,50,51,0
terms_n24_0000_shallow,24,shallow,51,depth2_guard_direct,404.75000000000006,360,590,590,230,5,48,425,172,1,17,0.13000525000097696,True,5,0,True,50,51,0
terms_n24_0000_shallow,24,shallow,51,depth_frontier_policy,404.75000000000006,360,590,590,230,5,48,425,172,1,17,0.13000525000097696,True,5,0,True,50,51,0
terms_n24_0000_shallow,24,shallow,51,depth_policy,404.75000000000006,360,590,590,230,5,48,425,172,1,17,0.13000525000097696,True,5,0,True,50,51,0
terms_n24_0000_shallow,24,shallow,51,direct_logical_and,502.865,452,729,729,277,4,51,509,214,0,0,5.250003596302122e-06,True,1,0,True,51,51,0
terms_n24_0000_shallow,24,shallow,51,screen_depth1,404.75000000000006,360,590,590,230,5,48,425,172,1,17,0.038879082996572834,True,5,0,True,50,51,0
terms_n24_0000_shallow,24,shallow,51,screen_depth2,404.75000000000006,360,590,590,230,5,48,425,172,1,17,0.13000525000097696,True,5,0,True,50,51,0
terms_n24_0000_shallow,24,shallow,51,screen_depth3,404.75000000000006,360,590,590,230,5,48,425,172,1,17,0.23816583300504135,True,5,0,True,50,51,0
terms_n24_0000_shallow,24,shallow,51,screen_depth4,404.75000000000006,360,590,590,230,5,48,425,172,1,17,0.2904421249986626,True,5,0,True,50,51,0
terms_n24_0000_shallow,24,shallow,51,screen_single,452.59999999999997,404,656,656,252,5,48,461,193,1,9,0.006119541998486966,True,3,0,True,50,51,0
terms_n24_0001_mixed,24,mixed,91,adaptive_all_depth,672.765,604,997,997,393,5,89,726,278,1,32,5.022600332995353,True,9,0,True,91,91,0
terms_n24_0001_mixed,24,mixed,91,depth2_guard_direct,685.6850000000001,616,1013,1013,397,5,87,742,283,1,26,0.3480011249994277,True,7,0,True,89,91,0
terms_n24_0001_mixed,24,mixed,91,depth_frontier_policy,685.6850000000001,616,1013,1013,397,5,87,742,283,1,26,0.3480011249994277,True,7,0,True,89,91,0
terms_n24_0001_mixed,24,mixed,91,depth_policy,685.6850000000001,616,1013,1013,397,5,87,742,283,1,26,0.3480011249994277,True,7,0,True,89,91,0
terms_n24_0001_mixed,24,mixed,91,direct_logical_and,853.465,772,1249,1249,477,4,91,892,357,0,0,1.1669981176964939e-06,True,1,0,True,91,91,0
terms_n24_0001_mixed,24,mixed,91,screen_depth1,716.0699999999999,644,1054,1054,410,5,86,772,296,1,19,0.0707967499984079,True,5,0,True,88,91,0
terms_n24_0001_mixed,24,mixed,91,screen_depth2,685.6850000000001,616,1013,1013,397,5,87,742,283,1,26,0.3480011249994277,True,7,0,True,89,91,0
terms_n24_0001_mixed,24,mixed,91,screen_depth3,672.765,604,997,997,393,5,89,726,278,1,32,1.265571749994706,True,9,0,True,91,91,0
terms_n24_0001_mixed,24,mixed,91,screen_depth4,672.765,604,997,997,393,5,89,726,278,1,32,3.327225624998391,True,9,0,True,91,91,0
terms_n24_0001_mixed,24,mixed,91,screen_single,755.155,680,1107,1107,427,5,85,802,313,1,12,0.011005083004420158,True,3,0,True,87,91,0
terms_n24_0002_deep,24,deep,119,adaptive_all_depth,1242.085,1124,1805,1805,681,6,119,1234,544,1,40,8.512375541991787,True,11,0,True,119,119,0
terms_n24_0002_deep,24,deep,119,depth2_guard_direct,1315.97,1192,1906,1906,714,6,116,1302,576,1,25,0.4855613749969052,True,7,0,True,118,119,0
terms_n24_0002_deep,24,deep,119,depth_frontier_policy,1242.085,1124,1805,1805,681,6,119,1234,544,1,40,5.979017833000398,True,11,0,True,119,119,0
