name,n,profile,term_count,method,score,T,CNOT,depth,gates,peak_ancilla,schedule_logical_depth,schedule_cnot_depth_proxy,schedule_t_depth_proxy,explicit_ancilla_live_peak,explicit_ancilla_lifetime_area,time_s,anf_verified,plan_nodes,plan_mismatches,circuit_anf_verified,circuit_gates,circuit_max_wire_terms,circuit_mismatches
terms_n48_0000_shallow,48,shallow,60,adaptive_all_depth,513.6949999999999,460,743,743,283,5,51,512,218,1,23,2.341040956991492,True,5,0,True,53,60,0
terms_n48_0000_shallow,48,shallow,60,depth2_guard_direct,513.6949999999999,460,743,743,283,5,51,512,218,1,23,0.45337883301544935,True,5,0,True,53,60,0
terms_n48_0000_shallow,48,shallow,60,depth_frontier_policy,513.6949999999999,460,743,743,283,5,51,512,218,1,23,0.45337883301544935,True,5,0,True,53,60,0
terms_n48_0000_shallow,48,shallow,60,depth_policy,513.6949999999999,460,743,743,283,5,51,512,218,1,23,0.45337883301544935,True,5,0,True,53,60,0
terms_n48_0000_shallow,48,shallow,60,direct_logical_and,703.55,636,1014,1014,378,4,60,692,304,0,0,1.0830117389559746e-06,True,1,0,True,60,60,0
terms_n48_0000_shallow,48,shallow,60,screen_depth1,513.6949999999999,460,743,743,283,5,51,512,218,1,23,0.1614547909994144,True,5,0,True,53,60,0
terms_n48_0000_shallow,48,shallow,60,screen_depth2,513.6949999999999,460,743,743,283,5,51,512,218,1,23,0.45337883301544935,True,5,0,True,53,60,0
terms_n48_0000_shallow,48,shallow,60,screen_depth3,513.6949999999999,460,743,743,283,5,51,512,218,1,23,0.7455792499822564,True,5,0,True,53,60,0
terms_n48_0000_shallow,48,shallow,60,screen_depth4,513.6949999999999,460,743,743,283,5,51,512,218,1,23,0.9434467499959283,True,5,0,True,53,60,0
terms_n48_0000_shallow,48,shallow,60,screen_single,600.9549999999999,540,867,867,327,5,55,596,256,1,11,0.037181332998443395,True,3,0,True,57,60,0
terms_n48_0001_mixed,48,mixed,162,adaptive_all_depth,1612.11,1464,2350,2350,886,5,152,1593,702,1,48,59.51325024900143,True,11,0,True,154,162,0
terms_n48_0001_mixed,48,mixed,162,depth2_guard_direct,1651.0,1500,2400,2400,900,5,148,1633,719,1,36,3.196688500000164,True,7,0,True,150,162,0
terms_n48_0001_mixed,48,mixed,162,depth_frontier_policy,1612.11,1464,2350,2350,886,5,152,1593,702,1,48,42.03544462498394,True,11,0,True,154,162,0
terms_n48_0001_mixed,48,mixed,162,depth_policy,1651.0,1500,2400,2400,900,5,148,1633,719,1,36,3.196688500000164,True,7,0,True,150,162,0
terms_n48_0001_mixed,48,mixed,162,direct_logical_and,1930.18,1756,2796,2796,1040,5,162,1887,839,0,0,1.4590041246265173e-06,True,1,0,True,162,162,0
terms_n48_0001_mixed,48,mixed,162,screen_depth1,1729.625,1572,2513,2513,941,5,153,1703,750,1,23,0.6309182080149185,True,5,0,True,155,162,0
terms_n48_0001_mixed,48,mixed,162,screen_depth2,1651.0,1500,2400,2400,900,5,148,1633,719,1,36,3.196688500000164,True,7,0,True,150,162,0
terms_n48_0001_mixed,48,mixed,162,screen_depth3,1625.0300000000002,1476,2366,2366,890,5,150,1609,707,1,42,13.559956208016956,True,9,0,True,152,162,0
terms_n48_0001_mixed,48,mixed,162,screen_depth4,1612.11,1464,2350,2350,886,5,152,1593,702,1,48,42.03544462498394,True,11,0,True,154,162,0
terms_n48_0001_mixed,48,mixed,162,screen_single,1825.455,1660,2647,2647,987,5,155,1779,793,1,13,0.09024270798545331,True,3,0,True,157,162,0
terms_n48_0002_deep,48,deep,214,adaptive_all_depth,2276.08,2068,3304,3304,1236,7,200,2268,1001,1,52,83.82460912596434,True,11,0,True,202,214,0
terms_n48_0002_deep,48,deep,214,depth2_guard_direct,2389.44,2172,3464,3464,1292,7,204,2372,1047,1,32,4.543601999990642,True,7,0,True,206,214,0
terms_n48_0002_deep,48,deep,214,depth_frontier_policy,2276.08,2068,3304,3304,1236,7,200,2268,1001,1,52,59.31910854097805,True,11,0,True,202,214,0
terms_n48_0002_deep,48,deep,214,depth_policy,2389.44,2172,3464,3464,1292,7,204,2372,1047,1,32,4.543601999990642,True,7,0,True,206,214,0
terms_n48_0002_deep,48,deep,214,direct_logical_and,2677.06,2436,3868,3868,1432,7,214,2630,1176,0,0,1.1250085663050413e-06,True,1,0,True,214,214,0
terms_n48_0002_deep,48,deep,214,screen_depth1,2459.105,2236,3561,3561,1325,7,205,2434,1078,1,23,0.8727064589911606,True,5,0,True,207,214,0
terms_n48_0002_deep,48,deep,214,screen_depth2,2389.44,2172,3464,3464,1292,7,204,2372,1047,1,32,4.543601999990642,True,7,0,True,206,214,0
terms_n48_0002_deep,48,deep,214,screen_depth3,2323.9300000000003,2112,3370,3370,1258,7,200,2304,1022,1,44,18.96267258399166,True,9,0,True,202,214,0
terms_n48_0002_deep,48,deep,214,screen_depth4,2276.08,2068,3304,3304,1236,7,200,2268,1001,1,52,59.31910854097805,True,11,0,True,202,214,0
terms_n48_0002_deep,48,deep,214,screen_single,2546.3650000000002,2316,3685,3685,1369,7,209,2526,1116,1,11,0.12651954201282933,True,3,0,True,211,214,0
terms_n48_0003_shallow,48,shallow,36,adaptive_all_depth,295.025,260,425,425,165,5,33,297,120,1,9,0.17181537396390922,True,3,0,True,35,36,0
terms_n48_0003_shallow,48,shallow,36,depth2_guard_direct,295.025,260,425,425,165,5,33,297,120,1,9,0.03859962499700487,True,3,0,True,35,36,0
terms_n48_0003_shallow,48,shallow,36,depth_frontier_policy,295.025,260,425,425,165,5,33,297,120,1,9,0.03859962499700487,True,3,0,True,35,36,0
terms_n48_0003_shallow,48,shallow,36,depth_policy,295.025,260,425,425,165,5,33,297,120,1,9,0.03859962499700487,True,3,0,True,35,36,0
terms_n48_0003_shallow,48,shallow,36,direct_logical_and,345.29,308,498,498,190,4,36,353,143,0,0,1.1250085663050413e-06,True,1,0,True,36,36,0
terms_n48_0003_shallow,48,shallow,36,screen_depth1,295.025,260,425,425,165,5,33,297,120,1,9,0.03874258301220834,True,3,0,True,35,36,0
terms_n48_0003_shallow,48,shallow,36,screen_depth2,295.025,260,425,425,165,5,33,297,120,1,9,0.03859962499700487,True,3,0,True,35,36,0
terms_n48_0003_shallow,48,shallow,36,screen_depth3,295.025,260,425,425,165,5,33,297,120,1,9,0.039290749991778284,True,3,0,True,35,36,0
terms_n48_0003_shallow,48,shallow,36,screen_depth4,295.025,260,425,425,165,5,33,297,120,1,9,0.03494062498793937,True,3,0,True,35,36,0
terms_n48_0003_shallow,48,shallow,36,screen_single,295.025,260,425,425,165,5,33,297,120,1,9,0.020241790974978358,True,3,0,True,35,36,0
terms_n48_0004_mixed,48,mixed,112,adaptive_all_depth,685.5699999999999,616,1042,1042,426,4,116,1026,268,1,18,4.456686915043974,True,7,0,True,118,112,0
terms_n48_0004_mixed,48,mixed,112,depth2_guard_direct,685.5699999999999,616,1042,1042,426,4,116,1026,268,1,18,0.8950610000174493,True,7,0,True,118,112,0
terms_n48_0004_mixed,48,mixed,112,depth_frontier_policy,685.5699999999999,616,1042,1042,426,4,116,1026,268,1,18,0.8950610000174493,True,7,0,True,118,112,0
terms_n48_0004_mixed,48,mixed,112,depth_policy,685.5699999999999,616,1042,1042,426,4,116,1026,268,1,18,0.8950610000174493,True,7,0,True,118,112,0
terms_n48_0004_mixed,48,mixed,112,direct_logical_and,711.2800000000001,640,1072,1072,432,4,112,1052,274,0,0,1.2500095181167126e-06,True,1,0,True,112,112,0
terms_n48_0004_mixed,48,mixed,112,screen_depth1,694.14,624,1052,1052,428,4,114,1034,270,1,12,0.3180090829846449,True,5,0,True,116,112,0
terms_n48_0004_mixed,48,mixed,112,screen_depth2,685.5699999999999,616,1042,1042,426,4,116,1026,268,1,18,0.8950610000174493,True,7,0,True,118,112,0
terms_n48_0004_mixed,48,mixed,112,screen_depth3,685.5699999999999,616,1042,1042,426,4,116,1026,268,1,18,1.5806414580147248,True,7,0,True,118,112,0
terms_n48_0004_mixed,48,mixed,112,screen_depth4,685.5699999999999,616,1042,1042,426,4,116,1026,268,1,18,1.6005631660227664,True,7,0,True,118,112,0
