CNOT,T,anf_terms,correct,depth,explicit_ancilla,gates,method,n,n_qubits,name,peak_ancilla,score,skipped,terms,time_s,truth_table_hex
3,0,3,True,3,0,3,direct_anf,3,4,parity_n3,0,0.19499999999999998,,3,2.4080276489257812e-05,96
3,0,3,True,3,0,3,and_direct_anf,3,4,parity_n3,0,0.19499999999999998,,3,2.002716064453125e-05,96
3,0,3,True,3,0,3,and_rc_nmcts,3,4,parity_n3,0,0.19499999999999998,,3,0.0023818016052246094,96
3,0,3,True,3,0,3,greedy_factor,3,4,parity_n3,0,0.19499999999999998,,3,1.52587890625e-05,96
3,0,3,True,3,0,3,mcts_factor,3,4,parity_n3,0,0.19499999999999998,,3,3.0994415283203125e-05,96
3,0,3,True,3,0,3,fprm_mcts,3,4,parity_n3,0,0.19499999999999998,,3,0.0003027915954589844,96
3,0,3,True,3,0,3,and_fprm_mcts,3,4,parity_n3,0,0.19499999999999998,,3,0.0003032684326171875,96
3,0,3,True,3,0,3,and_fprm_neural_mcts,3,4,parity_n3,0,0.19499999999999998,,3,0.0006222724914550781,96
56,64,3,True,68,0,16,cube_greedy,3,4,parity_n3,1,69.41999999999999,,3,0.00011610984802246094,96
56,64,3,True,68,0,16,cube_beam,3,4,parity_n3,1,69.41999999999999,,3,7.987022399902344e-05,96
3,0,3,True,3,0,3,neural_mcts,3,4,parity_n3,0,0.19499999999999998,,3,3.3855438232421875e-05,96
16,8,3,True,20,0,10,sshr_h,3,4,parity_n3,0,9.040000000000001,,3,0.0001659393310546875,96
18,12,3,True,18,0,3,direct_anf,3,4,majority_n3,0,13.02,,3,1.3113021850585938e-05,E8
21,12,3,True,21,0,9,and_direct_anf,3,4,majority_n3,0,13.245,,3,1.1920928955078125e-05,E8
21,12,3,True,21,0,9,and_rc_nmcts,3,4,majority_n3,0,13.245,,3,0.0010709762573242188,E8
18,12,3,True,18,0,3,greedy_factor,3,4,majority_n3,0,13.02,,3,1.9788742065429688e-05,E8
18,12,3,True,18,0,3,mcts_factor,3,4,majority_n3,0,13.02,,3,3.314018249511719e-05,E8
18,12,3,True,18,0,3,fprm_mcts,3,4,majority_n3,0,13.02,,3,0.0004107952117919922,E8
21,12,3,True,21,0,9,and_fprm_mcts,3,4,majority_n3,0,13.245,,3,0.00040793418884277344,E8
21,12,3,True,21,0,9,and_fprm_neural_mcts,3,4,majority_n3,0,13.245,,3,0.0008189678192138672,E8
29,32,3,True,35,0,9,cube_greedy,3,4,majority_n3,1,35.775,,3,2.193450927734375e-05,E8
29,32,3,True,35,0,9,cube_beam,3,4,majority_n3,1,35.775,,3,0.00010204315185546875,E8
18,12,3,True,18,0,3,neural_mcts,3,4,majority_n3,0,13.02,,3,3.910064697265625e-05,E8
11,4,3,True,11,0,6,sshr_h,3,4,majority_n3,0,4.665,,3,2.6702880859375e-05,E8
18,12,3,True,18,0,3,direct_anf,3,4,threshold2_n3,0,13.02,,3,1.0967254638671875e-05,E8
21,12,3,True,21,0,9,and_direct_anf,3,4,threshold2_n3,0,13.245,,3,1.0967254638671875e-05,E8
21,12,3,True,21,0,9,and_rc_nmcts,3,4,threshold2_n3,0,13.245,,3,0.0010859966278076172,E8
18,12,3,True,18,0,3,greedy_factor,3,4,threshold2_n3,0,13.02,,3,1.9788742065429688e-05,E8
18,12,3,True,18,0,3,mcts_factor,3,4,threshold2_n3,0,13.02,,3,3.314018249511719e-05,E8
18,12,3,True,18,0,3,fprm_mcts,3,4,threshold2_n3,0,13.02,,3,0.0004107952117919922,E8
21,12,3,True,21,0,9,and_fprm_mcts,3,4,threshold2_n3,0,13.245,,3,0.0004069805145263672,E8
21,12,3,True,21,0,9,and_fprm_neural_mcts,3,4,threshold2_n3,0,13.245,,3,0.0008189678192138672,E8
29,32,3,True,35,0,9,cube_greedy,3,4,threshold2_n3,1,35.775,,3,2.002716064453125e-05,E8
29,32,3,True,35,0,9,cube_beam,3,4,threshold2_n3,1,35.775,,3,0.0001010894775390625,E8
18,12,3,True,18,0,3,neural_mcts,3,4,threshold2_n3,0,13.02,,3,3.886222839355469e-05,E8
11,4,3,True,11,0,6,sshr_h,3,4,threshold2_n3,0,4.665,,3,2.288818359375e-05,E8
4,0,4,True,4,0,4,direct_anf,4,5,parity_n4,0,0.26,,4,1.3113021850585938e-05,6996
4,0,4,True,4,0,4,and_direct_anf,4,5,parity_n4,0,0.26,,4,1.3113021850585938e-05,6996
4,0,4,True,4,0,4,and_rc_nmcts,4,5,parity_n4,0,0.26,,4,0.0015463829040527344,6996
4,0,4,True,4,0,4,greedy_factor,4,5,parity_n4,0,0.26,,4,1.9073486328125e-05,6996
4,0,4,True,4,0,4,mcts_factor,4,5,parity_n4,0,0.26,,4,3.1948089599609375e-05,6996
4,0,4,True,4,0,4,fprm_mcts,4,5,parity_n4,0,0.26,,4,0.0004677772521972656,6996
4,0,4,True,4,0,4,and_fprm_mcts,4,5,parity_n4,0,0.26,,4,0.00047278404235839844,6996
4,0,4,True,4,0,4,and_fprm_neural_mcts,4,5,parity_n4,0,0.26,,4,0.0011682510375976562,6996
80,192,4,True,112,0,40,cube_greedy,4,5,parity_n4,1,199.28,,4,0.0002799034118652344,6996
80,192,4,True,112,0,40,cube_beam,4,5,parity_n4,1,199.28,,4,0.0011272430419921875,6996
4,0,4,True,4,0,4,neural_mcts,4,5,parity_n4,0,0.26,,4,4.601478576660156e-05,6996
20,8,4,True,24,0,14,sshr_h,4,5,parity_n4,0,9.3,,4,0.001177072525024414,6996
14,8,5,True,15,0,5,direct_anf,3,4,truth_n3_0,0,8.835,,5,1.6927719116210938e-05,A3
16,8,5,True,17,0,9,and_direct_anf,3,4,truth_n3_0,0,8.985000000000001,,5,1.5735626220703125e-05,A3
15,8,5,True,17,0,9,and_rc_nmcts,3,4,truth_n3_0,0,8.945,,3,0.0009701251983642578,A3
14,8,5,True,15,0,5,greedy_factor,3,4,truth_n3_0,0,8.835,,5,2.5033950805664062e-05,A3
14,8,5,True,15,0,5,mcts_factor,3,4,truth_n3_0,0,8.835,,5,3.719329833984375e-05,A3
13,8,5,True,15,0,5,fprm_mcts,3,4,truth_n3_0,0,8.795,,3,0.00035691261291503906,A3
15,8,5,True,17,0,9,and_fprm_mcts,3,4,truth_n3_0,0,8.945,,3,0.00035119056701660156,A3
15,8,5,True,17,0,9,and_fprm_neural_mcts,3,4,truth_n3_0,0,8.945,,3,0.0007238388061523438,A3
29,32,5,True,37,0,11,cube_greedy,3,4,truth_n3_0,1,35.824999999999996,,5,2.3603439331054688e-05,A3
12,8,5,True,16,0,6,cube_beam,3,4,truth_n3_0,0,8.780000000000001,,5,9.703636169433594e-05,A3
14,8,5,True,15,0,5,neural_mcts,3,4,truth_n3_0,0,8.835,,5,4.291534423828125e-05,A3
9,4,5,True,13,0,8,sshr_h,3,4,truth_n3_0,0,4.635000000000001,,5,2.47955322265625e-05,A3
22,20,4,True,22,0,4,direct_anf,3,4,truth_n3_1,1,23.249999999999996,,4,1.2874603271484375e-05,1C
22,12,4,True,22,0,10,and_direct_anf,3,4,truth_n3_1,1,15.31,,4,1.3113021850585938e-05,1C
