split,name,n,profile,term_count,run_depth4_label,run_depth4_prob,run_depth4_pred,depth2_score,depth4_score,gate_score,sparse_score,depth2_time_s,depth4_time_s,gate_time_s,sparse_time_s
train,train_n16_0000_mixed,16,mixed,84,1,0.9998078942298889,1,763.53,720.225,720.225,720.225,0.15913695801282302,1.79533958400134,1.954476542014163,1.954476542014163
train,train_n16_0001_deep,16,deep,159,1,0.9999998807907104,1,1805.2500000000002,1722.925,1722.925,1722.925,0.34887158300261945,4.107832917012274,4.456704500014894,4.456704500014894
train,train_n16_0002_shallow,16,shallow,62,1,0.9999340772628784,1,535.77,527.2,527.2,527.2,0.1122844169876771,0.9439980000024661,1.0562824169901432,1.0562824169901432
train,train_n16_0003_mixed,16,mixed,63,1,0.9994248151779175,1,422.99499999999995,397.21999999999997,397.21999999999997,397.21999999999997,0.11133470799541101,1.2070156249974389,1.3183503329928499,1.3183503329928499
train,train_n16_0004_deep,16,deep,145,1,0.9993053674697876,1,1171.305,1088.525,1088.525,1088.525,0.33325924999371637,3.3986054999986663,3.7318647499923827,3.7318647499923827
train,train_n16_0005_shallow,16,shallow,76,1,0.9999420642852783,1,467.34,441.37,441.37,441.37,0.13618720800150186,1.4687767499999609,1.6049639580014627,1.6049639580014627
train,train_n16_0006_mixed,16,mixed,112,1,0.9995725750923157,1,860.985,804.5,804.5,804.5,0.22746516700135544,2.5305087079905206,2.757973874991876,2.757973874991876
train,train_n16_0007_deep,16,deep,196,1,1.0,1,2370.22,2187.2599999999998,2187.2599999999998,2187.2599999999998,0.46791166700131726,5.062313083995832,5.530224750997149,5.530224750997149
train,train_n16_0008_shallow,16,shallow,52,1,0.9590510725975037,1,246.89,221.05,221.05,221.05,0.08571191699593328,0.9540515840053558,1.0397635010012891,1.0397635010012891
train,train_n16_0009_mixed,16,mixed,115,1,0.9995150566101074,1,961.1650000000001,893.63,893.63,893.63,0.2269056660006754,2.572758124995744,2.7996637909964193,2.7996637909964193
train,train_n16_0010_deep,16,deep,140,1,0.9999674558639526,1,1403.75,1299.285,1299.285,1299.285,0.2932934580021538,3.249406208997243,3.542699666999397,3.542699666999397
train,train_n16_0011_shallow,16,shallow,82,1,0.9998784065246582,1,528.435,485.06500000000005,485.06500000000005,485.06500000000005,0.14739041701250244,1.569756833006977,1.7171472500194795,1.7171472500194795
train,train_n16_0012_mixed,16,mixed,141,1,0.9998083710670471,1,1149.1250000000002,1061.995,1061.995,1061.995,0.30864508300146554,3.0312659579940373,3.339911040995503,3.339911040995503
train,train_n16_0013_deep,16,deep,174,1,0.9999991655349731,1,1854.1399999999999,1784.54,1784.54,1784.54,0.3838147089991253,4.587005999987014,4.970820708986139,4.970820708986139
train,train_n16_0014_shallow,16,shallow,55,1,0.9970692992210388,1,331.06,313.98500000000007,313.98500000000007,313.98500000000007,0.09438991700881161,0.8272240000078455,0.9216139170166571,0.9216139170166571
train,train_n16_0015_mixed,16,mixed,100,1,0.999956488609314,1,890.1999999999999,796.5,796.5,796.5,0.19589754201297183,1.9713442500069505,2.1672417920199223,2.1672417920199223
train,train_n16_0016_deep,16,deep,221,1,1.0,1,2437.225,2284.52,2284.52,2284.52,0.514968041999964,5.878974874998676,6.39394291699864,6.39394291699864
train,train_n16_0017_shallow,16,shallow,37,0,0.001930374768562615,0,221.335,221.335,221.335,221.335,0.03712495800573379,0.06022233401017729,0.03712495800573379,0.09734729201591108
