source,name,n,profile,term_count,selected_depth,run_depth4,score,T,CNOT,depth,gates,peak_ancilla,schedule_t_depth_proxy,explicit_ancilla_lifetime_area,time_s,verified
training_valid,valid_n16_0000_mixed,16,mixed,69,4,1,414.88,368.0,624.0,624.0,0.0,5.0,0.0,0.0,1.9460374999980559,1
training_valid,valid_n16_0001_deep,16,deep,123,4,1,1309.205,1184.0,1893.0,1893.0,0.0,7.0,0.0,0.0,4.312803501001326,1
training_valid,valid_n16_0002_shallow,16,shallow,55,4,1,362.51,324.0,550.0,550.0,0.0,3.0,0.0,0.0,1.154518540999561,1
training_valid,valid_n16_0003_mixed,16,mixed,116,4,1,843.26,760.0,1244.0,1244.0,0.0,5.0,0.0,0.0,3.6031899160007015,1
training_valid,valid_n16_0004_deep,16,deep,131,4,1,1024.845,924.0,1509.0,1509.0,0.0,6.0,0.0,0.0,4.422854749995167,1
training_valid,valid_n16_0005_shallow,16,shallow,37,2,0,199.715,172.0,299.0,299.0,0.0,5.0,0.0,0.0,0.12661904199921992,1
training_valid,valid_n16_0006_mixed,16,mixed,103,4,1,995.64,900.0,1456.0,1456.0,0.0,5.0,0.0,0.0,3.541847750006127,1
training_valid,valid_n16_0007_deep,16,deep,201,4,1,2263.7299999999996,2056.0,3266.0,3266.0,0.0,8.0,0.0,0.0,7.798287165998772,1
training_valid,valid_n16_0008_shallow,16,shallow,43,2,0,400.555,360.0,587.0,587.0,0.0,3.0,0.0,0.0,0.023106082997401245,1
training_valid,valid_n16_0009_mixed,16,mixed,138,4,1,1229.75,1112.0,1798.0,1798.0,0.0,6.0,0.0,0.0,5.016464667001856,1
training_valid,valid_n16_0010_deep,16,deep,137,4,1,1142.75,1032.0,1678.0,1678.0,0.0,6.0,0.0,0.0,4.852972333006619,1
training_valid,valid_n16_0011_shallow,16,shallow,26,2,0,149.36999999999998,132.0,226.0,226.0,0.0,2.0,0.0,0.0,0.005305207989295013,1
training_valid,valid_n16_0012_mixed,16,mixed,151,4,1,1428.0849999999998,1292.0,2077.0,2077.0,0.0,7.0,0.0,0.0,5.431444666995958,1
training_valid,valid_n16_0013_deep,16,deep,188,4,1,2017.22,1832.0,2916.0,2916.0,0.0,7.0,0.0,0.0,6.949236084001313,1
training_valid,valid_n16_0014_shallow,16,shallow,57,4,1,414.84,372.0,624.0,624.0,0.0,3.0,0.0,0.0,1.3501246660016477,1
training_valid,valid_n16_0015_mixed,16,mixed,105,3,0,1030.5700000000002,932.0,1506.0,1506.0,0.0,5.0,0.0,0.0,1.0900963760068407,1
training_valid,valid_n16_0016_deep,16,deep,146,4,1,1204.04,1088.0,1768.0,1768.0,0.0,6.0,0.0,0.0,5.108037832993432,1
training_valid,valid_n16_0017_shallow,16,shallow,73,4,1,576.285,516.0,853.0,853.0,0.0,5.0,0.0,0.0,2.241665166999155,1
training_valid,valid_n16_0018_mixed,16,mixed,104,4,1,829.95,748.0,1222.0,1222.0,0.0,5.0,0.0,0.0,3.2527028339973185,1
training_valid,valid_n16_0019_deep,16,deep,159,4,1,1559.04,1412.0,2264.0,2264.0,0.0,7.0,0.0,0.0,5.684044082001492,1
training_valid,valid_n16_0020_shallow,16,shallow,62,4,1,470.91,420.0,694.0,694.0,0.0,5.0,0.0,0.0,1.7348104169941507,1
training_valid,valid_n16_0021_mixed,16,mixed,130,4,1,1191.8849999999998,1076.0,1733.0,1733.0,0.0,7.0,0.0,0.0,4.412913291991572,1
training_valid,valid_n16_0022_deep,16,deep,235,4,1,2232.97,2028.0,3250.0,3250.0,0.0,7.0,0.0,0.0,9.159933333998197,1
training_valid,valid_n16_0023_shallow,16,shallow,57,4,1,303.675,268.0,467.0,467.0,0.0,4.0,0.0,0.0,1.2611298319970956,1
training_valid,valid_n20_0000_deep,20,deep,157,4,1,1646.365,1492.0,2389.0,2389.0,0.0,7.0,0.0,0.0,8.575575625007332,1
training_valid,valid_n20_0001_shallow,20,shallow,60,3,0,360.41999999999996,320.0,548.0,548.0,0.0,4.0,0.0,0.0,0.44690304200776154,1
training_valid,valid_n20_0002_mixed,20,mixed,133,4,1,857.415,772.0,1279.0,1279.0,0.0,5.0,0.0,0.0,6.387099001010938,1
training_valid,valid_n20_0003_deep,20,deep,113,4,1,1165.7450000000001,1056.0,1697.0,1697.0,0.0,5.0,0.0,0.0,5.818559917002858,1
training_valid,valid_n20_0004_shallow,20,shallow,59,3,1,448.9,400.0,660.0,660.0,0.0,5.0,0.0,0.0,1.8841356670091045,1
training_valid,valid_n20_0005_mixed,20,mixed,125,4,1,1109.56,1000.0,1624.0,1624.0,0.0,7.0,0.0,0.0,6.44114087500202,1
training_valid,valid_n20_0006_deep,20,deep,174,4,1,1582.09,1432.0,2314.0,2314.0,0.0,7.0,0.0,0.0,9.690620541994576,1
training_valid,valid_n20_0007_shallow,20,shallow,40,2,0,221.79,192.0,334.0,334.0,0.0,5.0,0.0,0.0,0.3402358750026906,1
training_valid,valid_n20_0008_mixed,20,mixed,72,2,0,563.04,504.0,832.0,832.0,0.0,5.0,0.0,0.0,0.4639919999972335,1
training_valid,valid_n20_0009_deep,20,deep,139,4,1,1208.455,1092.0,1775.0,1775.0,0.0,6.0,0.0,0.0,7.148231209001096,1
training_valid,valid_n20_0010_shallow,20,shallow,32,3,0,321.40999999999997,288.0,466.0,466.0,0.0,3.0,0.0,0.0,0.010861499999009538,1
training_valid,valid_n20_0011_mixed,20,mixed,118,4,1,1070.24,968.0,1568.0,1568.0,0.0,5.0,0.0,0.0,6.045133166000596,1
training_valid,valid_n20_0012_deep,20,deep,167,4,1,1618.655,1468.0,2359.0,2359.0,0.0,6.0,0.0,0.0,9.074566374991264,1
training_valid,valid_n20_0013_shallow,20,shallow,63,2,0,523.785,472.0,777.0,777.0,0.0,3.0,0.0,0.0,0.15365237499645445,1
training_valid,valid_n20_0014_mixed,20,mixed,93,4,1,507.53000000000003,452.0,770.0,770.0,0.0,5.0,0.0,0.0,4.1992641239994555,1
training_valid,valid_n20_0015_deep,20,deep,194,4,1,2348.535,2136.0,3383.0,3383.0,0.0,7.0,0.0,0.0,11.151762709007016,1
training_valid,valid_n20_0016_shallow,20,shallow,29,3,0,188.715,168.0,283.0,283.0,0.0,2.0,0.0,0.0,0.014059707995329518,1
training_valid,valid_n20_0017_mixed,20,mixed,148,4,1,1202.3,1088.0,1772.0,1772.0,0.0,5.0,0.0,0.0,7.780148249999911,1
training_valid,valid_n20_0018_deep,20,deep,158,4,1,1252.605,1132.0,1845.0,1845.0,0.0,6.0,0.0,0.0,8.312770331998763,1
training_valid,valid_n20_0019_shallow,20,shallow,72,4,1,545.77,488.0,810.0,810.0,0.0,5.0,0.0,0.0,2.7039858319985797,1
training_valid,valid_n20_0020_mixed,20,mixed,78,4,1,450.33,400.0,682.0,682.0,0.0,5.0,0.0,0.0,3.5016631659964332,1
training_valid,valid_n20_0021_deep,20,deep,152,4,1,1316.1799999999998,1192.0,1940.0,1940.0,0.0,5.0,0.0,0.0,8.406146958994213,1
training_valid,valid_n20_0022_shallow,20,shallow,63,2,0,479.09,428.0,698.0,698.0,0.0,5.0,0.0,0.0,0.5439879999976256,1
