name,n,family,degree,degree_bucket,anf_terms,anf_bucket,onset_density,density_bucket,truth_table_hex,target_method,target_score,target_T,target_CNOT,direct_anf_score,direct_anf_score_delta_pct,esop_milp_score,esop_milp_score_delta_pct,sshr_h_score,sshr_h_score_delta_pct,abc_xag_score,abc_xag_score_delta_pct,caterpillar_api_score,caterpillar_api_score_delta_pct
adder_carry_w2,4,arithmetic/mux,3,degree 3,3,ANF <= n,0.375000,onset balanced,EC80,and_pareto_resource_nmcts,17.630000,12.000000,25.000000,39.900000,-55.814536,23.945000,-26.372938,28.180000,-37.437899,50.595000,-65.154660,30.465000,-42.130313
adder_carry_w3,6,arithmetic/mux,4,degree >=4,7,ANF n..2n,0.437500,onset balanced,FEFCF8F0E0C08000,and_pareto_resource_nmcts,39.395000,28.000000,55.000000,138.140000,-71.481830,98.005000,-59.803071,53.000000,-25.669811,79.925000,-50.710041,91.215000,-56.810832
majority_n3,3,threshold/majority,2,degree 2,3,ANF <= n,0.500000,onset balanced,E8,and_pareto_resource_nmcts,4.740000,4.000000,12.000000,13.020000,-63.594470,13.245000,-64.212911,4.665000,+1.607717,37.985000,-87.521390,18.395000,-74.232128
majority_n4,4,threshold/majority,4,degree >=4,5,ANF n..2n,0.312500,onset balanced,E880,and_pareto_resource_nmcts,31.150000,24.000000,49.000000,93.680000,-66.748506,39.325000,-20.788303,47.990000,-35.090644,63.205000,-50.715924,54.850000,-43.208751
majority_n5,5,threshold/majority,4,degree >=4,15,ANF > 2n,0.500000,onset balanced,FEE8E880,and_pareto_resource_nmcts,40.190000,32.000000,70.000000,292.600000,-86.264525,93.950000,-57.221927,87.790000,-54.220298,130.095000,-69.107191,140.490000,-71.392982
majority_n6,6,threshold/majority,4,degree >=4,15,ANF > 2n,0.343750,onset balanced,FEE8E880E8808000,and_pareto_resource_nmcts,108.115000,92.000000,171.000000,370.400000,-70.811285,200.895000,-46.183330,196.050000,-44.853354,211.655000,-48.919232,158.475000,-31.777883
mul_w2_bit1,4,arithmetic/mux,2,degree 2,2,ANF <= n,0.375000,onset balanced,6AC0,and_pareto_resource_nmcts,8.830000,8.000000,14.000000,8.680000,+1.728111,8.830000,+0.000000,40.520000,-78.208292,46.525000,-81.020956,12.200000,-27.622951
mul_w3_bit2,6,arithmetic/mux,4,degree >=4,4,ANF <= n,0.437500,onset balanced,1E665AAAB4CCF000,and_pareto_resource_nmcts,26.250000,20.000000,38.000000,39.580000,-33.678626,30.360000,-13.537549,52.690000,-50.180300,113.505000,-76.873265,36.555000,-28.190398
mux_2_4,6,arithmetic/mux,3,degree 3,9,ANF n..2n,0.500000,onset balanced,FEDCBA9876543210,and_pareto_resource_nmcts,38.035000,32.000000,65.000000,86.545000,-56.051765,37.260000,+2.079979,65.860000,-42.248709,82.075000,-53.658239,61.285000,-37.937505
parity_n3,3,parity,1,degree 0-1,3,ANF <= n,0.500000,onset balanced,96,and_pareto_resource_nmcts,0.195000,0.000000,3.000000,0.195000,+0.000000,0.195000,+0.000000,9.040000,-97.842920,21.305000,-99.084722,0.245000,-5.000000
parity_n4,4,parity,1,degree 0-1,4,ANF <= n,0.500000,onset balanced,6996,and_pareto_resource_nmcts,0.260000,0.000000,4.000000,0.260000,+0.000000,0.260000,+0.000000,9.300000,-97.204301,23.405000,-98.889126,0.360000,-10.000000
parity_n5,5,parity,1,degree 0-1,5,ANF <= n,0.500000,onset balanced,96696996,and_pareto_resource_nmcts,0.325000,0.000000,5.000000,0.325000,+0.000000,0.325000,+0.000000,104.840000,-99.690004,61.145000,-99.468477,0.475000,-15.000000
parity_n6,6,parity,1,degree 0-1,6,ANF <= n,0.500000,onset balanced,6996966996696996,and_pareto_resource_nmcts,0.390000,0.000000,6.000000,0.390000,+0.000000,0.390000,+0.000000,105.620000,-99.630752,63.245000,-99.383350,0.590000,-20.000000
threshold2_n3,3,threshold/majority,2,degree 2,3,ANF <= n,0.500000,onset balanced,E8,and_pareto_resource_nmcts,4.740000,4.000000,12.000000,13.020000,-63.594470,13.245000,-64.212911,4.665000,+1.607717,37.985000,-87.521390,18.395000,-74.232128
threshold2_n4,4,threshold/majority,4,degree >=4,7,ANF n..2n,0.687500,onset balanced,FEE8,and_pareto_resource_nmcts,30.925000,24.000000,49.000000,52.600000,-41.207224,39.500000,-21.708861,40.235000,-23.139058,77.825000,-60.263412,43.010000,-28.098117
threshold2_n5,5,threshold/majority,4,degree >=4,15,ANF > 2n,0.812500,onset dense,FFFEFEE8,and_pareto_resource_nmcts,48.885000,40.000000,78.000000,168.200000,-70.936385,72.400000,-32.479282,68.765000,-28.910056,142.705000,-65.744017,92.180000,-46.967889
threshold3_n6,6,threshold/majority,4,degree >=4,35,ANF > 2n,0.656250,onset balanced,FFFEFEE8FEE8E880,and_pareto_resource_nmcts,108.440000,92.000000,171.000000,706.000000,-84.640227,368.185000,-70.547415,197.095000,-44.980847,247.245000,-56.140670,293.575000,-63.062250
truth_n4_0,4,random truth-table,3,degree 3,9,ANF > 2n,0.500000,onset balanced,A3B1,and_pareto_resource_nmcts,19.905000,16.000000,31.000000,53.075000,-62.496467,24.185000,-17.696920,23.595000,-15.638907,69.375000,-71.308108,43.135000,-53.854179
truth_n4_1,4,random truth-table,3,degree 3,4,ANF <= n,0.250000,onset balanced,1C80,and_pareto_resource_nmcts,20.275000,16.000000,37.000000,44.240000,-54.170434,23.995000,-15.503230,23.430000,-13.465642,59.045000,-65.661783,30.565000,-33.665958
truth_n4_10,4,random truth-table,4,degree >=4,7,ANF n..2n,0.562500,onset balanced,AD3C,and_pareto_resource_nmcts,17.805000,12.000000,28.000000,52.215000,-65.900603,26.160000,-31.938073,31.425000,-43.341289,73.665000,-75.829770,36.945000,-51.806740
truth_n4_11,4,random truth-table,3,degree 3,9,ANF > 2n,0.625000,onset balanced,BD9C,and_pareto_resource_nmcts,15.605000,12.000000,25.000000,53.115000,-70.620352,24.210000,-35.543164,28.035000,-44.337435,58.955000,-73.530659,37.190000,-58.039796
truth_n4_12,4,random truth-table,3,degree 3,11,ANF > 2n,0.500000,onset balanced,E465,and_pareto_resource_nmcts,20.220000,16.000000,35.000000,69.920000,-71.081236,28.585000,-29.263600,24.005000,-15.767548,75.545000,-73.234496,43.335000,-53.340256
truth_n4_13,4,random truth-table,4,degree >=4,9,ANF > 2n,0.562500,onset balanced,8B9D,and_pareto_resource_nmcts,26.715000,20.000000,44.000000,65.130000,-58.982036,35.010000,-23.693231,48.435000,-44.843605,71.565000,-62.670300,43.105000,-38.023431
truth_n4_14,4,random truth-table,4,degree >=4,10,ANF > 2n,0.312500,onset balanced,1641,and_pareto_resource_nmcts,22.195000,16.000000,35.000000,69.085000,-67.872910,30.660000,-27.609263,48.220000,-53.971381,52.785000,-57.952070,43.205000,-48.628631
truth_n4_15,4,random truth-table,3,degree 3,7,ANF n..2n,0.500000,onset balanced,972A,and_pareto_resource_nmcts,15.750000,12.000000,28.000000,73.590000,-78.597636,34.975000,-54.967834,23.885000,-34.059033,42.275000,-62.743938,48.985000,-67.847300
truth_n4_16,4,random truth-table,3,degree 3,8,ANF n..2n,0.375000,onset balanced,6C03,and_pareto_resource_nmcts,15.540000,12.000000,24.000000,44.460000,-65.047233,19.785000,-21.455648,23.480000,-33.816014,46.525000,-66.598603,24.915000,-37.627935
truth_n4_17,4,random truth-table,4,degree >=4,4,ANF <= n,0.187500,onset sparse,822,and_pareto_resource_nmcts,21.900000,16.000000,32.000000,35.305000,-37.969126,25.995000,-15.753029,31.080000,-29.536680,31.725000,-30.969267,24.560000,-10.830619
truth_n4_18,4,random truth-table,4,degree >=4,6,ANF n..2n,0.312500,onset balanced,7A0,and_pareto_resource_nmcts,17.925000,12.000000,31.000000,68.865000,-73.970812,26.160000,-31.479358,48.190000,-62.803486,50.505000,-64.508465,42.865000,-58.182667
truth_n4_19,4,random truth-table,3,degree 3,8,ANF n..2n,0.625000,onset balanced,17FC,and_pareto_resource_nmcts,15.555000,12.000000,25.000000,48.775000,-68.108662,24.225000,-35.789474,23.515000,-33.850734,92.535000,-83.190144,31.010000,-49.838762
truth_n4_2,4,random truth-table,4,degree >=4,12,ANF > 2n,0.437500,onset balanced,667,and_pareto_resource_nmcts,26.610000,20.000000,42.000000,86.315000,-69.171059,35.100000,-24.188034,43.995000,-39.515854,46.345000,-42.582803,55.520000,-52.071326
truth_n4_20,4,random truth-table,3,degree 3,6,ANF n..2n,0.625000,onset balanced,37F8,and_pareto_resource_nmcts,19.760000,16.000000,28.000000,44.370000,-55.465405,19.760000,+0.000000,27.905000,-29.188318,86.275000,-77.096494,30.795000,-35.833739
truth_n4_21,4,random truth-table,3,degree 3,6,ANF n..2n,0.625000,onset balanced,3B8F,and_pareto_resource_nmcts,20.105000,16.000000,34.000000,44.330000,-54.646966,24.070000,-16.472788,23.545000,-14.610321,84.175000,-76.115236,30.675000,-34.458028
truth_n4_22,4,random truth-table,4,degree >=4,9,ANF > 2n,0.437500,onset balanced,815E,and_pareto_resource_nmcts,18.080000,12.000000,33.000000,69.060000,-73.819867,26.225000,-31.058151,52.450000,-65.529075,71.475000,-74.704442,37.175000,-51.365165
truth_n4_23,4,random truth-table,3,degree 3,7,ANF n..2n,0.500000,onset balanced,9A1D,and_pareto_resource_nmcts,15.710000,12.000000,27.000000,31.955000,-50.837115,19.785000,-20.596411,23.725000,-33.782929,71.565000,-78.047928,30.835000,-49.051403
truth_n4_24,4,random truth-table,4,degree >=4,12,ANF > 2n,0.437500,onset balanced,6CB,and_pareto_resource_nmcts,22.295000,16.000000,35.000000,106.920000,-79.147961,30.610000,-27.164325,40.290000,-44.663688,48.535000,-54.064077,61.570000,-63.789183
truth_n4_25,4,random truth-table,3,degree 3,7,ANF n..2n,0.625000,onset balanced,8FAD,and_pareto_resource_nmcts,19.720000,16.000000,27.000000,44.395000,-55.580583,19.720000,+0.000000,23.465000,-15.959940,58.955000,-66.550759,36.840000,-46.471227
truth_n4_26,4,random truth-table,4,degree >=4,8,ANF n..2n,0.562500,onset balanced,32E7,and_pareto_resource_nmcts,22.570000,16.000000,40.000000,44.075000,-48.791832,30.675000,-26.422168,35.945000,-37.209626,71.565000,-68.462237,36.970000,-38.950500
truth_n4_27,4,random truth-table,3,degree 3,9,ANF > 2n,0.625000,onset balanced,B74D,and_pareto_resource_nmcts,15.615000,12.000000,24.000000,40.635000,-61.572536,19.810000,-21.176174,28.265000,-44.754997,67.315000,-76.803090,37.085000,-57.894027
truth_n4_28,4,random truth-table,4,degree >=4,9,ANF > 2n,0.562500,onset balanced,A65E,and_pareto_resource_nmcts,22.065000,16.000000,33.000000,73.335000,-69.912047,26.210000,-15.814575,35.735000,-38.253813,65.215000,-66.165759,43.195000,-48.917699
truth_n4_29,4,random truth-table,3,degree 3,7,ANF n..2n,0.500000,onset balanced,B38A,and_pareto_resource_nmcts,20.095000,16.000000,35.000000,48.710000,-58.745637,24.095000,-16.600955,23.595000,-14.833651,71.475000,-71.885275,42.980000,-53.245696
truth_n4_3,4,random truth-table,4,degree >=4,11,ANF > 2n,0.687500,onset balanced,BDD6,and_pareto_resource_nmcts,30.985000,24.000000,48.000000,90.180000,-65.640940,39.350000,-21.257942,40.565000,-23.616418,86.185000,-64.048268,49.475000,-37.372410
truth_n4_30,4,random truth-table,3,degree 3,9,ANF > 2n,0.375000,onset balanced,8B81,and_pareto_resource_nmcts,15.540000,12.000000,24.000000,36.360000,-57.260726,19.795000,-21.495327,27.790000,-44.080605,50.505000,-69.230769,37.100000,-58.113208
truth_n4_31,4,random truth-table,4,degree >=4,10,ANF > 2n,0.562500,onset balanced,6B65,and_pareto_resource_nmcts,22.115000,16.000000,33.000000,90.075000,-75.448238,26.260000,-15.784463,35.995000,-38.560911,65.215000,-66.089090,55.290000,-60.001809
