name,n,profile,term_count,truth_build_time_s,method,score,T,CNOT,depth,gates,peak_ancilla,schedule_logical_depth,schedule_cnot_depth_proxy,schedule_t_depth_proxy,explicit_ancilla_live_peak,explicit_ancilla_lifetime_area,plan_time_s,truth_verify_time_s,truth_verified,anf_verified,plan_nodes,plan_mismatches,circuit_anf_verified,circuit_gates,circuit_max_wire_terms,circuit_mismatches
truth_bridge_n30_000_shallow,30,shallow,31,7.700545791012701,adaptive_all_depth,251.32999999999998,220,362,362,142,5,30,259,101,1,7,0.0668842909799423,5.448241834004875,True,True,3,0,True,32,31,0
truth_bridge_n30_000_shallow,30,shallow,31,7.700545791012701,depth2_guard_direct,251.32999999999998,220,362,362,142,5,30,259,101,1,7,0.015057582990266383,4.43217949999962,True,True,3,0,True,32,31,0
truth_bridge_n30_000_shallow,30,shallow,31,7.700545791012701,depth_frontier_policy,251.32999999999998,220,362,362,142,5,30,259,101,1,7,0.01611470800708048,4.575501583021833,True,True,3,0,True,32,31,0
truth_bridge_n30_000_shallow,30,shallow,31,7.700545791012701,depth_policy,251.32999999999998,220,362,362,142,5,30,259,101,1,7,0.015057582990266383,4.43217949999962,True,True,3,0,True,32,31,0
truth_bridge_n30_000_shallow,30,shallow,31,7.700545791012701,direct_logical_and,279.71500000000003,248,403,403,155,4,31,287,113,0,0,0.0001066249969881028,11.13754633301869,True,True,1,0,True,31,31,0
truth_bridge_n30_000_shallow,30,shallow,31,7.700545791012701,screen_depth1,251.32999999999998,220,362,362,142,5,30,259,101,1,7,0.015057582990266383,4.43217949999962,True,True,3,0,True,32,31,0
truth_bridge_n30_000_shallow,30,shallow,31,7.700545791012701,screen_depth2,251.32999999999998,220,362,362,142,5,30,259,101,1,7,0.01611470800708048,4.575501583021833,True,True,3,0,True,32,31,0
truth_bridge_n30_000_shallow,30,shallow,31,7.700545791012701,screen_depth3,251.32999999999998,220,362,362,142,5,30,259,101,1,7,0.014945291011827067,4.900805250013946,True,True,3,0,True,32,31,0
truth_bridge_n30_000_shallow,30,shallow,31,7.700545791012701,screen_depth4,251.32999999999998,220,362,362,142,5,30,259,101,1,7,0.014955166989238933,6.547575542004779,True,True,3,0,True,32,31,0
truth_bridge_n30_000_shallow,30,shallow,31,7.700545791012701,screen_single,251.32999999999998,220,362,362,142,5,30,259,101,1,7,0.0058115419815294445,5.448241834004875,True,True,3,0,True,32,31,0
