baseline_CNOT,baseline_T,baseline_depth,baseline_peak_ancilla,baseline_score,baseline_time_s,name,relative_CNOT_pct,relative_T_pct,relative_depth_pct,relative_peak_ancilla_pct,relative_score_pct,relative_time_s_pct,target_CNOT,target_T,target_depth,target_peak_ancilla,target_score,target_time_s
73.0,36.0,73.0,1.0,42.385,3.3471429347991943,anf_n16_0,0.0,0.0,0.0,0.0,0.0,-52.407586472905535,73.0,36.0,73.0,1.0,42.385,1.5929861068725586
5135.0,2948.0,5135.0,4.0,3258.255,66.89519786834717,anf_n16_1,-0.13631937682570594,0.13568521031207598,-0.13631937682570594,0.0,0.10941439512868252,-73.55170559645569,5128.0,2952.0,5128.0,4.0,3261.82,17.692638874053955
4009.0,2336.0,4009.0,4.0,2580.3050000000003,50.324942111968994,anf_n16_10,-0.42404589673235227,-0.3424657534246575,-0.42404589673235227,0.0,-0.34976485337975727,-73.41194117025098,3992.0,2328.0,3992.0,4.0,2571.2799999999997,13.380425214767456
613.0,328.0,613.0,2.0,368.28499999999997,27.18416404724121,anf_n16_11,0.0,0.0,0.0,0.0,0.0,-73.9287190986513,613.0,328.0,613.0,2.0,368.28499999999997,7.087259769439697
4445.0,2584.0,4445.0,4.0,2854.0250000000005,56.41899013519287,anf_n16_12,0.44994375703037126,0.7739938080495357,0.44994375703037126,-25.0,0.6699310622716841,-73.8155430194853,4465.0,2604.0,4465.0,3.0,2873.145,14.773006200790405
28.0,16.0,28.0,0.0,17.660000000000004,3.2724738121032715,anf_n16_13,0.0,0.0,0.0,0.0,0.0,-53.15384587363168,28.0,16.0,28.0,0.0,17.660000000000004,1.5330281257629395
841.0,440.0,842.0,2.0,493.87,39.930115938186646,anf_n16_14,1.070154577883472,0.0,1.0688836104513064,0.0,0.10630327819061236,-75.87972453509035,850.0,440.0,851.0,2.0,494.395,9.631253957748413
17641.0,10416.0,17641.0,5.0,11463.005,99.75999689102173,anf_n16_15,-0.12470948358936568,-0.5760368663594471,-0.12470948358936568,0.0,-0.5345020786434153,-70.15950485449733,17619.0,10356.0,17619.0,5.0,11401.735,29.768877029418945
543.0,288.0,543.0,2.0,324.15500000000003,22.43431782722473,anf_n16_16,-0.9208103130755065,0.0,-0.9208103130755065,0.0,-0.09409078989991321,-73.06555964248942,538.0,288.0,538.0,2.0,323.84999999999997,6.042557954788208
10217.0,5896.0,10218.0,5.0,6506.7300000000005,250.61921501159668,anf_n16_17,-0.9102476265048448,-0.27137042062415195,-0.9101585437463301,0.0,-0.33173345136497184,-77.32145516620375,10124.0,5880.0,10125.0,5.0,6485.145,56.836791038513184
10936.0,6268.0,10936.0,5.0,6921.959999999999,234.9688549041748,anf_n16_18,-0.7498171177761521,-0.8296107211231653,-0.7498171177761521,0.0,-0.8215881051031642,-77.42543234630165,10854.0,6216.0,10854.0,5.0,6865.09,53.04320311546326
23303.0,13768.0,23304.0,5.0,15147.960000000001,145.85138511657715,anf_n16_19,-0.8668411792473072,-1.0168506682161536,-0.8668039821489874,20.0,-0.9897702396890424,-70.83984225402344,23101.0,13628.0,23102.0,6.0,14998.03,42.53049397468567
9771.0,5584.0,9771.0,4.0,6167.355,195.016508102417,anf_n16_2,-0.8494524613652645,-0.5730659025787965,-0.8494524613652645,0.0,-0.6001762505968834,-77.62534645399867,9688.0,5552.0,9688.0,4.0,6130.34,43.634268045425415
10902.0,6248.0,10902.0,4.0,6897.95,229.6993601322174,anf_n16_20,-0.27517886626307103,-0.12804097311139565,-0.27517886626307103,0.0,-0.1433759305300766,-78.02416918250262,10872.0,6240.0,10872.0,4.0,6888.06,50.47834277153015
11634.0,6656.0,11634.0,5.0,7351.15,265.4342610836029,anf_n16_21,-1.272133402097301,-1.2620192307692308,-1.272133402097301,-20.0,-1.2904103439597843,-77.73157625305107,11486.0,6572.0,11486.0,4.0,7256.29,59.10802602767944
4261.0,2476.0,4261.0,3.0,2733.145,49.47333288192749,anf_n16_22,-0.9387467730579677,-0.8077544426494345,-0.9387467730579677,0.0,-0.8188369076649666,-72.05960373289669,4221.0,2456.0,4221.0,3.0,2710.7650000000003,13.823045253753662
1172.0,656.0,1172.0,3.0,731.12,126.68759489059448,anf_n16_23,0.0,0.0,0.0,0.0,-0.002735529051316037,-76.11666164307609,1172.0,656.0,1172.0,3.0,731.1,30.257226943969727
1249.0,688.0,1249.0,3.0,767.6850000000001,117.43876910209656,anf_n16_3,-0.16012810248198558,1.744186046511628,-0.16012810248198558,0.0,1.5436018679536556,-75.98071066286847,1247.0,700.0,1247.0,3.0,779.5350000000001,28.20795774459839
2068.0,1172.0,2068.0,3.0,1299.98,21.53903603553772,anf_n16_4,0.19342359767891684,0.0,0.19342359767891684,0.0,0.01692333728211413,-66.10916063661494,2072.0,1172.0,2072.0,3.0,1300.2,7.299760103225708
