correct,functions,mean_depth,mean_peak_ancilla,mean_score,mean_time_s,method,n,total_CNOT,total_T
3,3,9.0,0.0,3.225,0.03965266545613607,and_pareto_resource_nmcts,3,27,8
69,69,36.15942028985507,1.5797101449275361,20.137608695652172,0.7754479076551355,and_pareto_resource_nmcts,4,2210,1032
67,67,84.55223880597015,2.2238805970149254,46.605746268656716,5.9650626075801565,and_pareto_resource_nmcts,5,5279,2500
38,38,184.8421052631579,3.3157894736842106,107.56,10.258375832909032,and_pareto_resource_nmcts,6,6747,3428
3,3,9.0,0.0,3.225,0.0042302608489990234,and_resource_nmcts,3,27,8
69,69,36.36231884057971,1.565217391304348,20.179202898550724,0.11602386875429015,and_resource_nmcts,4,2225,1036
67,67,88.43283582089552,2.029850746268657,48.11888059701492,0.8534621943288775,and_resource_nmcts,5,5541,2612
38,38,207.47368421052633,2.9210526315789473,121.5221052631579,0.6334648383291144,and_resource_nmcts,6,7659,3936
3,3,9.0,0.0,3.225,0.0015350977579752605,and_resource_no_mcts,3,27,8
69,69,36.89855072463768,1.565217391304348,20.626521739130435,0.0185826377592225,and_resource_no_mcts,4,2281,1064
67,67,89.1044776119403,2.1492537313432836,49.525820895522386,0.11527373185798304,and_resource_no_mcts,5,5578,2688
38,38,207.47368421052633,2.9210526315789473,121.5221052631579,0.4284671795995612,and_resource_no_mcts,6,7659,3936
