baseline,by_n,items,losses,mean_relative,median_relative,metric,target,ties,wins
external_mockturtle_xag_k4,14:64,64,0,-0.9141086042676915,-0.9550291351704505,score,and_resource_nmcts,0,64
external_mockturtle_xag_k4,14:64,64,0,-0.8537805435544674,-0.9304620307524775,T,and_resource_nmcts,3,61
external_mockturtle_xag_k4,14:64,64,0,-0.8546355077258561,-0.9254513658487451,CNOT,and_resource_nmcts,0,64
external_mockturtle_xag_k4,14:64,64,53,11.697153829180106,6.307309667089935,depth,and_resource_nmcts,0,11
external_mockturtle_xag_k4,14:64,64,0,-0.9972557117319729,-0.9995732481140309,peak_ancilla,and_resource_nmcts,0,64
external_mockturtle_xag_k4,14:64,64,0,-0.9141086042676915,-0.9550291351704505,score,and_profile_resource_nmcts,0,64
external_mockturtle_xag_k4,14:64,64,0,-0.8537805435544674,-0.9304620307524775,T,and_profile_resource_nmcts,3,61
external_mockturtle_xag_k4,14:64,64,0,-0.8546355077258561,-0.9254513658487451,CNOT,and_profile_resource_nmcts,0,64
external_mockturtle_xag_k4,14:64,64,53,11.697153829180106,6.307309667089935,depth,and_profile_resource_nmcts,0,11
external_mockturtle_xag_k4,14:64,64,0,-0.9972557117319729,-0.9995732481140309,peak_ancilla,and_profile_resource_nmcts,0,64
external_mockturtle_xag_k4,14:64,64,0,-0.9148727332722438,-0.9550291351704505,score,and_pareto_resource_nmcts,0,64
external_mockturtle_xag_k4,14:64,64,0,-0.8551016534350141,-0.9304620307524775,T,and_pareto_resource_nmcts,3,61
external_mockturtle_xag_k4,14:64,64,0,-0.8564350230188045,-0.9254513658487451,CNOT,and_pareto_resource_nmcts,0,64
external_mockturtle_xag_k4,14:64,64,53,11.693270661957182,6.307309667089935,depth,and_pareto_resource_nmcts,0,11
external_mockturtle_xag_k4,14:64,64,0,-0.9972557117319729,-0.9995732481140309,peak_ancilla,and_pareto_resource_nmcts,0,64
external_mockturtle_xag_k4,14:64,64,0,-0.8839572131800058,-0.930746552661487,score,and_direct_anf,0,64
external_mockturtle_xag_k4,14:64,64,1,-0.7993961974742045,-0.8893736300792446,T,and_direct_anf,3,60
external_mockturtle_xag_k4,14:64,64,0,-0.8176028543173315,-0.8941393209834969,CNOT,and_direct_anf,0,64
external_mockturtle_xag_k4,14:64,64,53,18.08703436663866,9.189496015481328,depth,and_direct_anf,0,11
external_mockturtle_xag_k4,14:64,64,0,-0.9997726919432254,-0.9997413122160348,peak_ancilla,and_direct_anf,0,64
external_mockturtle_xag_k4,14:64,64,0,-0.8257515442214735,-0.8853986651235267,score,direct_anf,0,64
external_mockturtle_xag_k4,14:64,64,1,-0.6935738166253242,-0.8025238116668938,T,direct_anf,3,60
external_mockturtle_xag_k4,14:64,64,0,-0.868234643910682,-0.9360876911908684,CNOT,direct_anf,0,64
external_mockturtle_xag_k4,14:64,64,51,10.547900900420697,5.291302571006166,depth,direct_anf,0,13
external_mockturtle_xag_k4,14:64,64,0,-0.9998489184242645,-0.9998288184188246,peak_ancilla,direct_anf,0,64
