method,available,nondominated,dominated,nondominated_pct
Direct ANF,177,7,170,3.9548022598870056
AND-direct ANF,177,4,173,2.2598870056497176
ESOP beam,177,6,171,3.389830508474576
ESOP-MILP,177,44,133,24.858757062146893
SSHR-H,177,46,131,25.98870056497175
Resource-NMCTS,177,124,53,70.05649717514125
Pareto-Resource-NMCTS,177,170,7,96.045197740113
SSHR-I CNOT,177,162,15,91.52542372881356
ABC-XAG,177,15,162,8.474576271186441
mockturtle XAG,177,159,18,89.83050847457628
CirKit AIG/MC,177,56,121,31.638418079096045
RevKit CLI exact oracle,177,141,36,79.66101694915254
