split,target,baseline,metric,items,wins,losses,ties,mean_relative
test_n6,phase_affine_prefix16_tperrz30,phase_affine_budget32_tperrz30,score_synth_tperrz30,38,0,6,32,0.0012966276965114772
test_n6,phase_affine_prefix16_tperrz30,phase_affine_budget32_tperrz30,score,38,0,6,32,0.015619303390156016
test_n6,phase_affine_prefix16_tperrz30,phase_affine_budget32_tperrz30,score_rz1,38,0,6,32,0.005420634798856861
test_n6,phase_affine_prefix16_tperrz30,phase_affine_budget32_tperrz30,rz_non_clifford,38,0,0,38,0.0
test_n6,phase_affine_prefix16_tperrz30,phase_affine_budget32_tperrz30,rz_total,38,1,3,34,0.006708907603162692
test_n6,phase_affine_prefix16_tperrz30,phase_affine_budget32_tperrz30,CNOT,38,2,4,32,-0.0007141834659369384
test_n6,phase_affine_prefix16_tperrz30,phase_affine_budget32_tperrz30,depth,38,2,4,32,0.0012330283769054276
test_n6,phase_affine_prefix16_tperrz30,phase_affine_wide128_tperrz30,score_synth_tperrz30,38,0,18,20,0.03741859505450249
test_n6,phase_affine_prefix16_tperrz30,phase_affine_wide128_tperrz30,score,38,0,18,20,0.10832302165633137
test_n6,phase_affine_prefix16_tperrz30,phase_affine_wide128_tperrz30,score_rz1,38,0,18,20,0.05653489052389813
test_n6,phase_affine_prefix16_tperrz30,phase_affine_wide128_tperrz30,rz_non_clifford,38,0,3,35,0.017348927875243662
test_n6,phase_affine_prefix16_tperrz30,phase_affine_wide128_tperrz30,rz_total,38,0,17,21,0.07140020411157642
test_n6,phase_affine_prefix16_tperrz30,phase_affine_wide128_tperrz30,CNOT,38,1,17,20,0.03608742794160758
test_n6,phase_affine_prefix16_tperrz30,phase_affine_wide128_tperrz30,depth,38,1,17,20,0.04330404097819542
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_top64,score_synth_tperrz30,38,4,14,20,0.03463873567365684
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_top64,score,38,5,13,20,0.050517444298199335
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_top64,score_rz1,38,4,14,20,0.03848360508384308
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_top64,rz_non_clifford,38,0,3,35,0.017348927875243662
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_top64,rz_total,38,1,15,22,0.05108145211994423
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_top64,CNOT,38,7,11,20,0.0064402775117265824
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_top64,depth,38,5,13,20,0.015633605134183375
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_top128,score_synth_tperrz30,38,2,15,21,0.03651946265091133
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_top128,score,38,2,15,21,0.08704679860721777
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_top128,score_rz1,38,2,15,21,0.05023525450136737
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_top128,rz_non_clifford,38,0,3,35,0.017348927875243662
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_top128,rz_total,38,0,15,23,0.06007968493614411
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_top128,CNOT,38,4,13,21,0.020215163646772644
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_top128,depth,38,4,13,21,0.02842066614658229
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_top256,score_synth_tperrz30,38,2,16,20,0.03650463921229899
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_top256,score,38,2,16,20,0.08321725899425096
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_top256,score_rz1,38,2,16,20,0.04970736444645439
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_top256,rz_non_clifford,38,0,3,35,0.017348927875243662
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_top256,rz_total,38,2,14,22,0.05457859336094567
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_top256,CNOT,38,4,13,21,0.021453064522561398
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_top256,depth,38,4,14,20,0.028320117634812122
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_top512,score_synth_tperrz30,38,0,18,20,0.03728378983445544
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_top512,score,38,0,18,20,0.09626305928081302
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_top512,score_rz1,38,0,18,20,0.053419945267304675
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_top512,rz_non_clifford,38,0,3,35,0.017348927875243662
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_top512,rz_total,38,0,16,22,0.06495550503849534
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_top512,CNOT,38,1,16,21,0.03093006926367343
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_top512,depth,38,1,17,20,0.037882032965239065
test_n6,phase_parity_affine_policy_tperrz30_top64,phase_affine_budget32_tperrz30,score_synth_tperrz30,38,13,4,21,-0.02313585914390114
test_n6,phase_parity_affine_policy_tperrz30_top64,phase_affine_budget32_tperrz30,score,38,13,4,21,-0.047637563280176265
test_n6,phase_parity_affine_policy_tperrz30_top64,phase_affine_budget32_tperrz30,score_rz1,38,14,3,21,-0.0313342235705349
test_n6,phase_parity_affine_policy_tperrz30_top64,phase_affine_budget32_tperrz30,rz_non_clifford,38,3,1,34,-0.013000048197416618
test_n6,phase_parity_affine_policy_tperrz30_top64,phase_affine_budget32_tperrz30,rz_total,38,12,3,23,-0.03733590232642576
test_n6,phase_parity_affine_policy_tperrz30_top64,phase_affine_budget32_tperrz30,CNOT,38,12,3,23,-0.021678101102064685
test_n6,phase_parity_affine_policy_tperrz30_top64,phase_affine_budget32_tperrz30,depth,38,13,4,21,-0.026189261857829618
test_n6,phase_parity_affine_policy_tperrz30_top64,phase_affine_wide128_tperrz30,score_synth_tperrz30,38,0,15,23,0.00216729332775335
test_n6,phase_parity_affine_policy_tperrz30_top64,phase_affine_wide128_tperrz30,score,38,0,15,23,0.023111154518598454
test_n6,phase_parity_affine_policy_tperrz30_top64,phase_affine_wide128_tperrz30,score_rz1,38,0,15,23,0.007618736957066175
test_n6,phase_parity_affine_policy_tperrz30_top64,phase_affine_wide128_tperrz30,rz_non_clifford,38,0,1,37,0.0006747638326585695
test_n6,phase_parity_affine_policy_tperrz30_top64,phase_affine_wide128_tperrz30,rz_total,38,1,12,25,0.017866238635985042
test_n6,phase_parity_affine_policy_tperrz30_top64,phase_affine_wide128_tperrz30,CNOT,38,4,9,25,0.00728656224034829
test_n6,phase_parity_affine_policy_tperrz30_top64,phase_affine_wide128_tperrz30,depth,38,4,11,23,0.009400303389997656
test_n6,phase_parity_affine_policy_tperrz30_top64,phase_affine_random_top64,score_synth_tperrz30,38,12,4,22,0.00023823731906080144
test_n6,phase_parity_affine_policy_tperrz30_top64,phase_affine_random_top64,score,38,12,4,22,-0.026736204521363105
test_n6,phase_parity_affine_policy_tperrz30_top64,phase_affine_random_top64,score_rz1,38,12,4,22,-0.008360273497353828
test_n6,phase_parity_affine_policy_tperrz30_top64,phase_affine_random_top64,rz_non_clifford,38,0,1,37,0.0006747638326585695
test_n6,phase_parity_affine_policy_tperrz30_top64,phase_affine_random_top64,rz_total,38,6,4,28,-0.00019953004931475552
test_n6,phase_parity_affine_policy_tperrz30_top64,phase_affine_random_top64,CNOT,38,11,4,23,-0.01829117970686034
test_n6,phase_parity_affine_policy_tperrz30_top64,phase_affine_random_top64,depth,38,11,4,23,-0.01490982220045978
test_n6,phase_parity_affine_policy_tperrz30_top64,phase_affine_random_top128,score_synth_tperrz30,38,7,8,23,0.0015385428102276876
test_n6,phase_parity_affine_policy_tperrz30_top64,phase_affine_random_top128,score,38,8,7,23,0.005007233827031103
test_n6,phase_parity_affine_policy_tperrz30_top64,phase_affine_random_top128,score_rz1,38,8,7,23,0.0020623771085859655
test_n6,phase_parity_affine_policy_tperrz30_top64,phase_affine_random_top128,rz_non_clifford,38,0,1,37,0.0006747638326585695
test_n6,phase_parity_affine_policy_tperrz30_top64,phase_affine_random_top128,rz_total,38,3,8,27,0.008038967855861164
test_n6,phase_parity_affine_policy_tperrz30_top64,phase_affine_random_top128,CNOT,38,9,5,24,-0.007558801922453233
test_n6,phase_parity_affine_policy_tperrz30_top64,phase_affine_random_top128,depth,38,10,5,23,-0.004415492736059188
test_n6,phase_parity_affine_policy_tperrz30_top64,phase_affine_random_top256,score_synth_tperrz30,38,6,6,26,0.0015161738097602836
test_n6,phase_parity_affine_policy_tperrz30_top64,phase_affine_random_top256,score,38,6,6,26,0.0012169341762801064
test_n6,phase_parity_affine_policy_tperrz30_top64,phase_affine_random_top256,score_rz1,38,6,6,26,0.0013882157815734862
test_n6,phase_parity_affine_policy_tperrz30_top64,phase_affine_random_top256,rz_non_clifford,38,0,1,37,0.0006747638326585695
test_n6,phase_parity_affine_policy_tperrz30_top64,phase_affine_random_top256,rz_total,38,4,4,30,0.0026230540201694387
test_n6,phase_parity_affine_policy_tperrz30_top64,phase_affine_random_top256,CNOT,38,7,3,28,-0.006501618187316126
test_n6,phase_parity_affine_policy_tperrz30_top64,phase_affine_random_top256,depth,38,8,4,26,-0.004663377462334284
test_n6,phase_parity_affine_policy_tperrz30_top64,phase_affine_random_top512,score_synth_tperrz30,38,2,11,25,0.0020378724949195633
test_n6,phase_parity_affine_policy_tperrz30_top64,phase_affine_random_top512,score,38,2,11,25,0.012065424039972725
test_n6,phase_parity_affine_policy_tperrz30_top64,phase_affine_random_top512,score_rz1,38,2,11,25,0.00467070037937177
test_n6,phase_parity_affine_policy_tperrz30_top64,phase_affine_random_top512,rz_non_clifford,38,0,1,37,0.0006747638326585695
test_n6,phase_parity_affine_policy_tperrz30_top64,phase_affine_random_top512,rz_total,38,2,8,28,0.012091112033093696
test_n6,phase_parity_affine_policy_tperrz30_top64,phase_affine_random_top512,CNOT,38,5,6,27,0.002643466689824777
test_n6,phase_parity_affine_policy_tperrz30_top64,phase_affine_random_top512,depth,38,5,8,25,0.0045252397387338765
test_n6,phase_parity_affine_policy_tperrz30_top128,phase_affine_budget32_tperrz30,score_synth_tperrz30,38,15,1,22,-0.02391220930703493
test_n6,phase_parity_affine_policy_tperrz30_top128,phase_affine_budget32_tperrz30,score,38,14,2,22,-0.055496328510790574
test_n6,phase_parity_affine_policy_tperrz30_top128,phase_affine_budget32_tperrz30,score_rz1,38,15,1,22,-0.034202896033065644
test_n6,phase_parity_affine_policy_tperrz30_top128,phase_affine_budget32_tperrz30,rz_non_clifford,38,3,0,35,-0.013674812030075187
test_n6,phase_parity_affine_policy_tperrz30_top128,phase_affine_budget32_tperrz30,rz_total,38,15,0,23,-0.04096243204879721
test_n6,phase_parity_affine_policy_tperrz30_top128,phase_affine_budget32_tperrz30,CNOT,38,14,2,22,-0.023140317480457896
test_n6,phase_parity_affine_policy_tperrz30_top128,phase_affine_budget32_tperrz30,depth,38,14,2,22,-0.028098401094749433
test_n6,phase_parity_affine_policy_tperrz30_top128,phase_affine_wide128_tperrz30,score_synth_tperrz30,38,0,11,27,0.001387482598175522
test_n6,phase_parity_affine_policy_tperrz30_top128,phase_affine_wide128_tperrz30,score,38,0,11,27,0.013291222810056498
test_n6,phase_parity_affine_policy_tperrz30_top128,phase_affine_wide128_tperrz30,score_rz1,38,0,11,27,0.004537894478779047
test_n6,phase_parity_affine_policy_tperrz30_top128,phase_affine_wide128_tperrz30,rz_non_clifford,38,0,0,38,0.0
test_n6,phase_parity_affine_policy_tperrz30_top128,phase_affine_wide128_tperrz30,rz_total,38,0,10,28,0.014104011777278172
test_n6,phase_parity_affine_policy_tperrz30_top128,phase_affine_wide128_tperrz30,CNOT,38,2,7,29,0.005856390104745801
test_n6,phase_parity_affine_policy_tperrz30_top128,phase_affine_wide128_tperrz30,depth,38,2,9,27,0.007493116212104382
test_n6,phase_parity_affine_policy_tperrz30_top128,phase_affine_random_top64,score_synth_tperrz30,38,13,2,23,-0.0005412927052742748
