split,target,baseline,metric,items,wins,losses,ties,mean_relative
test_n6,phase_affine_prefix16_tperrz30,phase_affine_budget32_tperrz30,score_synth_tperrz30,38,0,6,32,0.0012966276965114772
test_n6,phase_affine_prefix16_tperrz30,phase_affine_budget32_tperrz30,score,38,0,6,32,0.015619303390156016
test_n6,phase_affine_prefix16_tperrz30,phase_affine_budget32_tperrz30,score_rz1,38,0,6,32,0.005420634798856861
test_n6,phase_affine_prefix16_tperrz30,phase_affine_budget32_tperrz30,rz_non_clifford,38,0,0,38,0.0
test_n6,phase_affine_prefix16_tperrz30,phase_affine_budget32_tperrz30,rz_total,38,1,3,34,0.006708907603162692
test_n6,phase_affine_prefix16_tperrz30,phase_affine_budget32_tperrz30,CNOT,38,2,4,32,-0.0007141834659369384
test_n6,phase_affine_prefix16_tperrz30,phase_affine_budget32_tperrz30,depth,38,2,4,32,0.0012330283769054276
test_n6,phase_affine_prefix16_tperrz30,phase_affine_wide128_tperrz30,score_synth_tperrz30,38,0,18,20,0.03741859505450249
test_n6,phase_affine_prefix16_tperrz30,phase_affine_wide128_tperrz30,score,38,0,18,20,0.10832302165633137
test_n6,phase_affine_prefix16_tperrz30,phase_affine_wide128_tperrz30,score_rz1,38,0,18,20,0.05653489052389813
test_n6,phase_affine_prefix16_tperrz30,phase_affine_wide128_tperrz30,rz_non_clifford,38,0,3,35,0.017348927875243662
test_n6,phase_affine_prefix16_tperrz30,phase_affine_wide128_tperrz30,rz_total,38,0,17,21,0.07140020411157642
test_n6,phase_affine_prefix16_tperrz30,phase_affine_wide128_tperrz30,CNOT,38,1,17,20,0.03608742794160758
test_n6,phase_affine_prefix16_tperrz30,phase_affine_wide128_tperrz30,depth,38,1,17,20,0.04330404097819542
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_top64,score_synth_tperrz30,38,5,13,20,0.033341641693566765
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_top64,score,38,6,12,20,0.05716066000289669
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_top64,score_rz1,38,5,13,20,0.038821937020984215
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_top64,rz_non_clifford,38,0,3,35,0.017348927875243662
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_top64,rz_total,38,1,16,21,0.06105480942829064
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_top64,CNOT,38,5,12,21,-0.0063348924962611745
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_top64,depth,38,5,13,20,0.023495155608166708
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_s1_top64,score_synth_tperrz30,38,5,13,20,0.03430356564348504
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_s1_top64,score,38,7,11,20,0.03992987953283596
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_s1_top64,score_rz1,38,5,13,20,0.03397889189553528
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_s1_top64,rz_non_clifford,38,0,3,35,0.017348927875243662
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_s1_top64,rz_total,38,2,16,20,0.04570723373537242
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_s1_top64,CNOT,38,5,12,21,0.013955667920732533
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_s1_top64,depth,38,5,13,20,0.020984171271353925
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_s2_top64,score_synth_tperrz30,38,6,13,19,0.033043885559889574
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_s2_top64,score,38,8,11,19,0.04004818326441659
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_s2_top64,score_rz1,38,6,13,19,0.03293311147886453
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_s2_top64,rz_non_clifford,38,0,3,35,0.017348927875243662
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_s2_top64,rz_total,38,2,16,20,0.053364483157765125
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_s2_top64,CNOT,38,7,11,20,-0.019952465403511276
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_s2_top64,depth,38,7,12,19,0.010895189922849012
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_s3_top64,score_synth_tperrz30,38,7,12,19,0.03388056005037596
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_s3_top64,score,38,8,11,19,0.04718046796110592
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_s3_top64,score_rz1,38,7,12,19,0.03683228272593494
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_s3_top64,rz_non_clifford,38,0,3,35,0.017348927875243662
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_s3_top64,rz_total,38,2,16,20,0.05882272329742821
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_s3_top64,CNOT,38,6,12,20,-0.016019920768877198
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_s3_top64,depth,38,7,12,19,0.015142386696234793
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_s4_top64,score_synth_tperrz30,38,5,13,20,0.034614806131955035
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_s4_top64,score,38,6,12,20,0.05394217539054794
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_s4_top64,score_rz1,38,5,13,20,0.039766123945510275
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_s4_top64,rz_non_clifford,38,0,3,35,0.017348927875243662
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_s4_top64,rz_total,38,0,17,21,0.050650530675201755
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_s4_top64,CNOT,38,5,13,20,0.009306971131520084
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_s4_top64,depth,38,4,14,20,0.018008662072242037
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_s5_top64,score_synth_tperrz30,38,4,14,20,0.03414029362645792
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_s5_top64,score,38,5,13,20,0.05060945526602213
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_s5_top64,score_rz1,38,4,14,20,0.03696151792545672
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_s5_top64,rz_non_clifford,38,0,3,35,0.017348927875243662
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_s5_top64,rz_total,38,1,14,23,0.05102776513642029
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_s5_top64,CNOT,38,5,13,20,0.01544765974436721
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_s5_top64,depth,38,5,13,20,0.022990439414555627
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_s6_top64,score_synth_tperrz30,38,6,12,20,0.031804175275041154
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_s6_top64,score,38,6,12,20,0.03924922892880915
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_s6_top64,score_rz1,38,6,12,20,0.03384013460930377
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_s6_top64,rz_non_clifford,38,0,3,35,0.017348927875243662
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_s6_top64,rz_total,38,1,15,22,0.0574293387895631
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_s6_top64,CNOT,38,5,13,20,-0.002166937270086946
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_s6_top64,depth,38,5,13,20,0.02660886374999322
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_s7_top64,score_synth_tperrz30,38,6,10,22,0.03578208480390307
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_s7_top64,score,38,7,9,22,0.034720852813245766
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_s7_top64,score_rz1,38,6,10,22,0.034442139834235545
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_s7_top64,rz_non_clifford,38,0,3,35,0.017348927875243662
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_s7_top64,rz_total,38,1,14,23,0.045495193646515185
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_s7_top64,CNOT,38,6,8,24,0.0021919047838338908
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_s7_top64,depth,38,6,9,23,0.01087039591696602
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_top128,score_synth_tperrz30,38,2,16,20,0.03578009855540581
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_top128,score,38,2,16,20,0.06861870970808183
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_top128,score_rz1,38,2,16,20,0.044136353892883805
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_top128,rz_non_clifford,38,0,3,35,0.017348927875243662
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_top128,rz_total,38,1,15,22,0.057705649909969174
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_top128,CNOT,38,1,16,21,0.030191144211686727
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_top128,depth,38,1,17,20,0.036252952860281136
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_s1_top128,score_synth_tperrz30,38,6,13,19,0.033202322195794096
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_s1_top128,score,38,7,12,19,0.04631029476196467
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_s1_top128,score_rz1,38,6,13,19,0.03581259380276222
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_s1_top128,rz_non_clifford,38,0,3,35,0.017348927875243662
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_s1_top128,rz_total,38,2,14,22,0.05967566423698371
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_s1_top128,CNOT,38,5,12,21,-0.009173155286729413
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_s1_top128,depth,38,6,13,19,0.020816410896015766
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_s2_top128,score_synth_tperrz30,38,5,11,22,0.03540983581534193
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_s2_top128,score,38,5,11,22,0.06854710521150024
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_s2_top128,score_rz1,38,5,11,22,0.04442074833411794
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_s2_top128,rz_non_clifford,38,0,3,35,0.017348927875243662
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_s2_top128,rz_total,38,3,13,22,0.05249047326857098
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_s2_top128,CNOT,38,4,11,23,0.015511346852889562
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_s2_top128,depth,38,5,11,22,0.02355289321061959
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_s3_top128,score_synth_tperrz30,38,4,14,20,0.0354890256292812
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_s3_top128,score,38,5,13,20,0.05645047687442057
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_s3_top128,score_rz1,38,4,14,20,0.040112705099219007
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_s3_top128,rz_non_clifford,38,0,3,35,0.017348927875243662
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_s3_top128,rz_total,38,2,14,22,0.05147193475260807
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_s3_top128,CNOT,38,5,13,20,0.023524610209097532
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_s3_top128,depth,38,5,13,20,0.02967832152705855
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_s4_top128,score_synth_tperrz30,38,5,13,20,0.035538276685228146
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_s4_top128,score,38,5,13,20,0.05650342435963542
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_s4_top128,score_rz1,38,5,13,20,0.0408144492064336
test_n6,phase_affine_prefix16_tperrz30,phase_affine_random_s4_top128,rz_non_clifford,38,0,3,35,0.017348927875243662
