scope,experiment_id,experiment_slug,experiment_title,suite,target_id,target_name,transpile_spec_id,transpile_spec_name,transpile_spec_hash,reference_method_spec_id,reference_method,reference_method_spec_hash,candidate_method_spec_id,candidate_method,candidate_method_spec_hash,metric,lower_is_better,delta_definition,relative_improvement_definition,n_candidate_keys,n_paired_view_verified_keys,n_base_eligible_pairs,n_pairs,n_relative_defined,n_excluded,win_count,tie_count,loss_count,reference_mean,reference_median,candidate_mean,candidate_median,mean_delta,mean_delta_ci_low,mean_delta_ci_high,median_delta,median_delta_ci_low,median_delta_ci_high,mean_relative_improvement_pct,mean_relative_improvement_pct_ci_low,mean_relative_improvement_pct_ci_high,median_relative_improvement_pct,median_relative_improvement_pct_ci_low,median_relative_improvement_pct_ci_high,wilcoxon_statistic,wilcoxon_p_raw,wilcoxon_zero_method,wilcoxon_nonzero_pairs,rank_biserial,rank_biserial_ci_low,rank_biserial_ci_high,holm_family,holm_family_size,holm_p_adjusted,holm_reject,alpha,exclusion_counts_json
logical,2577a60b-efeb-5683-93fc-007ea0cd77aa,xa202609-hardware-validation-v1,XA-202609 Boolean Oracle hardware validation,xa202609-final-v1,,logical,,,,b2fecb92-ca8e-590e-863f-fbac050aa4e4,neural_mcts[heuristic-only],490cad778a62ff99ef7fb1aef6ca6a4f1ce7d24bca65c9298c0a632653329212,fef5a6ec-e168-522a-b636-50e26d5a425f,neural_mcts[learned:6ba157fb9b55],f1171bd1422ca1cf4c031f00d1d3af87eeeb7fc6843c8eaffbdd3a4634907608,ancilla_count,True,candidate - reference; negative favours candidate,100 * (reference - candidate) / abs(reference); positive favours candidate,9,9,9,9,9,0,0,9,0,1.4444444444444444,1.0,1.4444444444444444,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,wilcox,0,0.0,0.0,0.0,global across all emitted Wilcoxon hypotheses,102,1.0,False,0.05,{}
logical,2577a60b-efeb-5683-93fc-007ea0cd77aa,xa202609-hardware-validation-v1,XA-202609 Boolean Oracle hardware validation,xa202609-final-v1,,logical,,,,b2fecb92-ca8e-590e-863f-fbac050aa4e4,neural_mcts[heuristic-only],490cad778a62ff99ef7fb1aef6ca6a4f1ce7d24bca65c9298c0a632653329212,fef5a6ec-e168-522a-b636-50e26d5a425f,neural_mcts[learned:6ba157fb9b55],f1171bd1422ca1cf4c031f00d1d3af87eeeb7fc6843c8eaffbdd3a4634907608,cnot_count,True,candidate - reference; negative favours candidate,100 * (reference - candidate) / abs(reference); positive favours candidate,9,9,9,9,9,0,0,9,0,58.22222222222222,20.0,58.22222222222222,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,wilcox,0,0.0,0.0,0.0,global across all emitted Wilcoxon hypotheses,102,1.0,False,0.05,{}
logical,2577a60b-efeb-5683-93fc-007ea0cd77aa,xa202609-hardware-validation-v1,XA-202609 Boolean Oracle hardware validation,xa202609-final-v1,,logical,,,,b2fecb92-ca8e-590e-863f-fbac050aa4e4,neural_mcts[heuristic-only],490cad778a62ff99ef7fb1aef6ca6a4f1ce7d24bca65c9298c0a632653329212,fef5a6ec-e168-522a-b636-50e26d5a425f,neural_mcts[learned:6ba157fb9b55],f1171bd1422ca1cf4c031f00d1d3af87eeeb7fc6843c8eaffbdd3a4634907608,depth,True,candidate - reference; negative favours candidate,100 * (reference - candidate) / abs(reference); positive favours candidate,9,9,9,9,9,0,0,9,0,58.22222222222222,20.0,58.22222222222222,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,wilcox,0,0.0,0.0,0.0,global across all emitted Wilcoxon hypotheses,102,1.0,False,0.05,{}
logical,2577a60b-efeb-5683-93fc-007ea0cd77aa,xa202609-hardware-validation-v1,XA-202609 Boolean Oracle hardware validation,xa202609-final-v1,,logical,,,,b2fecb92-ca8e-590e-863f-fbac050aa4e4,neural_mcts[heuristic-only],490cad778a62ff99ef7fb1aef6ca6a4f1ce7d24bca65c9298c0a632653329212,fef5a6ec-e168-522a-b636-50e26d5a425f,neural_mcts[learned:6ba157fb9b55],f1171bd1422ca1cf4c031f00d1d3af87eeeb7fc6843c8eaffbdd3a4634907608,gate_count,True,candidate - reference; negative favours candidate,100 * (reference - candidate) / abs(reference); positive favours candidate,9,9,9,9,9,0,0,9,0,7.888888888888889,2.0,7.888888888888889,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,wilcox,0,0.0,0.0,0.0,global across all emitted Wilcoxon hypotheses,102,1.0,False,0.05,{}
logical,2577a60b-efeb-5683-93fc-007ea0cd77aa,xa202609-hardware-validation-v1,XA-202609 Boolean Oracle hardware validation,xa202609-final-v1,,logical,,,,b2fecb92-ca8e-590e-863f-fbac050aa4e4,neural_mcts[heuristic-only],490cad778a62ff99ef7fb1aef6ca6a4f1ce7d24bca65c9298c0a632653329212,fef5a6ec-e168-522a-b636-50e26d5a425f,neural_mcts[learned:6ba157fb9b55],f1171bd1422ca1cf4c031f00d1d3af87eeeb7fc6843c8eaffbdd3a4634907608,n_qubits,True,candidate - reference; negative favours candidate,100 * (reference - candidate) / abs(reference); positive favours candidate,9,9,9,9,9,0,0,9,0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,wilcox,0,0.0,0.0,0.0,global across all emitted Wilcoxon hypotheses,102,1.0,False,0.05,{}
logical,2577a60b-efeb-5683-93fc-007ea0cd77aa,xa202609-hardware-validation-v1,XA-202609 Boolean Oracle hardware validation,xa202609-final-v1,,logical,,,,b2fecb92-ca8e-590e-863f-fbac050aa4e4,neural_mcts[heuristic-only],490cad778a62ff99ef7fb1aef6ca6a4f1ce7d24bca65c9298c0a632653329212,fef5a6ec-e168-522a-b636-50e26d5a425f,neural_mcts[learned:6ba157fb9b55],f1171bd1422ca1cf4c031f00d1d3af87eeeb7fc6843c8eaffbdd3a4634907608,runtime_s,True,candidate - reference; negative favours candidate,100 * (reference - candidate) / abs(reference); positive favours candidate,9,9,9,9,9,0,0,0,9,0.0074401000000660945,0.000337000000399712,0.05986395555525329,0.004079599999386119,0.0524238555551872,0.0028255958330292846,0.13013983138823731,0.0010765999995783204,5.7999995988211595e-06,0.017053499999747146,-1285.6379598820042,-2792.492411461044,-143.65500439347875,-35.850815839068474,-3647.804149594671,-4.761904441885513,0.0,0.00390625,wilcox,9,-1.0,-1.0,-1.0,global across all emitted Wilcoxon hypotheses,102,0.3984375,False,0.05,{}
logical,2577a60b-efeb-5683-93fc-007ea0cd77aa,xa202609-hardware-validation-v1,XA-202609 Boolean Oracle hardware validation,xa202609-final-v1,,logical,,,,b2fecb92-ca8e-590e-863f-fbac050aa4e4,neural_mcts[heuristic-only],490cad778a62ff99ef7fb1aef6ca6a4f1ce7d24bca65c9298c0a632653329212,fef5a6ec-e168-522a-b636-50e26d5a425f,neural_mcts[learned:6ba157fb9b55],f1171bd1422ca1cf4c031f00d1d3af87eeeb7fc6843c8eaffbdd3a4634907608,t_count,True,candidate - reference; negative favours candidate,100 * (reference - candidate) / abs(reference); positive favours candidate,9,9,9,9,9,0,0,9,0,53.333333333333336,24.0,53.333333333333336,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,wilcox,0,0.0,0.0,0.0,global across all emitted Wilcoxon hypotheses,102,1.0,False,0.05,{}
logical,2577a60b-efeb-5683-93fc-007ea0cd77aa,xa202609-hardware-validation-v1,XA-202609 Boolean Oracle hardware validation,xa202609-final-v1,,logical,,,,b2fecb92-ca8e-590e-863f-fbac050aa4e4,neural_mcts[heuristic-only],490cad778a62ff99ef7fb1aef6ca6a4f1ce7d24bca65c9298c0a632653329212,fef5a6ec-e168-522a-b636-50e26d5a425f,neural_mcts[learned:6ba157fb9b55],f1171bd1422ca1cf4c031f00d1d3af87eeeb7fc6843c8eaffbdd3a4634907608,weighted_score,True,candidate - reference; negative favours candidate,100 * (reference - candidate) / abs(reference); positive favours candidate,9,9,9,0,0,9,0,0,0,,,,,,,,,,,,,,,,,,,wilcox,0,,,,global across all emitted Wilcoxon hypotheses,102,,False,0.05,"{""reference_metric_missing_or_nonfinite"":9}"
logical,2577a60b-efeb-5683-93fc-007ea0cd77aa,xa202609-hardware-validation-v1,XA-202609 Boolean Oracle hardware validation,xa202609-final-v1,,logical,,,,037c9a69-5e8d-516d-8a0a-5dda863d936b,neural_mcts[random-prior:202609],cd737171b6b1ddcd2a0f41fe036e5bda9ac37bd5927ad0eac5e83394237e07ef,fef5a6ec-e168-522a-b636-50e26d5a425f,neural_mcts[learned:6ba157fb9b55],f1171bd1422ca1cf4c031f00d1d3af87eeeb7fc6843c8eaffbdd3a4634907608,ancilla_count,True,candidate - reference; negative favours candidate,100 * (reference - candidate) / abs(reference); positive favours candidate,9,9,9,9,9,0,0,9,0,1.4444444444444444,1.0,1.4444444444444444,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,wilcox,0,0.0,0.0,0.0,global across all emitted Wilcoxon hypotheses,102,1.0,False,0.05,{}
logical,2577a60b-efeb-5683-93fc-007ea0cd77aa,xa202609-hardware-validation-v1,XA-202609 Boolean Oracle hardware validation,xa202609-final-v1,,logical,,,,037c9a69-5e8d-516d-8a0a-5dda863d936b,neural_mcts[random-prior:202609],cd737171b6b1ddcd2a0f41fe036e5bda9ac37bd5927ad0eac5e83394237e07ef,fef5a6ec-e168-522a-b636-50e26d5a425f,neural_mcts[learned:6ba157fb9b55],f1171bd1422ca1cf4c031f00d1d3af87eeeb7fc6843c8eaffbdd3a4634907608,cnot_count,True,candidate - reference; negative favours candidate,100 * (reference - candidate) / abs(reference); positive favours candidate,9,9,9,9,9,0,2,7,0,59.77777777777778,20.0,58.22222222222222,20.0,-1.5555555555555556,-3.888888888888889,0.0,0.0,-7.0,0.0,0.8408408408408409,0.0,2.1021021021021022,0.0,0.0,3.7837837837837838,0.0,0.5,wilcox,2,1.0,0.0,1.0,global across all emitted Wilcoxon hypotheses,102,1.0,False,0.05,{}
