baseline,items,losses,mean_log10_score,mean_log10_score_shift_vs_keep,mean_peak_ancilla,mean_peak_reduction_vs_keep_pct,mean_relative,mean_score,mean_score_change_vs_keep_pct,metric,policy_counts,status,target,ties,wins
keep_all_bennett,309,,3.3647680270932807,0.0,6056.035598705502,0.0,,164130.5323462783,0.0,frontier,fanout_checkpoint:92;keep_all_bennett:217,pass,external_ros_lut_garbage_budget_keep100,,
keep_all_bennett,173,,8.74496994139175,4.375823366324771,1021.8439306358382,71.47572302236487,,5.828621975117238e+21,2.197236454957515e+17,frontier,fanout_checkpoint:173,pass,external_ros_lut_garbage_budget_line75,,
keep_all_bennett,142,,10.017468630943458,5.2292995472695925,1243.387323943662,79.94868384047298,,7.101067617572411e+21,2.6769148359693664e+17,frontier,fanout_checkpoint:138;zero_checkpoint:4,pass,external_ros_lut_garbage_budget_line50,,
keep_all_bennett,126,,10.873849075521504,5.834458974776531,1396.626984126984,84.18843328158967,,8.002790489645097e+21,3.0168405294258106e+17,frontier,fanout_checkpoint:118;zero_checkpoint:8,pass,external_ros_lut_garbage_budget_line25,,
keep_all_bennett,309,,5.970989565748745,2.606221538655464,27.368932038834952,45.40730966733854,,9.871277769427857e+21,3.721063552265928e+17,frontier,fanout_checkpoint:148;keep_all_bennett:31;zero_checkpoint:130,pass,external_ros_lut_garbage_budget_minline,,
external_ros_lut_garbage_budget_keep100,309,0,,,,,-0.8376803328872713,,,score,,pass,and_resource_nmcts,0,309
external_ros_lut_garbage_budget_keep100,309,0,,,,,-0.8364705502321886,,,T,,pass,and_resource_nmcts,3,306
external_ros_lut_garbage_budget_keep100,309,0,,,,,-0.7524952803923464,,,peak_ancilla,,pass,and_resource_nmcts,1,308
external_ros_lut_garbage_budget_keep100,309,0,,,,,-0.842694563643699,,,score,,pass,and_pareto_resource_nmcts,0,309
external_ros_lut_garbage_budget_keep100,309,0,,,,,-0.8421579301096235,,,T,,pass,and_pareto_resource_nmcts,3,306
external_ros_lut_garbage_budget_keep100,309,0,,,,,-0.7422141084395795,,,peak_ancilla,,pass,and_pareto_resource_nmcts,6,303
external_ros_lut_garbage_budget_line75,173,0,,,,,-0.971252290094484,,,score,,pass,and_resource_nmcts,0,173
external_ros_lut_garbage_budget_line75,173,0,,,,,-0.9566172566894139,,,T,,pass,and_resource_nmcts,3,170
external_ros_lut_garbage_budget_line75,173,0,,,,,-0.9040148758060872,,,peak_ancilla,,pass,and_resource_nmcts,0,173
external_ros_lut_garbage_budget_line75,173,0,,,,,-0.972263354188991,,,score,,pass,and_pareto_resource_nmcts,0,173
external_ros_lut_garbage_budget_line75,173,0,,,,,-0.9576497134731183,,,T,,pass,and_pareto_resource_nmcts,3,170
external_ros_lut_garbage_budget_line75,173,0,,,,,-0.8985890728382203,,,peak_ancilla,,pass,and_pareto_resource_nmcts,0,173
external_ros_lut_garbage_budget_line50,142,0,,,,,-0.98617810566185,,,score,,pass,and_resource_nmcts,0,142
external_ros_lut_garbage_budget_line50,142,0,,,,,-0.9665617998197433,,,T,,pass,and_resource_nmcts,3,139
external_ros_lut_garbage_budget_line50,142,0,,,,,-0.9687561951285865,,,peak_ancilla,,pass,and_resource_nmcts,0,142
external_ros_lut_garbage_budget_line50,142,0,,,,,-0.986523006141448,,,score,,pass,and_pareto_resource_nmcts,0,142
external_ros_lut_garbage_budget_line50,142,0,,,,,-0.9669229337304368,,,T,,pass,and_pareto_resource_nmcts,3,139
external_ros_lut_garbage_budget_line50,142,0,,,,,-0.9661982302482479,,,peak_ancilla,,pass,and_pareto_resource_nmcts,0,142
external_ros_lut_garbage_budget_line25,126,0,,,,,-0.9878391737153384,,,score,,pass,and_resource_nmcts,0,126
external_ros_lut_garbage_budget_line25,126,0,,,,,-0.9655694648883261,,,T,,pass,and_resource_nmcts,3,123
external_ros_lut_garbage_budget_line25,126,0,,,,,-0.9922267165269664,,,peak_ancilla,,pass,and_resource_nmcts,0,126
external_ros_lut_garbage_budget_line25,126,0,,,,,-0.98783929290404,,,score,,pass,and_pareto_resource_nmcts,0,126
external_ros_lut_garbage_budget_line25,126,0,,,,,-0.965569464905664,,,T,,pass,and_pareto_resource_nmcts,3,123
external_ros_lut_garbage_budget_line25,126,0,,,,,-0.9922299335954449,,,peak_ancilla,,pass,and_pareto_resource_nmcts,0,126
external_ros_lut_garbage_budget_minline,309,0,,,,,-0.8770938425986637,,,score,,pass,and_resource_nmcts,0,309
external_ros_lut_garbage_budget_minline,309,0,,,,,-0.876969587778031,,,T,,pass,and_resource_nmcts,3,306
external_ros_lut_garbage_budget_minline,309,0,,,,,-0.7055856050017287,,,peak_ancilla,,pass,and_resource_nmcts,1,308
external_ros_lut_garbage_budget_minline,309,0,,,,,-0.8793158560691985,,,score,,pass,and_pareto_resource_nmcts,0,309
external_ros_lut_garbage_budget_minline,309,0,,,,,-0.8795262181208555,,,T,,pass,and_pareto_resource_nmcts,3,306
external_ros_lut_garbage_budget_minline,309,0,,,,,-0.6935368128647563,,,peak_ancilla,,pass,and_pareto_resource_nmcts,6,303
