n,method,functions,mean_terms,mean_T,mean_CNOT,mean_depth,mean_peak_ancilla,mean_score,mean_time_s,verified_rows,mean_plan_nodes,circuit_verified_rows,mean_circuit_gates,mean_circuit_max_wire_terms
32,adaptive_all_depth,48,125.60416666666667,1103.25,1777.0416666666667,1777.0833333333333,5.208333333333333,1218.1429166666667,0.9594926224155339,48,5.75,48,122.20833333333333,125.60416666666667
32,depth2_guard_direct,48,125.60416666666667,1103.25,1777.0416666666667,1777.0833333333333,5.208333333333333,1218.1429166666667,0.7713896771447253,48,5.75,48,122.20833333333333,125.60416666666667
32,depth_policy,48,125.60416666666667,1103.25,1777.0416666666667,1777.0833333333333,5.208333333333333,1218.1429166666667,0.7702291519781284,48,5.75,48,122.20833333333333,125.60416666666667
32,direct_logical_and,48,125.60416666666667,1249.9166666666667,2000.4375,2000.4791666666667,4.791666666666667,1377.0303125,8.541464922018349e-07,48,1,48,125.60416666666667,125.60416666666667
32,screen_depth1,48,125.60416666666667,1134.0833333333333,1823.2291666666667,1823.2708333333333,5.166666666666667,1251.5867708333333,0.1620258932495441,48,4.333333333333333,48,122.14583333333333,125.60416666666667
32,screen_depth2,48,125.60416666666667,1103.25,1777.0416666666667,1777.0833333333333,5.208333333333333,1218.1429166666667,0.7713911710613198,48,5.75,48,122.20833333333333,125.60416666666667
32,screen_single,48,125.60416666666667,1180.4166666666667,1893.6666666666667,1893.7083333333333,5.083333333333333,1301.8685416666667,0.026075558104669955,48,2.75,48,123.08333333333333,125.60416666666667
36,adaptive_all_depth,48,125.70833333333333,1152.9166666666667,1850.8333333333333,1850.8958333333333,5.208333333333333,1272.1098958333334,1.1571416760631716,48,5.375,48,121.52083333333333,125.70833333333333
36,depth2_guard_direct,48,125.70833333333333,1152.9166666666667,1850.8333333333333,1850.8958333333333,5.208333333333333,1272.1098958333334,0.921322861958591,48,5.375,48,121.52083333333333,125.70833333333333
36,depth_policy,48,125.70833333333333,1152.9166666666667,1850.8333333333333,1850.8958333333333,5.208333333333333,1272.1098958333334,0.9192567308961467,48,5.375,48,121.52083333333333,125.70833333333333
36,direct_logical_and,48,125.70833333333333,1298.5833333333333,2073.5208333333335,2073.5833333333335,4.791666666666667,1429.96125,7.464586815331131e-07,48,1,48,125.70833333333333,125.70833333333333
36,screen_depth1,48,125.70833333333333,1181.6666666666667,1894.3333333333333,1894.3958333333333,5.208333333333333,1303.3998958333334,0.2014661327716567,48,4.25,48,121.89583333333333,125.70833333333333
36,screen_depth2,48,125.70833333333333,1152.9166666666667,1850.8333333333333,1850.8958333333333,5.208333333333333,1272.1098958333334,0.921322861958591,48,5.375,48,121.52083333333333,125.70833333333333
36,screen_single,48,125.70833333333333,1224.5833333333333,1959.625,1959.6875,5.1875,1350.0896875,0.03435268133292387,48,2.7916666666666665,48,122.8125,125.70833333333333
40,adaptive_all_depth,48,122.9375,1077.4166666666667,1735.0625,1735.1041666666667,5.3125,1190.0476041666666,1.4363440475644893,48,5.625,48,118.97916666666667,122.9375
40,depth2_guard_direct,48,122.9375,1077.4166666666667,1735.0625,1735.1041666666667,5.3125,1190.0476041666666,1.146776726520784,48,5.625,48,118.97916666666667,122.9375
40,depth_policy,48,122.9375,1077.4166666666667,1735.0625,1735.1041666666667,5.3125,1190.0476041666666,1.1467717794791195,48,5.625,48,118.97916666666667,122.9375
40,direct_logical_and,48,122.9375,1232.3333333333333,1971.3958333333333,1971.4375,5.041666666666667,1358.2351041666666,7.908756742835976e-07,48,1,48,122.9375,122.9375
40,screen_depth1,48,122.9375,1108.75,1782.375,1782.4166666666667,5.291666666666667,1224.10125,0.24811093575165918,48,4.333333333333333,48,119.29166666666667,122.9375
40,screen_depth2,48,122.9375,1077.4166666666667,1735.0625,1735.1041666666667,5.3125,1190.0476041666666,1.146776726520784,48,5.625,48,118.97916666666667,122.9375
40,screen_single,48,122.9375,1157.5,1856.6458333333333,1856.6875,5.291666666666667,1277.1913541666668,0.04145638529204613,48,2.7916666666666665,48,120.4375,122.9375
