n,method,functions,mean_terms,mean_T,mean_CNOT,mean_depth,mean_peak_ancilla,mean_score,mean_time_s,verified_rows,mean_plan_nodes,circuit_verified_rows,mean_circuit_gates,mean_circuit_max_wire_terms
20,adaptive_all_depth,48,114.77083333333333,990.6666666666666,1596.3125,1596.3125,5.25,1095.0203125,0.39234011295927,48,6.5,48,110.3125,114.77083333333333
20,depth2_guard_direct,48,114.77083333333333,990.6666666666666,1596.3125,1596.3125,5.25,1095.0203125,0.3142773663131872,48,6.5,48,110.3125,114.77083333333333
20,depth_policy,48,114.77083333333333,991.4166666666666,1597.25,1597.25,5.25,1095.82375,0.3051156901257552,48,6.333333333333333,48,110.125,114.77083333333333
20,direct_logical_and,48,114.77083333333333,1156.1666666666667,1849.0208333333333,1849.0208333333333,4.666666666666667,1274.1246875,7.925632417027373e-07,48,1,48,114.77083333333333,114.77083333333333
20,screen_depth1,48,114.77083333333333,1023.0833333333334,1645.1041666666667,1645.1041666666667,5.166666666666667,1130.1176041666668,0.06767786897944461,48,4.875,48,110.47916666666667,114.77083333333333
20,screen_depth2,48,114.77083333333333,990.6666666666666,1596.3125,1596.3125,5.25,1095.0203125,0.3142743220422138,48,6.5,48,110.3125,114.77083333333333
20,screen_single,48,114.77083333333333,1074.5833333333333,1723.5,1723.5,5.104166666666667,1186.0733333333333,0.010387921937611585,48,3,48,111.625,114.77083333333333
22,adaptive_all_depth,48,108.97916666666667,927.4166666666666,1496.8541666666667,1496.8958333333333,5.333333333333333,1026.1057291666666,0.4216118628113084,48,6.25,48,105.77083333333333,108.97916666666667
22,depth2_guard_direct,48,108.97916666666667,927.4166666666666,1496.8541666666667,1496.8958333333333,5.333333333333333,1026.1057291666666,0.33765768577040944,48,6.25,48,105.77083333333333,108.97916666666667
22,depth_policy,48,108.97916666666667,927.6666666666666,1497.1666666666667,1497.2083333333333,5.333333333333333,1026.3735416666666,0.33556357722909524,48,6.208333333333333,48,105.70833333333333,108.97916666666667
22,direct_logical_and,48,108.97916666666667,1077.8333333333333,1725.6875,1725.7291666666667,4.791666666666667,1188.8090625,6.831049480145642e-07,48,1,48,108.97916666666667,108.97916666666667
22,screen_depth1,48,108.97916666666667,956.0833333333334,1539.6458333333333,1539.6875,5.3125,1057.2255208333333,0.07228645049932918,48,4.708333333333333,48,105.5625,108.97916666666667
22,screen_depth2,48,108.97916666666667,927.4166666666666,1496.8541666666667,1496.8958333333333,5.333333333333333,1026.1057291666666,0.33776994966622925,48,6.25,48,105.77083333333333,108.97916666666667
22,screen_single,48,108.97916666666667,1002,1609.3541666666667,1609.3958333333333,5.25,1107.0890625,0.011555462645749989,48,2.9583333333333335,48,106.39583333333333,108.97916666666667
24,adaptive_all_depth,48,115.64583333333333,1037.5833333333333,1667.7708333333333,1667.7916666666667,5.520833333333333,1146.6547916666666,0.5321881536245504,48,6.083333333333333,48,111.41666666666667,115.64583333333333
24,depth2_guard_direct,48,115.64583333333333,1037.5833333333333,1667.7708333333333,1667.7916666666667,5.520833333333333,1146.6547916666666,0.42792222481208836,48,6.083333333333333,48,111.41666666666667,115.64583333333333
24,depth_policy,48,115.64583333333333,1037.9166666666667,1668.2291666666667,1668.25,5.520833333333333,1147.0145833333333,0.42264323522901276,48,6.041666666666667,48,111.375,115.64583333333333
24,direct_logical_and,48,115.64583333333333,1203.5833333333333,1921,1921.0208333333333,5.020833333333333,1326.4546875,7.248130107958181e-07,48,1,48,115.64583333333333,115.64583333333333
24,screen_depth1,48,115.64583333333333,1070.5833333333333,1717.3333333333333,1717.3541666666667,5.4375,1182.3796875,0.09010630297916578,48,4.625,48,111.47916666666667,115.64583333333333
24,screen_depth2,48,115.64583333333333,1037.5833333333333,1667.7708333333333,1667.7916666666667,5.520833333333333,1146.6547916666666,0.42791995658293064,48,6.083333333333333,48,111.41666666666667,115.64583333333333
24,screen_single,48,115.64583333333333,1122.0833333333333,1795.8333333333333,1795.8541666666667,5.416666666666667,1238.4255208333334,0.014161894062453939,48,2.875,48,112.72916666666667,115.64583333333333
28,adaptive_all_depth,48,115.85416666666667,1013.25,1632.5,1632.5625,5.041666666666667,1119.3148958333334,0.6492222916244828,48,5.791666666666667,48,112.6875,115.85416666666667
28,depth2_guard_direct,48,115.85416666666667,1013.25,1632.5,1632.5625,5.041666666666667,1119.3148958333334,0.5192836285209523,48,5.791666666666667,48,112.6875,115.85416666666667
28,depth_policy,48,115.85416666666667,1013.25,1632.5,1632.5625,5.041666666666667,1119.3148958333334,0.5176156519376794,48,5.791666666666667,48,112.6875,115.85416666666667
28,direct_logical_and,48,115.85416666666667,1162.9166666666667,1860.1666666666667,1860.2291666666667,4.729166666666667,1281.6582291666666,7.031252001373408e-07,48,1,48,115.85416666666667,115.85416666666667
28,screen_depth1,48,115.85416666666667,1043.6666666666667,1678.25,1678.3125,5.041666666666667,1152.4011458333334,0.11160544531261014,48,4.416666666666667,48,112.8125,115.85416666666667
28,screen_depth2,48,115.85416666666667,1013.25,1632.5,1632.5625,5.041666666666667,1119.3148958333334,0.5192859896251321,48,5.791666666666667,48,112.6875,115.85416666666667
28,screen_single,48,115.85416666666667,1090.9166666666667,1749.8958333333333,1749.9583333333333,5.041666666666667,1203.835625,0.018330856686740542,48,2.75,48,113.58333333333333,115.85416666666667
