scope,target,baseline,role,pairs,score_wlt,mean_score_delta_pct,median_score_delta_pct,mean_time_delta_pct,mean_t_delta_pct,mean_target_score,mean_baseline_score
n=48/56/64,screen_depth4,screen_depth2,deterministic deep screen,48,24/0/24,-1.81,-0.56,+488.77,-1.85,1168.91,1202.81
n=48/56/64,adaptive_all_depth,screen_depth2,quality ceiling,48,24/0/24,-1.81,-0.56,+809.95,-1.85,1168.91,1202.81
n=48/56/64,depth_frontier_policy,screen_depth2,learned frontier vs cheap depth-2,48,10/0/38,-0.84,+0.00,+244.67,-0.85,1182.60,1202.81
n=48/56/64,depth_frontier_policy,screen_depth4,learned frontier vs deepest screen,48,0/14/34,+1.02,+0.00,-35.99,+1.04,1182.60,1168.91
n=48/56/64,depth_frontier_policy,adaptive_all_depth,learned frontier vs full measured frontier,48,0/14/34,+1.02,+0.00,-61.61,+1.04,1182.60,1168.91
n=48,depth_frontier_policy,adaptive_all_depth,per-n learned boundary,16,0/1/15,+0.07,+0.00,-53.13,+0.07,1134.35,1133.28
n=48,screen_depth4,screen_depth2,per-n deterministic depth gain,16,6/0/10,-1.07,+0.00,+494.86,-1.09,1133.28,1154.16
n=56,depth_frontier_policy,adaptive_all_depth,per-n learned boundary,16,0/6/10,+1.14,+0.00,-60.06,+1.17,1334.33,1320.65
n=56,screen_depth4,screen_depth2,per-n deterministic depth gain,16,10/0/6,-2.23,-2.34,+591.40,-2.28,1320.65,1362.89
n=64,depth_frontier_policy,adaptive_all_depth,per-n learned boundary,16,0/7/9,+1.85,+0.00,-71.64,+1.88,1079.12,1052.81
n=64,screen_depth4,screen_depth2,per-n deterministic depth gain,16,8/0/8,-2.13,-0.74,+380.03,-2.17,1052.81,1091.38
