category,dataset,comparison,target,baseline,pairs,t_wlt,t_target_mean,t_baseline_mean,t_relative_pct,cnot_wlt,cnot_target_mean,cnot_baseline_mean,cnot_relative_pct,depth_wlt,depth_target_mean,depth_baseline_mean,depth_relative_pct,peak_ancilla_wlt,peak_ancilla_target_mean,peak_ancilla_baseline_mean,peak_ancilla_relative_pct,score_wlt,score_target_mean,score_baseline_mean,score_relative_pct
affine search,ablation_affine,Affine greedy vs fixed-coordinate MCTS,and_affine_greedy,and_mcts_factor,321,161/77/83,153.76,155.17,-13.49,174/77/70,280.10,291.43,-13.22,165/86/70,282.88,291.71,-10.77,1/46/274,1.99,1.85,6.60,165/88/68,174.35,176.09,-12.12
neural refine,ablation_affine,Neural refine over affine greedy,and_affine_no_guard,and_affine_greedy,322,25/0/297,153.75,154.09,-1.00,44/16/262,280.26,280.80,-0.95,47/15/260,282.95,283.58,-1.01,18/0/304,1.93,1.99,-1.86,65/0/257,174.24,174.72,-1.08
guarded MCTS,ablation_affine,Guarded Affine-NMCTS over no-guard,and_affine_nmcts,and_affine_no_guard,322,77/0/245,145.39,153.75,-1.81,77/10/235,272.73,280.26,-0.87,78/10/234,275.39,282.95,-0.89,15/0/307,1.89,1.93,-1.42,88/0/234,165.34,174.24,-1.74
full affine,ablation_affine,Full Affine-NMCTS vs fixed-coordinate MCTS,and_affine_nmcts,and_mcts_factor,321,161/0/160,145.03,155.17,-16.18,164/1/156,272.01,291.43,-14.87,161/3/157,274.67,291.71,-12.52,1/13/307,1.89,1.85,1.72,165/0/156,164.95,176.09,-14.82
portfolio,traditional_resource,Resource-NMCTS over Affine-NMCTS,and_resource_nmcts,and_affine_nmcts,177,33/0/144,43.91,45.88,-2.12,42/0/135,89.85,94.36,-2.46,42/2/133,94.51,98.92,-2.24,1/8/168,1.92,1.88,2.31,44/0/133,53.22,55.37,-1.91
pareto archive,traditional_resource,Pareto archive over Resource-NMCTS,and_pareto_resource_nmcts,and_resource_nmcts,177,53/0/124,40.43,43.91,-3.72,66/0/111,83.04,89.85,-3.90,65/2/110,88.00,94.51,-3.48,2/20/155,2.03,1.92,4.80,68/0/109,49.56,53.22,-3.26
dedicated ablation,search_ablation_traditional,No-MCTS portfolio over heuristic-only,and_resource_no_mcts,and_resource_heuristic,177,40/0/137,44.41,46.69,-2.68,52/0/125,90.38,95.28,-2.96,52/2/123,95.34,100.30,-2.69,5/6/166,1.99,1.99,0.99,54/0/123,53.90,56.46,-2.51
dedicated ablation,search_ablation_traditional,No-MCTS portfolio over beam-only,and_resource_no_mcts,and_resource_beam_only,177,81/0/96,44.41,47.41,-8.99,86/15/76,90.38,94.04,-5.88,86/16/75,95.34,99.00,-5.62,23/10/144,1.99,2.07,-2.92,106/1/70,53.90,57.26,-8.36
dedicated ablation,search_ablation_traditional,Resource-NMCTS over heuristic-only,and_resource_nmcts,and_resource_heuristic,177,59/0/118,43.91,46.69,-4.03,76/12/89,89.85,95.28,-3.84,82/12/83,94.51,100.30,-3.93,18/6/153,1.92,1.99,-1.46,98/0/79,53.22,56.46,-3.93
dedicated ablation,search_ablation_traditional,Resource-NMCTS over no-MCTS portfolio,and_resource_nmcts,and_resource_no_mcts,177,21/0/156,43.91,44.41,-1.36,30/16/131,89.85,90.38,-0.87,38/12/127,94.51,95.34,-1.25,13/0/164,1.92,1.99,-2.45,54/0/123,53.22,53.90,-1.44
