threshold,pairs,run_depth4,true_runs,false_runs,false_skips,score_wlt_vs_sparse,mean_rel_score_vs_sparse,mean_rel_time_vs_sparse,score_wlt_vs_depth2,mean_rel_score_vs_depth2,mean_rel_time_vs_depth2
0.0,144,144,94,50,0,0/0/144,0.0,0.0,94/0/50,-0.026914379807401214,7.690135464713752
6.631283218481927e-18,144,144,94,50,0,0/0/144,0.0,0.0,94/0/50,-0.026914379807401214,7.690135464713752
1.8152382282434334e-14,144,143,94,49,0,0/0/144,0.0,-0.0034921077503573517,94/0/50,-0.026914379807401214,7.683111019992614
3.6298133281650186e-14,144,143,94,49,0,0/0/144,0.0,-0.0034921077503573517,94/0/50,-0.026914379807401214,7.683111019992614
9.627102378630646e-14,144,142,94,48,0,0/0/144,0.0,-0.006950146283605924,94/0/50,-0.026914379807401214,7.676223079490971
1.5624391429096274e-13,144,142,94,48,0,0/0/144,0.0,-0.006950146283605924,94/0/50,-0.026914379807401214,7.676223079490971
2.840091036697759e-13,144,141,94,47,0,0/0/144,0.0,-0.010423841063073641,94/0/50,-0.026914379807401214,7.6692727423184595
4.1177429304858904e-13,144,141,94,47,0,0/0/144,0.0,-0.010423841063073641,94/0/50,-0.026914379807401214,7.6692727423184595
1.7074084957295274e-11,144,140,94,46,0,0/0/144,0.0,-0.013912748317277408,94/0/50,-0.026914379807401214,7.662261235491948
3.373639562154196e-11,144,140,94,46,0,0/0/144,0.0,-0.013912748317277408,94/0/50,-0.026914379807401214,7.662261235491948
1.4366292530598734e-10,144,139,94,45,0,0/0/144,0.0,-0.01738377264272004,94/0/50,-0.026914379807401214,7.655321580982122
2.5358945499043273e-10,144,139,94,45,0,0/0/144,0.0,-0.01738377264272004,94/0/50,-0.026914379807401214,7.655321580982122
4.048004570433861e-10,144,138,94,44,0,0/0/144,0.0,-0.020886919071137686,94/0/50,-0.026914379807401214,7.648252328147986
5.560114590963394e-10,144,138,94,44,0,0/0/144,0.0,-0.020886919071137686,94/0/50,-0.026914379807401214,7.648252328147986
6.542859587455041e-10,144,137,94,43,0,0/0/144,0.0,-0.024350501281371256,94/0/50,-0.026914379807401214,7.641342357968375
7.525604583946688e-10,144,137,94,43,0,0/0/144,0.0,-0.024350501281371256,94/0/50,-0.026914379807401214,7.641342357968375
2.226320572340512e-09,144,136,94,42,0,0/0/144,0.0,-0.02786101639525455,94/0/50,-0.026914379807401214,7.634243033890042
3.7000806862863556e-09,144,136,94,42,0,0/0/144,0.0,-0.02786101639525455,94/0/50,-0.026914379807401214,7.634243033890042
6.288835008305682e-09,144,135,94,41,0,0/0/144,0.0,-0.03132656262840803,94/0/50,-0.026914379807401214,7.6273252421571085
8.877589330325009e-09,144,135,94,41,0,0/0/144,0.0,-0.03132656262840803,94/0/50,-0.026914379807401214,7.6273252421571085
1.8142469304649467e-08,144,134,94,40,0,0/0/144,0.0,-0.03477435199516454,94/0/50,-0.026914379807401214,7.620477846236828
2.7407349278973925e-08,144,134,94,40,0,0/0/144,0.0,-0.03477435199516454,94/0/50,-0.026914379807401214,7.620477846236828
3.767656053810242e-08,144,133,94,39,0,0/0/144,0.0,-0.038225357960938164,94/0/50,-0.026914379807401214,7.61361775141819
4.794577179723092e-08,144,133,94,39,0,0/0/144,0.0,-0.038225357960938164,94/0/50,-0.026914379807401214,7.61361775141819
8.883054469777107e-08,144,132,94,38,0,0/0/144,0.0,-0.04171131849127129,94/0/50,-0.026914379807401214,7.606618135447837
1.2971531759831123e-07,144,132,94,38,0,0/0/144,0.0,-0.04171131849127129,94/0/50,-0.026914379807401214,7.606618135447837
1.319378810649141e-07,144,131,94,37,0,0/0/144,0.0,-0.045188200763365424,94/0/50,-0.026914379807401214,7.5996550257533775
1.34160444531517e-07,144,131,94,37,0,0/0/144,0.0,-0.045188200763365424,94/0/50,-0.026914379807401214,7.5996550257533775
1.8776130161768378e-07,144,130,94,36,0,0/0/144,0.0,-0.04863952058502371,94/0/50,-0.026914379807401214,7.592793690602272
2.413621587038506e-07,144,130,94,36,0,0/0/144,0.0,-0.04863952058502371,94/0/50,-0.026914379807401214,7.592793690602272
3.855411989661661e-07,144,129,94,35,0,0/0/144,0.0,-0.052115622283235956,94/0/50,-0.026914379807401214,7.585833710896489
5.297202392284817e-07,144,129,94,35,0,0/0/144,0.0,-0.052115622283235956,94/0/50,-0.026914379807401214,7.585833710896489
6.225056381481409e-07,144,128,94,34,0,0/0/144,0.0,-0.055932666677991606,94/0/50,-0.026914379807401214,7.577357899577117
7.152910370678001e-07,144,128,94,34,0,0/0/144,0.0,-0.055932666677991606,94/0/50,-0.026914379807401214,7.577357899577117
8.506575284172868e-07,144,127,94,33,0,0/0/144,0.0,-0.05937073441494747,94/0/50,-0.026914379807401214,7.570548742322411
9.860240197667736e-07,144,127,94,33,0,0/0/144,0.0,-0.05937073441494747,94/0/50,-0.026914379807401214,7.570548742322411
1.3637775850838807e-06,144,126,94,32,0,0/0/144,0.0,-0.06284013571651745,94/0/50,-0.026914379807401214,7.56361557240087
1.7415311504009878e-06,144,126,94,32,0,0/0/144,0.0,-0.06284013571651745,94/0/50,-0.026914379807401214,7.56361557240087
1.970349217117473e-06,144,125,94,31,0,0/0/144,0.0,-0.06632572974964823,94/0/50,-0.026914379807401214,7.556617433932727
2.199167283833958e-06,144,125,94,31,0,0/0/144,0.0,-0.06632572974964823,94/0/50,-0.026914379807401214,7.556617433932727
2.985698188240349e-06,144,124,94,30,0,0/0/144,0.0,-0.06980193000497471,94/0/50,-0.026914379807401214,7.549657059104847
3.7722290926467394e-06,144,124,94,30,0,0/0/144,0.0,-0.06980193000497471,94/0/50,-0.026914379807401214,7.549657059104847
4.726532893073454e-06,144,123,94,29,0,0/0/144,0.0,-0.07369165555051439,94/0/50,-0.026914379807401214,7.540814352509218
5.680836693500169e-06,144,123,94,29,0,0/0/144,0.0,-0.07369165555051439,94/0/50,-0.026914379807401214,7.540814352509218
6.993575425440213e-06,144,122,94,28,0,0/0/144,0.0,-0.07714299961399879,94/0/50,-0.026914379807401214,7.533952921547151
8.306314157380257e-06,144,122,94,28,0,0/0/144,0.0,-0.07714299961399879,94/0/50,-0.026914379807401214,7.533952921547151
9.011313522933051e-06,144,121,94,27,0,0/0/144,0.0,-0.08061328816367815,94/0/50,-0.026914379807401214,7.527016207487844
9.716312888485845e-06,144,121,94,27,0,0/0/144,0.0,-0.08061328816367815,94/0/50,-0.026914379807401214,7.527016207487844
9.726813459565165e-06,144,120,94,26,0,0/0/144,0.0,-0.084078068163966,94/0/50,-0.026914379807401214,7.520101468262162
