correct,functions,mean_depth,mean_peak_ancilla,mean_score,mean_time_s,method,n,total_CNOT,total_T
3,3,9.0,0.0,3.225,0.002376556396484375,and_affine_nmcts,3,27,8
69,69,37.11594202898551,1.434782608695652,20.43659420289855,0.037976589755735535,and_affine_nmcts,4,2293,1068
67,67,93.1044776119403,1.9850746268656716,50.36253731343284,0.2941154971051572,and_affine_nmcts,5,5897,2748
38,38,234.1315789473684,2.6842105263157894,134.6475,0.08939404236642938,and_affine_nmcts,6,8683,4392
3,3,9.0,0.0,3.225,0.025434414545694988,and_pareto_resource_nmcts,3,27,8
69,69,36.56521739130435,1.4492753623188406,20.01876811594203,0.7205461902894835,and_pareto_resource_nmcts,4,2238,1040
67,67,87.53731343283582,2.1492537313432836,48.2505223880597,4.130972908503973,and_pareto_resource_nmcts,5,5485,2608
38,38,190.71052631578948,3.1578947368421053,110.56144736842106,7.99687755735297,and_pareto_resource_nmcts,6,6993,3540
3,3,9.0,0.0,3.225,0.003433783849080404,and_resource_nmcts,3,27,8
69,69,36.68115942028985,1.4492753623188406,20.0286231884058,0.11240994066431903,and_resource_nmcts,4,2250,1040
67,67,91.35820895522389,2.014925373134328,50.01320895522388,0.5372320466966771,and_resource_nmcts,5,5773,2728
38,38,215.60526315789474,2.8421052631578947,125.31276315789474,0.4420742486652575,and_resource_nmcts,6,7961,4068
