n,method,functions,mean_terms,mean_T,mean_CNOT,mean_depth,mean_peak_ancilla,mean_schedule_logical_depth,mean_schedule_cnot_depth_proxy,mean_schedule_t_depth_proxy,mean_explicit_ancilla_live_peak,mean_explicit_ancilla_lifetime_area,mean_score,mean_plan_time_s,mean_truth_build_time_s,mean_truth_verify_time_s,truth_verified_rows,anf_verified_rows,circuit_verified_rows,mean_circuit_max_wire_terms
30,adaptive_all_depth,6,136.83333333333334,1190.6666666666667,1916.1666666666667,1916.1666666666667,5.5,128.16666666666666,1362.6666666666667,571.3333333333334,1,36,1314.3108333333334,12.957149187316341,27.694104291678133,17.812421208674397,6,6,6,136.83333333333334
30,depth2_guard_direct,6,136.83333333333334,1245.3333333333333,1998.1666666666667,1998.1666666666667,5.5,128.16666666666666,1422,597.5,1,25.333333333333332,1373.7608333333333,0.7535068194944566,27.694104291678133,20.960854236162657,6,6,6,136.83333333333334
30,depth_frontier_policy,6,136.83333333333334,1203.3333333333333,1934.8333333333333,1934.8333333333333,5.5,127.83333333333333,1374,577.5,1,33.666666666666664,1328.0641666666668,7.697940451165778,27.694104291678133,17.943639902834548,6,6,6,136.83333333333334
30,depth_policy,6,136.83333333333334,1245.3333333333333,1998.1666666666667,1998.1666666666667,5.5,128.16666666666666,1422,597.5,1,25.333333333333332,1373.7608333333333,0.7534552291617729,27.694104291678133,21.00444478483405,6,6,6,136.83333333333334
30,direct_logical_and,6,136.83333333333334,1436.6666666666667,2291.8333333333335,2291.8333333333335,5.166666666666667,136.83333333333334,1611.3333333333333,690.1666666666666,0,0,1581.6025,0.00010058349774529536,27.694104291678133,29.204876270673896,6,6,6,136.83333333333334
30,screen_depth1,6,136.83333333333334,1296.6666666666667,2076.8333333333335,2076.8333333333335,5.5,129.83333333333334,1471.3333333333333,622.1666666666666,1,18.333333333333332,1429.6941666666667,0.15758513882853245,27.694104291678133,24.829162257175387,6,6,6,136.83333333333334
30,screen_depth2,6,136.83333333333334,1245.3333333333333,1998.1666666666667,1998.1666666666667,5.5,128.16666666666666,1422,597.5,1,25.333333333333332,1373.7608333333333,0.753683006997259,27.694104291678133,20.98474124999969,6,6,6,136.83333333333334
30,screen_depth3,6,136.83333333333334,1213.3333333333333,1949.8333333333333,1949.8333333333333,5.5,128.16666666666666,1387.6666666666667,582,1,31,1338.9391666666666,2.955594472165103,27.694104291678133,18.64052936817461,6,6,6,136.83333333333334
30,screen_depth4,6,136.83333333333334,1190.6666666666667,1916.1666666666667,1916.1666666666667,5.5,128.16666666666666,1362.6666666666667,571.3333333333334,1,36,1314.3108333333334,9.064293506661974,27.694104291678133,18.246648166837986,6,6,6,136.83333333333334
30,screen_single,6,136.83333333333334,1356.6666666666667,2169.3333333333335,2169.3333333333335,5.5,132.66666666666666,1532.6666666666667,651,1,10.5,1495.1066666666666,0.02599306266347412,27.694104291678133,26.409877354162745,6,6,6,136.83333333333334
