CNOT,T,anf_terms,correct,depth,explicit_ancilla,gates,method,model,n,n_qubits,name,peak_ancilla,random_seed,score,skipped,terms,time_s,truth_table_hex,variant
3,0,3,True,3,0,3,and_affine_nmcts,random-prior:1001,3,4,parity_n3,0,1001,0.19499999999999998,,3,0.0017418861389160156,96,random_prior
3,0,3,True,3,0,3,and_resource_nmcts,random-prior:1001,3,4,parity_n3,0,1001,0.19499999999999998,,3,0.002701997756958008,96,random_prior
3,0,3,True,3,0,3,and_pareto_resource_nmcts,random-prior:1001,3,4,parity_n3,0,1001,0.19499999999999998,,3,0.018349170684814453,96,random_prior
12,4,3,True,12,0,8,and_affine_nmcts,random-prior:1001,3,4,majority_n3,0,1001,4.74,,2,0.002015829086303711,E8,random_prior
12,4,3,True,12,0,8,and_resource_nmcts,random-prior:1001,3,4,majority_n3,0,1001,4.74,,2,0.0032470226287841797,E8,random_prior
12,4,3,True,12,0,8,and_pareto_resource_nmcts,random-prior:1001,3,4,majority_n3,0,1001,4.74,,2,0.028208255767822266,E8,random_prior
12,4,3,True,12,0,8,and_affine_nmcts,random-prior:1001,3,4,threshold2_n3,0,1001,4.74,,2,0.0036721229553222656,E8,random_prior
12,4,3,True,12,0,8,and_resource_nmcts,random-prior:1001,3,4,threshold2_n3,0,1001,4.74,,2,0.003778219223022461,E8,random_prior
4,0,4,True,4,0,4,and_affine_nmcts,random-prior:1001,4,5,parity_n4,0,1001,0.26,,4,0.0021979808807373047,6996,random_prior
4,0,4,True,4,0,4,and_resource_nmcts,random-prior:1001,4,5,parity_n4,0,1001,0.26,,4,0.004631996154785156,6996,random_prior
12,4,3,True,12,0,8,and_pareto_resource_nmcts,random-prior:1001,3,4,threshold2_n3,0,1001,4.74,,2,0.033338069915771484,E8,random_prior
5,0,5,True,5,0,5,and_affine_nmcts,random-prior:1001,5,6,parity_n5,0,1001,0.325,,5,0.002814054489135742,96696996,random_prior
4,0,4,True,4,0,4,and_pareto_resource_nmcts,random-prior:1001,4,5,parity_n4,0,1001,0.26,,4,0.04005098342895508,6996,random_prior
5,0,5,True,5,0,5,and_resource_nmcts,random-prior:1001,5,6,parity_n5,0,1001,0.325,,5,0.012900829315185547,96696996,random_prior
49,24,5,True,58,1,32,and_affine_nmcts,random-prior:1001,4,6,majority_n4,2,1001,31.150000000000002,,8,0.08476114273071289,E880,random_prior
49,24,7,True,51,1,25,and_affine_nmcts,random-prior:1001,4,6,threshold2_n4,2,1001,30.975,,7,0.0685110092163086,FEE8,random_prior
49,24,5,True,58,1,32,and_resource_nmcts,random-prior:1001,4,6,majority_n4,2,1001,31.150000000000002,,8,0.09639310836791992,E880,random_prior
49,24,7,True,49,1,23,and_resource_nmcts,random-prior:1001,4,6,threshold2_n4,2,1001,30.925,,7,0.08820796012878418,FEE8,random_prior
6,0,6,True,6,0,6,and_affine_nmcts,random-prior:1001,6,7,parity_n6,0,1001,0.38999999999999996,,6,0.0008249282836914062,6996966996696996,random_prior
5,0,5,True,5,0,5,and_pareto_resource_nmcts,random-prior:1001,5,6,parity_n5,0,1001,0.325,,5,0.0894160270690918,96696996,random_prior
6,0,6,True,6,0,6,and_resource_nmcts,random-prior:1001,6,7,parity_n6,0,1001,0.38999999999999996,,6,0.037017107009887695,6996966996696996,random_prior
70,32,15,True,70,1,34,and_affine_nmcts,random-prior:1001,5,7,majority_n5,2,1001,40.19,,6,0.12305402755737305,FEE8E880,random_prior
219,108,15,True,219,1,87,and_affine_nmcts,random-prior:1001,6,8,majority_n6,2,1001,124.915,,15,0.05640125274658203,FEE8E880E8808000,random_prior
70,32,15,True,70,1,34,and_resource_nmcts,random-prior:1001,5,7,majority_n5,2,1001,40.19,,6,0.22906804084777832,FEE8E880,random_prior
6,0,6,True,6,0,6,and_pareto_resource_nmcts,random-prior:1001,6,7,parity_n6,0,1001,0.38999999999999996,,6,0.2983832359313965,6996966996696996,random_prior
225,132,35,True,238,1,100,and_affine_nmcts,random-prior:1001,6,8,threshold3_n6,2,1001,149.57,,16,0.15929102897644043,FFFEFEE8FEE8E880,random_prior
183,104,15,True,183,2,73,and_resource_nmcts,random-prior:1001,6,9,majority_n6,3,1001,120.795,,15,0.3151731491088867,FEE8E880E8808000,random_prior
67,36,9,True,67,1,29,and_affine_nmcts,random-prior:1001,6,8,mux_2_4,1,1001,41.975,,9,0.003690958023071289,FEDCBA9876543210,random_prior
65,32,9,True,71,1,37,and_resource_nmcts,random-prior:1001,6,8,mux_2_4,1,1001,38.035,,11,0.026288270950317383,FEDCBA9876543210,random_prior
78,40,15,True,89,1,43,and_affine_nmcts,random-prior:1001,5,7,threshold2_n5,2,1001,48.885,,6,0.47063112258911133,FFFEFEE8,random_prior
31,16,3,True,31,1,13,and_affine_nmcts,random-prior:1001,4,6,adder_carry_w2,1,1001,19.834999999999997,,3,0.03182101249694824,EC80,random_prior
25,12,3,True,30,1,18,and_resource_nmcts,random-prior:1001,4,6,adder_carry_w2,2,1001,17.63,,6,0.039422035217285156,EC80,random_prior
49,24,7,True,49,1,23,and_pareto_resource_nmcts,random-prior:1001,4,6,threshold2_n4,2,1001,30.925,,7,0.6114091873168945,FEE8,random_prior
78,40,15,True,89,1,43,and_resource_nmcts,random-prior:1001,5,7,threshold2_n5,2,1001,48.885,,6,0.5472888946533203,FFFEFEE8,random_prior
97,48,7,True,97,1,39,and_affine_nmcts,random-prior:1001,6,8,adder_carry_w3,2,1001,57.725,,7,0.012996196746826172,FEFCF8F0E0C08000,random_prior
49,24,5,True,58,1,32,and_pareto_resource_nmcts,random-prior:1001,4,6,majority_n4,2,1001,31.150000000000002,,8,0.6699681282043457,E880,random_prior
14,8,2,True,14,0,6,and_affine_nmcts,random-prior:1001,4,5,mul_w2_bit1,0,1001,8.830000000000002,,2,0.0028259754180908203,6AC0,random_prior
14,8,2,True,14,0,6,and_resource_nmcts,random-prior:1001,4,5,mul_w2_bit1,0,1001,8.830000000000002,,2,0.004797935485839844,6AC0,random_prior
14,8,2,True,14,0,6,and_pareto_resource_nmcts,random-prior:1001,4,5,mul_w2_bit1,0,1001,8.830000000000002,,2,0.038417816162109375,6AC0,random_prior
38,20,4,True,38,1,16,and_affine_nmcts,random-prior:1001,6,8,mul_w3_bit2,2,1001,26.25,,4,0.0040988922119140625,1E665AAAB4CCF000,random_prior
60,32,7,True,60,2,26,and_resource_nmcts,random-prior:1001,6,9,adder_carry_w3,3,1001,41.559999999999995,,7,0.11380791664123535,FEFCF8F0E0C08000,random_prior
38,20,4,True,38,1,16,and_resource_nmcts,random-prior:1001,6,8,mul_w3_bit2,2,1001,26.25,,4,0.025310993194580078,1E665AAAB4CCF000,random_prior
31,16,9,True,33,0,17,and_affine_nmcts,random-prior:1001,4,5,truth_n4_0,1,1001,19.905,,5,0.02721714973449707,A3B1,random_prior
31,16,9,True,33,0,17,and_resource_nmcts,random-prior:1001,4,5,truth_n4_0,1,1001,19.905,,5,0.03531026840209961,A3B1,random_prior
65,32,9,True,71,1,37,and_pareto_resource_nmcts,random-prior:1001,6,8,mux_2_4,1,1001,38.035,,11,0.3912057876586914,FEDCBA9876543210,random_prior
38,20,4,True,38,1,16,and_affine_nmcts,random-prior:1001,4,6,truth_n4_1,1,1001,24.25,,4,0.029103755950927734,1C80,random_prior
25,12,3,True,30,1,18,and_pareto_resource_nmcts,random-prior:1001,4,6,adder_carry_w2,2,1001,17.63,,6,0.30307698249816895,EC80,random_prior
37,16,4,True,39,1,21,and_resource_nmcts,random-prior:1001,4,6,truth_n4_1,1,1001,20.275000000000002,,7,0.036482810974121094,1C80,random_prior
183,104,35,True,196,2,86,and_resource_nmcts,random-prior:1001,6,9,threshold3_n6,3,1001,121.11999999999999,,16,0.5514600276947021,FFFEFEE8FEE8E880,random_prior
49,24,12,True,54,1,28,and_affine_nmcts,random-prior:1001,4,6,truth_n4_2,2,1001,31.05,,8,0.07622885704040527,667,random_prior
42,20,12,True,46,1,24,and_resource_nmcts,random-prior:1001,4,6,truth_n4_2,2,1001,26.61,,6,0.09529495239257812,667,random_prior
38,20,4,True,38,1,16,and_pareto_resource_nmcts,random-prior:1001,6,8,mul_w3_bit2,2,1001,26.25,,4,0.31048011779785156,1E665AAAB4CCF000,random_prior
31,16,9,True,33,0,17,and_pareto_resource_nmcts,random-prior:1001,4,5,truth_n4_0,1,1001,19.905,,5,0.2541661262512207,A3B1,random_prior
48,24,11,True,53,1,27,and_affine_nmcts,random-prior:1001,4,6,truth_n4_3,2,1001,30.985000000000003,,7,0.0753328800201416,BDD6,random_prior
48,24,11,True,53,1,27,and_resource_nmcts,random-prior:1001,4,6,truth_n4_3,2,1001,30.985000000000003,,7,0.09524679183959961,BDD6,random_prior
39,16,8,True,43,1,25,and_affine_nmcts,random-prior:1001,4,6,truth_n4_4,1,1001,20.455,,5,0.02977299690246582,4668,random_prior
37,16,4,True,39,1,21,and_pareto_resource_nmcts,random-prior:1001,4,6,truth_n4_1,1,1001,20.275000000000002,,7,0.25873374938964844,1C80,random_prior
39,16,8,True,43,1,25,and_resource_nmcts,random-prior:1001,4,6,truth_n4_4,1,1001,20.455,,5,0.04275918006896973,4668,random_prior
36,16,8,True,38,1,20,and_affine_nmcts,random-prior:1001,4,6,truth_n4_5,2,1001,22.21,,6,0.05907487869262695,3EB1,random_prior
36,16,8,True,38,1,20,and_resource_nmcts,random-prior:1001,4,6,truth_n4_5,2,1001,22.21,,6,0.07073211669921875,3EB1,random_prior
31,16,8,True,34,0,18,and_affine_nmcts,random-prior:1001,4,5,truth_n4_6,1,1001,19.93,,6,0.0235440731048584,3924,random_prior
31,16,8,True,34,0,18,and_resource_nmcts,random-prior:1001,4,5,truth_n4_6,1,1001,19.93,,6,0.0313568115234375,3924,random_prior
39,16,8,True,43,1,25,and_pareto_resource_nmcts,random-prior:1001,4,6,truth_n4_4,1,1001,20.455,,5,0.3475649356842041,4668,random_prior
31,16,8,True,34,0,18,and_pareto_resource_nmcts,random-prior:1001,4,5,truth_n4_6,1,1001,19.93,,6,0.23562979698181152,3924,random_prior
39,16,8,True,43,1,25,and_affine_nmcts,random-prior:1001,4,6,truth_n4_7,2,1001,22.455,,5,0.07010507583618164,23B8,random_prior
39,16,8,True,43,1,25,and_resource_nmcts,random-prior:1001,4,6,truth_n4_7,2,1001,22.455,,5,0.08455181121826172,23B8,random_prior
42,20,12,True,46,1,24,and_pareto_resource_nmcts,random-prior:1001,4,6,truth_n4_2,2,1001,26.61,,6,0.6461308002471924,667,random_prior
40,16,11,True,45,1,25,and_affine_nmcts,random-prior:1001,4,6,truth_n4_8,1,1001,20.525000000000002,,7,0.04066801071166992,BC89,random_prior
36,16,8,True,38,1,20,and_pareto_resource_nmcts,random-prior:1001,4,6,truth_n4_5,2,1001,22.21,,6,0.4638710021972656,3EB1,random_prior
40,16,11,True,45,1,25,and_resource_nmcts,random-prior:1001,4,6,truth_n4_8,1,1001,20.525000000000002,,7,0.05332612991333008,BC89,random_prior
41,20,10,True,45,1,23,and_affine_nmcts,random-prior:1001,4,6,truth_n4_9,1,1001,24.545,,5,0.039819955825805664,1A3D,random_prior
48,24,11,True,53,1,27,and_pareto_resource_nmcts,random-prior:1001,4,6,truth_n4_3,2,1001,30.985000000000003,,7,0.6798057556152344,BDD6,random_prior
41,20,10,True,45,1,23,and_resource_nmcts,random-prior:1001,4,6,truth_n4_9,1,1001,24.545,,5,0.05275225639343262,1A3D,random_prior
28,12,7,True,33,1,19,and_affine_nmcts,random-prior:1001,4,6,truth_n4_10,2,1001,17.805,,5,0.06941914558410645,AD3C,random_prior
28,12,7,True,33,1,19,and_resource_nmcts,random-prior:1001,4,6,truth_n4_10,2,1001,17.805,,5,0.0799407958984375,AD3C,random_prior
25,12,9,True,29,0,17,and_affine_nmcts,random-prior:1001,4,5,truth_n4_11,1,1001,15.605,,5,0.026620864868164062,BD9C,random_prior
25,12,9,True,29,0,17,and_resource_nmcts,random-prior:1001,4,5,truth_n4_11,1,1001,15.605,,5,0.03581118583679199,BD9C,random_prior
55,28,7,True,59,2,31,and_pareto_resource_nmcts,random-prior:1001,6,9,adder_carry_w3,4,1001,39.394999999999996,,13,1.360172986984253,FEFCF8F0E0C08000,random_prior
35,16,11,True,40,1,22,and_affine_nmcts,random-prior:1001,4,6,truth_n4_12,1,1001,20.22,,6,0.03304600715637207,E465,random_prior
40,16,11,True,45,1,25,and_pareto_resource_nmcts,random-prior:1001,4,6,truth_n4_8,1,1001,20.525000000000002,,7,0.38529014587402344,BC89,random_prior
35,16,11,True,40,1,22,and_resource_nmcts,random-prior:1001,4,6,truth_n4_12,1,1001,20.22,,6,0.04436993598937988,E465,random_prior
41,20,10,True,45,1,23,and_pareto_resource_nmcts,random-prior:1001,4,6,truth_n4_9,1,1001,24.545,,5,0.3858017921447754,1A3D,random_prior
39,16,8,True,43,1,25,and_pareto_resource_nmcts,random-prior:1001,4,6,truth_n4_7,2,1001,22.455,,5,0.556649923324585,23B8,random_prior
45,20,9,True,49,1,27,and_affine_nmcts,random-prior:1001,4,6,truth_n4_13,2,1001,26.805,,5,0.07543516159057617,8B9D,random_prior
25,12,9,True,29,0,17,and_pareto_resource_nmcts,random-prior:1001,4,5,truth_n4_11,1,1001,15.605,,5,0.264815092086792,BD9C,random_prior
45,20,9,True,49,1,27,and_resource_nmcts,random-prior:1001,4,6,truth_n4_13,2,1001,26.805,,5,0.09086394309997559,8B9D,random_prior
35,16,10,True,39,1,21,and_affine_nmcts,random-prior:1001,4,6,truth_n4_14,2,1001,22.195,,5,0.07046294212341309,1641,random_prior
28,12,7,True,30,0,18,and_affine_nmcts,random-prior:1001,4,5,truth_n4_15,1,1001,15.75,,4,0.01654982566833496,972A,random_prior
35,16,10,True,39,1,21,and_resource_nmcts,random-prior:1001,4,6,truth_n4_14,2,1001,22.195,,5,0.08376073837280273,1641,random_prior
28,12,7,True,30,0,18,and_resource_nmcts,random-prior:1001,4,5,truth_n4_15,1,1001,15.75,,4,0.03419184684753418,972A,random_prior
24,12,8,True,28,0,16,and_affine_nmcts,random-prior:1001,4,5,truth_n4_16,1,1001,15.540000000000001,,4,0.01761794090270996,6C03,random_prior
24,12,8,True,28,0,16,and_resource_nmcts,random-prior:1001,4,5,truth_n4_16,1,1001,15.540000000000001,,4,0.024178266525268555,6C03,random_prior
28,12,7,True,33,1,19,and_pareto_resource_nmcts,random-prior:1001,4,6,truth_n4_10,2,1001,17.805,,5,0.5359790325164795,AD3C,random_prior
35,16,11,True,40,1,22,and_pareto_resource_nmcts,random-prior:1001,4,6,truth_n4_12,1,1001,20.22,,6,0.34473299980163574,E465,random_prior
32,16,4,True,32,1,14,and_affine_nmcts,random-prior:1001,4,6,truth_n4_17,2,1001,21.900000000000002,,4,0.06745505332946777,822,random_prior
70,32,15,True,70,1,34,and_pareto_resource_nmcts,random-prior:1001,5,7,majority_n5,2,1001,40.19,,6,2.43648624420166,FEE8E880,random_prior
32,16,4,True,32,1,14,and_resource_nmcts,random-prior:1001,4,6,truth_n4_17,2,1001,21.900000000000002,,4,0.07658123970031738,822,random_prior
