split,name,n,term_count,safe_skip_label,skip_probability,skip_depth2,target_depth,target_score,depth2_score,single_time_s,depth1_time_s,depth2_time_s,target_time_s,all_depth_time_s
train,train_n14_0000_mixed,14,102,0,0.04780738800764084,0,2,1395.7050000000002,1395.7050000000002,0.005105958000058308,0.03444441700048628,0.15828841700204066,0.15828841700204066,0.19783879200258525
train,train_n14_0001_deep,14,200,0,0.0014999962877482176,0,2,3662.54,3662.54,0.010737832999438979,0.07422595800017007,0.3595192920001864,0.3595192920001864,0.44448308299979544
train,train_n14_0002_deep,14,164,0,0.00038586309528909624,0,2,3481.445,3481.445,0.008861124999384629,0.06064445800075191,0.2810775840007409,0.2810775840007409,0.35058316700087744
train,train_n14_0003_shallow,14,53,0,0.1261637657880783,0,2,647.09,647.09,0.002441999997245148,0.015316125001845649,0.06925458399928175,0.06925458399928175,0.08701270899837255
train,train_n14_0004_deep,14,188,0,0.000783743045758456,0,2,3616.0950000000003,3616.0950000000003,0.010167124997678911,0.07023879199914518,0.3206348749990866,0.3206348749990866,0.4010407919959107
train,train_n14_0005_deep,14,145,0,0.006496531423181295,0,2,2555.65,2555.65,0.007841999999072868,0.053394041999126785,0.24109812499955297,0.24109812499955297,0.3023341669977526
train,train_n14_0006_mixed,14,95,0,0.08923648297786713,0,2,1559.24,1559.24,0.004645125001843553,0.03137875000174972,0.1477017090001027,0.1477017090001027,0.18372558400369599
train,train_n14_0007_mixed,14,122,0,0.054001107811927795,0,2,1856.8600000000001,1856.8600000000001,0.006366499997966457,0.0428246660012519,0.19422849999682512,0.19422849999682512,0.24341966599604348
train,train_n14_0008_shallow,14,53,0,0.7861133217811584,0,2,788.815,788.815,0.0023634159988432657,0.015181209000729723,0.06304341700160876,0.06304341700160876,0.08058804200118175
train,train_n14_0009_mixed,14,99,0,0.028769420459866524,0,2,1747.565,1747.565,0.004921791998640401,0.03304225000101724,0.14938679199985927,0.14938679199985927,0.1873508339995169
train,train_n14_0010_mixed,14,116,0,0.02413799613714218,0,2,1999.82,1999.82,0.0060500409999804106,0.040286791998369154,0.18474170799891,0.18474170799891,0.23107854099725955
train,train_n14_0011_deep,14,204,0,0.0011343229562044144,0,2,3516.96,3516.96,0.011202207999303937,0.0774857090000296,0.35622758400131715,0.35622758400131715,0.4449155010006507
train,train_n14_0012_shallow,14,82,0,0.08309505134820938,0,2,1304.325,1304.325,0.003927416000806261,0.025735582999914186,0.1178484580013901,0.1178484580013901,0.14751145700211055
train,train_n14_0013_shallow,14,60,0,0.40034735202789307,0,2,712.3199999999999,712.3199999999999,0.0026806249989022035,0.016919457997573772,0.0795458749998943,0.0795458749998943,0.09914595799637027
train,train_n14_0014_mixed,14,82,0,0.026480767875909805,0,2,1028.31,1028.31,0.003859124997688923,0.025275583000620827,0.1157091249988298,0.1157091249988298,0.14484383299713954
train,train_n14_0015_shallow,14,43,0,0.928683340549469,0,2,703.8100000000001,703.8100000000001,0.001892500000394648,0.008582667000155197,0.018978541000251425,0.018978541000251425,0.02945370800080127
train,train_n14_0016_mixed,14,57,0,0.648422360420227,0,2,948.015,948.015,0.002698749998671701,0.017131749998952728,0.07885262499985402,0.07885262499985402,0.09868312499747844
train,train_n14_0017_shallow,14,43,0,0.8859622478485107,0,2,571.3,571.3,0.0019753330016101245,0.011675124998873798,0.020407291998708388,0.020407291998708388,0.03405774999919231
train,train_n14_0018_mixed,14,148,0,0.001573027460835874,0,2,2693.31,2693.31,0.008261917002528207,0.056597999999212334,0.2524538749967178,0.2524538749967178,0.3173137919984583
train,train_n14_0019_shallow,14,81,0,0.029876546934247017,0,2,1441.9099999999999,1441.9099999999999,0.003966500000387896,0.026007459000538802,0.12233987500076182,0.12233987500076182,0.15231383400168852
train,train_n14_0020_mixed,14,81,0,0.047385990619659424,0,2,909.37,909.37,0.0040632090021972544,0.02682199999981094,0.11713637499997276,0.11713637499997276,0.14802158400198095
train,train_n14_0021_mixed,14,115,0,0.0039406875148415565,0,2,2279.0350000000003,2279.0350000000003,0.006066583999199793,0.04048345899718697,0.18863266699918313,0.18863266699918313,0.2351827099955699
train,train_n14_0022_deep,14,126,0,0.012911712750792503,0,2,1955.1750000000002,1955.1750000000002,0.006804916996770771,0.045704874999501044,0.20593458299845224,0.20593458299845224,0.25844437499472406
train,train_n14_0023_deep,14,144,0,0.00361569388769567,0,2,2658.925,2658.925,0.007765291000396246,0.052787041997362394,0.23825900000156253,0.23825900000156253,0.29881133299932117
train,train_n14_0024_deep,14,136,0,0.008437421172857285,0,2,2497.87,2497.87,0.007108916001016041,0.04875416600043536,0.2250551249999262,0.2250551249999262,0.2809182070013776
train,train_n14_0025_deep,14,147,0,0.005680135451257229,0,2,2539.0099999999998,2539.0099999999998,0.008010749999812106,0.055643874999077525,0.2507540419974248,0.2507540419974248,0.3144086669963144
train,train_n14_0026_deep,14,111,0,0.014284013770520687,0,2,1831.6499999999999,1831.6499999999999,0.005863374997716164,0.03944220799894538,0.18141895799999475,0.18141895799999475,0.2267245409966563
train,train_n14_0027_shallow,14,72,0,0.07684560865163803,0,2,1206.055,1206.055,0.003472291999059962,0.02326908299801289,0.10410979199878057,0.10410979199878057,0.13085116699585342
train,train_n14_0028_mixed,14,77,0,0.11654997617006302,0,2,937.295,937.295,0.0037322079988371115,0.024544374999095453,0.10960858299949905,0.10960858299949905,0.1378851659974316
train,train_n14_0029_deep,14,150,0,0.00771917263045907,0,2,2760.38,2760.38,0.008014540999283781,0.05313520800336846,0.2525315839993709,0.2525315839993709,0.31368133300202317
train,train_n14_0030_deep,14,162,0,0.009420221671462059,0,2,2370.37,2370.37,0.008815458000754006,0.059993415998178534,0.26277850000042235,0.26277850000042235,0.3315873739993549
train,train_n14_0031_mixed,14,116,0,0.009229004383087158,0,2,2200.28,2200.28,0.006200707997777499,0.0420115419983631,0.19268437500068103,0.19268437500068103,0.24089662499682163
train,train_n14_0032_deep,14,111,0,0.023641830310225487,0,2,1528.96,1528.96,0.0058299170013924595,0.038787042001786176,0.16772395900261472,0.16772395900261472,0.21234091800579336
train,train_n14_0033_deep,14,159,0,0.0016705666203051805,0,2,3033.54,3033.54,0.008582041999034118,0.09266008299891837,0.2640992910019122,0.2640992910019122,0.3653414159998647
train,train_n14_0034_shallow,14,46,0,0.0867614597082138,0,2,505.80999999999995,505.80999999999995,0.002135416001692647,0.013679874999070307,0.05491433299903292,0.05491433299903292,0.07072962399979588
train,train_n14_0035_shallow,14,41,0,0.8826155662536621,0,2,531.92,531.92,0.001820208999561146,0.008270999998785555,0.02143412500299746,0.02143412500299746,0.03152533400134416
train,train_n14_0036_deep,14,199,0,0.0005626187194138765,0,2,3942.3500000000004,3942.3500000000004,0.010999458998412592,0.07583341599820415,0.3468060420018446,0.3468060420018446,0.43363891699846135
train,train_n14_0037_mixed,14,120,0,0.0329657681286335,0,2,1849.1699999999998,1849.1699999999998,0.006298959000559989,0.04201158399882843,0.18978270799925667,0.18978270799925667,0.2380932509986451
train,train_n14_0038_deep,14,153,0,0.003606639802455902,0,2,2504.275,2504.275,0.008203749999665888,0.055904291999468114,0.2492290830014099,0.2492290830014099,0.3133371250005439
train,train_n14_0039_deep,14,162,0,0.00012872167280875146,0,2,3584.7349999999997,3584.7349999999997,0.00908470899958047,0.06163495899818372,0.2846075409979676,0.2846075409979676,0.3553272089957318
train,train_n14_0040_mixed,14,123,0,0.007095413748174906,0,2,2206.765,2206.765,0.0065455000003566965,0.04320062500119093,0.20005366600162233,0.20005366600162233,0.24979979100316996
train,train_n14_0041_deep,14,135,0,0.004007540177553892,0,2,2570.16,2570.16,0.007180833999882452,0.048923915997875156,0.22841041699939524,0.22841041699939524,0.28451516699715285
train,train_n14_0042_shallow,14,58,0,0.06791048496961594,0,2,719.8449999999999,719.8449999999999,0.002656959000887582,0.016992249999020714,0.07801937499971245,0.07801937499971245,0.09766858399962075
train,train_n14_0043_shallow,14,63,0,0.014776158146560192,0,2,576.855,576.855,0.00294262500028708,0.01920737500040559,0.08308324999961769,0.08308324999961769,0.10523325000031036
train,train_n14_0044_mixed,14,81,0,0.07806714624166489,0,2,1036.125,1036.125,0.00401995899665053,0.02581175000159419,0.11467304200050421,0.11467304200050421,0.14450475099874893
train,train_n14_0045_deep,14,192,0,0.00020851434965152293,0,2,3861.7349999999997,3861.7349999999997,0.010524833000090439,0.07240737499887473,0.32624891600062256,0.32624891600062256,0.4091811239995877
train,train_n14_0046_deep,14,184,0,0.00025438377633690834,0,2,4038.13,4038.13,0.01007716700041783,0.06912704099886469,0.3269927080000343,0.3269927080000343,0.40619691599931684
train,train_n14_0047_shallow,14,38,1,0.9307621121406555,0,2,557.495,557.495,0.0016712500000721775,0.004543082999589387,0.00690954200035776,0.00690954200035776,0.013123875000019325
