dataset,index,name,n,anf_terms,method,strategy,T,CNOT,depth,t_depth_proxy,gates,explicit_ancilla,peak_ancilla,n_qubits,score,correct,time_s,xag_gates,xag_and,xag_xor,xag_depth,caterpillar_commit,source,skipped,error,truth_table_hex
traditional,13,adder_carry_w2,4,3,external_caterpillar_xag_api_best,best:xag_lowt,20,4,11,3,14,6,5,10,30.465,True,0.0,7,5,2,4,4c6f766,anf_xag_api,,,EC80
traditional,14,adder_carry_w3,6,7,external_caterpillar_xag_api_best,best:xag_lowt,60,12,21,5,42,16,15,22,91.215,True,0.0,21,15,6,5,4c6f766,anf_xag_api,,,FEFCF8F0E0C08000
traditional,1,majority_n3,3,3,external_caterpillar_xag_api_best,best:xag_lowt,12,4,9,2,10,4,3,7,18.395,True,0.0,5,3,2,3,4c6f766,anf_xag_api,,,E8
traditional,4,majority_n4,4,5,external_caterpillar_xag_api_best,best:xag_lowt,36,8,18,5,26,10,9,14,54.85,True,0.0,13,9,4,5,4c6f766,anf_xag_api,,,E880
traditional,7,majority_n5,5,15,external_caterpillar_xag_api_best,best:xag_lowt,92,28,42,9,74,24,23,29,140.49,True,0.0,37,23,14,6,4c6f766,anf_xag_api,,,FEE8E880
traditional,10,majority_n6,6,15,external_caterpillar_xag_api_best,best:xag_lowt,104,28,37,9,80,27,26,33,158.475,True,0.0,40,26,14,6,4c6f766,anf_xag_api,,,FEE8E880E8808000
traditional,15,mul_w2_bit1,4,2,external_caterpillar_xag_api_best,best:xag_lowt,8,2,4,2,6,3,2,7,12.2,True,0.0,3,2,1,2,4c6f766,anf_xag_api,,,6AC0
traditional,16,mul_w3_bit2,6,4,external_caterpillar_xag_api_best,best:xag_lowt,24,6,9,3,18,7,6,13,36.555,True,0.0,9,6,3,4,4c6f766,anf_xag_api,,,1E665AAAB4CCF000
traditional,12,mux_2_4,6,9,external_caterpillar_xag_api_best,best:xag_fast_lowt,40,16,19,6,36,11,10,17,61.285,True,0.0,18,10,8,6,4c6f766,anf_xag_api,,,FEDCBA9876543210
traditional,0,parity_n3,3,3,external_caterpillar_xag_api_best,best:xag_lowt,0,4,3,0,4,1,0,4,0.245,True,0.0,2,0,2,2,4c6f766,anf_xag_api,,,96
traditional,3,parity_n4,4,4,external_caterpillar_xag_api_best,best:xag_lowt,0,6,4,0,6,1,0,5,0.36,True,0.0,3,0,3,2,4c6f766,anf_xag_api,,,6996
traditional,6,parity_n5,5,5,external_caterpillar_xag_api_best,best:xag_lowt,0,8,5,0,8,1,0,6,0.475,True,0.0,4,0,4,3,4c6f766,anf_xag_api,,,96696996
traditional,9,parity_n6,6,6,external_caterpillar_xag_api_best,best:xag_lowt,0,10,6,0,10,1,0,7,0.59,True,0.0,5,0,5,3,4c6f766,anf_xag_api,,,6996966996696996
traditional,2,threshold2_n3,3,3,external_caterpillar_xag_api_best,best:xag_lowt,12,4,9,2,10,4,3,7,18.395,True,0.0,5,3,2,3,4c6f766,anf_xag_api,,,E8
traditional,5,threshold2_n4,4,7,external_caterpillar_xag_api_best,best:xag_lowt,28,12,18,4,26,8,7,12,43.01,True,0.0,13,7,6,5,4c6f766,anf_xag_api,,,FEE8
traditional,8,threshold2_n5,5,15,external_caterpillar_xag_api_best,best:xag_lowt,60,28,32,7,58,16,15,21,92.18,True,0.0,29,15,14,6,4c6f766,anf_xag_api,,,FFFEFEE8
traditional,11,threshold3_n6,6,35,external_caterpillar_xag_api_best,best:xag_lowt,192,68,81,14,164,49,48,55,293.575,True,0.0,82,48,34,8,4c6f766,anf_xag_api,,,FFFEFEE8FEE8E880
traditional,17,truth_n4_0,4,9,external_caterpillar_xag_api_best,best:xag_lowt,28,14,19,4,29,8,7,12,43.135,True,0.0,14,7,7,6,4c6f766,anf_xag_api,,,A3B1
traditional,18,truth_n4_1,4,4,external_caterpillar_xag_api_best,best:xag_lowt,20,6,11,3,16,6,5,10,30.565,True,0.0,8,5,3,4,4c6f766,anf_xag_api,,,1C80
traditional,27,truth_n4_10,4,7,external_caterpillar_xag_api_best,best:xag_lowt,24,12,15,4,24,7,6,11,36.945,True,0.0,12,6,6,5,4c6f766,anf_xag_api,,,AD3C
traditional,28,truth_n4_11,4,9,external_caterpillar_xag_api_best,best:xag_lowt,24,16,18,4,28,7,6,11,37.19,True,0.0,14,6,8,6,4c6f766,anf_xag_api,,,BD9C
traditional,29,truth_n4_12,4,11,external_caterpillar_xag_api_best,best:xag_lowt,28,18,19,5,33,8,7,12,43.335,True,0.0,16,7,9,6,4c6f766,anf_xag_api,,,E465
traditional,30,truth_n4_13,4,9,external_caterpillar_xag_api_best,best:xag_fast_lowt,28,14,17,4,29,8,7,12,43.105,True,0.0,14,7,7,6,4c6f766,anf_xag_api,,,8B9D
traditional,31,truth_n4_14,4,10,external_caterpillar_xag_api_best,best:xag_lowt,28,16,17,4,31,8,7,12,43.205,True,0.0,15,7,8,6,4c6f766,anf_xag_api,,,1641
traditional,32,truth_n4_15,4,7,external_caterpillar_xag_api_best,best:xag_fast_lowt,32,12,15,5,28,9,8,13,48.985,True,0.0,14,8,6,5,4c6f766,anf_xag_api,,,972A
traditional,33,truth_n4_16,4,8,external_caterpillar_xag_api_best,best:xag_lowt,16,12,15,4,21,5,4,9,24.915,True,0.0,10,4,6,5,4c6f766,anf_xag_api,,,6C03
traditional,34,truth_n4_17,4,4,external_caterpillar_xag_api_best,best:xag_lowt,16,6,12,3,14,5,4,9,24.56,True,0.0,7,4,3,4,4c6f766,anf_xag_api,,,822
traditional,35,truth_n4_18,4,6,external_caterpillar_xag_api_best,best:xag_lowt,28,10,15,5,24,8,7,12,42.865,True,0.0,12,7,5,5,4c6f766,anf_xag_api,,,7A0
traditional,36,truth_n4_19,4,8,external_caterpillar_xag_api_best,best:xag_lowt,20,14,14,3,24,6,5,10,31.01,True,0.0,12,5,7,5,4c6f766,anf_xag_api,,,17FC
