CNOT,T,anf_terms,correct,depth,dp_states,error,explicit_ancilla,gates,method,n,n_qubits,name,peak_ancilla,polarity,score,skipped,terms,time_s,truth_table_hex
3,0,3,True,3,1,,0,3,and_exact_fprm_dp,3,4,parity_n3,0,0,0.19499999999999998,,3,0.00014019012451171875,96
19,8,3,True,21,3,,1,13,and_exact_fprm_dp,3,5,majority_n3,1,1,11.205,,5,0.0003001689910888672,E8
19,8,3,True,21,3,,1,13,and_exact_fprm_dp,3,5,threshold2_n3,1,1,11.205,,5,0.00019502639770507812,E8
4,0,4,True,4,1,,0,4,and_exact_fprm_dp,4,5,parity_n4,0,0,0.26,,4,0.00022602081298828125,6996
49,24,5,True,58,28,,1,32,and_exact_fprm_dp,4,6,majority_n4,2,15,31.150000000000002,,8,0.016373872756958008,E880
49,24,7,True,49,28,,1,23,and_exact_fprm_dp,4,6,threshold2_n4,2,0,30.925,,7,0.01583409309387207,FEE8
25,12,3,True,30,5,,1,18,and_exact_fprm_dp,4,6,adder_carry_w2,2,10,17.63,,6,0.00448298454284668,EC80
14,8,2,True,14,1,,0,6,and_exact_fprm_dp,4,5,mul_w2_bit1,0,0,8.830000000000002,,2,0.00025081634521484375,6AC0
32,16,9,True,39,7,,1,23,and_exact_fprm_dp,4,6,truth_n4_0,2,7,22.095000000000002,,7,0.003345966339111328,A3B1
37,16,4,True,39,10,,1,21,and_exact_fprm_dp,4,6,truth_n4_1,1,8,20.275000000000002,,7,0.004513740539550781,1C80
42,20,12,True,46,15,,1,24,and_exact_fprm_dp,4,6,truth_n4_2,2,12,26.61,,6,0.012150049209594727,667
52,24,11,True,58,65,,1,32,and_exact_fprm_dp,4,6,truth_n4_3,2,14,31.27,,11,0.016377925872802734,BDD6
45,20,8,True,52,13,,1,28,and_exact_fprm_dp,4,6,truth_n4_4,1,14,24.860000000000003,,8,0.00648188591003418,4668
37,16,8,True,38,10,,1,20,and_exact_fprm_dp,4,6,truth_n4_5,2,0,22.25,,8,0.008318901062011719,3EB1
37,16,8,True,41,8,,1,23,and_exact_fprm_dp,4,6,truth_n4_6,1,10,20.325,,7,0.0034532546997070312,3924
43,20,8,True,47,13,,1,25,and_exact_fprm_dp,4,6,truth_n4_7,2,6,26.674999999999997,,7,0.010275125503540039,23B8
45,20,11,True,47,12,,1,23,and_exact_fprm_dp,4,6,truth_n4_8,1,8,24.735,,7,0.005792856216430664,BC89
44,20,10,True,50,12,,1,26,and_exact_fprm_dp,4,6,truth_n4_9,1,7,24.770000000000003,,6,0.005834817886352539,1A3D
