dataset,index,name,preset_name,n,anf_terms,method,selected_k,T,CNOT,depth,gates,explicit_ancilla,peak_ancilla,n_qubits,score,correct,abc_blif_correct,time_s,abc_time_s,mockturtle_time_s,klut_gates,klut_depth,xag_gates,xag_and,xag_xor,xag_depth,xag_other,mockturtle_commit,abc_script,source_manifest,skipped,error,abc_binary,klut_pis,klut_pos,mockturtle_tool,xag_pis,xag_pos
highdim,0,anf_n14_0,anf_n14_0,14,11,external_mockturtle_xag_k4,4,108,209,85,101,50,50,65,218.645,True,True,0.13930988311767578,0.03838014602661133,0.04594159126281738,23,5,50,27,23,14,0,25beb0e294e4613bb9fe62319b91d9f2ab764e88,strash; if -K 4,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,14,1,/Users/zhouzixiang/Desktop/tzb/src/tmp/bin/mockturtle_blif_xag_stats,14,1
highdim,1,anf_n14_1,anf_n14_1,14,3,external_mockturtle_xag_k4,4,12,23,19,11,5,5,20,23.314999999999998,True,True,0.13634419441223145,0.035009145736694336,0.04585981369018555,3,2,5,3,2,3,0,25beb0e294e4613bb9fe62319b91d9f2ab764e88,strash; if -K 4,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,14,1,/Users/zhouzixiang/Desktop/tzb/src/tmp/bin/mockturtle_blif_xag_stats,14,1
highdim,10,anf_n14_10,anf_n14_10,14,985,external_mockturtle_xag_k4,4,35920,59289,325,23369,11684,11684,11699,61898.125,True,True,0.26961803436279297,0.11630105972290039,0.07634687423706055,4328,19,11684,8980,2704,54,0,25beb0e294e4613bb9fe62319b91d9f2ab764e88,strash; if -K 4,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,14,1,/Users/zhouzixiang/Desktop/tzb/src/tmp/bin/mockturtle_blif_xag_stats,14,1
highdim,11,anf_n14_11,anf_n14_11,14,267,external_mockturtle_xag_k4,4,34336,56307,283,21971,10985,10985,11000,58782.235,True,True,0.25372791290283203,0.10170388221740723,0.07424378395080566,4127,17,10985,8584,2401,47,0,25beb0e294e4613bb9fe62319b91d9f2ab764e88,strash; if -K 4,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,14,1,/Users/zhouzixiang/Desktop/tzb/src/tmp/bin/mockturtle_blif_xag_stats,14,1
highdim,12,anf_n14_12,anf_n14_12,14,246,external_mockturtle_xag_k4,4,31268,51365,271,20097,10048,10048,10063,53623.635,True,True,0.24344801902770996,0.0961160659790039,0.07284021377563477,3793,15,10048,7817,2231,45,0,25beb0e294e4613bb9fe62319b91d9f2ab764e88,strash; if -K 4,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,14,1,/Users/zhouzixiang/Desktop/tzb/src/tmp/bin/mockturtle_blif_xag_stats,14,1
highdim,13,anf_n14_13,anf_n14_13,14,766,external_mockturtle_xag_k4,4,35640,59139,307,23499,11749,11749,11764,61743.155,True,True,0.2676417827606201,0.11462712287902832,0.07485795021057129,4351,18,11749,8910,2839,51,0,25beb0e294e4613bb9fe62319b91d9f2ab764e88,strash; if -K 4,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,14,1,/Users/zhouzixiang/Desktop/tzb/src/tmp/bin/mockturtle_blif_xag_stats,14,1
highdim,14,anf_n14_14,anf_n14_14,14,14,external_mockturtle_xag_k4,4,288,533,103,245,122,122,137,557.315,True,True,0.1397411823272705,0.03884100914001465,0.046466827392578125,48,5,122,72,50,17,0,25beb0e294e4613bb9fe62319b91d9f2ab764e88,strash; if -K 4,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,14,1,/Users/zhouzixiang/Desktop/tzb/src/tmp/bin/mockturtle_blif_xag_stats,14,1
highdim,15,anf_n14_15,anf_n14_15,14,2,external_mockturtle_xag_k4,4,8,15,13,7,3,3,18,14.865,True,True,0.13585615158081055,0.034966230392456055,0.046096086502075195,1,1,3,2,1,2,0,25beb0e294e4613bb9fe62319b91d9f2ab764e88,strash; if -K 4,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,14,1,/Users/zhouzixiang/Desktop/tzb/src/tmp/bin/mockturtle_blif_xag_stats,14,1
highdim,16,anf_n14_16,anf_n14_16,14,30,external_mockturtle_xag_k4,4,8836,14437,187,5601,2800,2800,2815,15072.295,True,True,0.1640157699584961,0.05009794235229492,0.053591012954711914,1083,9,2800,2209,591,31,0,25beb0e294e4613bb9fe62319b91d9f2ab764e88,strash; if -K 4,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,14,1,/Users/zhouzixiang/Desktop/tzb/src/tmp/bin/mockturtle_blif_xag_stats,14,1
highdim,17,anf_n14_17,anf_n14_17,14,89,external_mockturtle_xag_k4,4,25272,41399,241,16127,8063,8063,8078,43218.845,True,True,0.22388505935668945,0.08393526077270508,0.06705713272094727,3066,13,8063,6318,1745,40,0,25beb0e294e4613bb9fe62319b91d9f2ab764e88,strash; if -K 4,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,14,1,/Users/zhouzixiang/Desktop/tzb/src/tmp/bin/mockturtle_blif_xag_stats,14,1
highdim,18,anf_n14_18,anf_n14_18,14,790,external_mockturtle_xag_k4,4,35636,59239,319,23603,11801,11801,11816,61848.375,True,True,0.26972293853759766,0.11616396903991699,0.07543611526489258,4351,19,11801,8909,2892,53,0,25beb0e294e4613bb9fe62319b91d9f2ab764e88,strash; if -K 4,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,14,1,/Users/zhouzixiang/Desktop/tzb/src/tmp/bin/mockturtle_blif_xag_stats,14,1
highdim,19,anf_n14_19,anf_n14_19,14,56,external_mockturtle_xag_k4,4,21640,35271,253,13631,6815,6815,6830,36820.945,True,True,0.21292376518249512,0.07805204391479492,0.06344223022460938,2616,14,6815,5410,1405,42,0,25beb0e294e4613bb9fe62319b91d9f2ab764e88,strash; if -K 4,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,14,1,/Users/zhouzixiang/Desktop/tzb/src/tmp/bin/mockturtle_blif_xag_stats,14,1
highdim,2,anf_n14_2,anf_n14_2,14,1010,external_mockturtle_xag_k4,4,35564,58931,301,23367,11683,11683,11698,61525.424999999996,True,True,0.2652292251586914,0.11167001724243164,0.0748128890991211,4337,17,11683,8891,2792,50,0,25beb0e294e4613bb9fe62319b91d9f2ab764e88,strash; if -K 4,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,14,1,/Users/zhouzixiang/Desktop/tzb/src/tmp/bin/mockturtle_blif_xag_stats,14,1
highdim,20,anf_n14_20,anf_n14_20,14,1018,external_mockturtle_xag_k4,4,35740,59125,289,23385,11692,11692,11707,61727.185,True,True,0.265819787979126,0.1097252368927002,0.07552099227905273,4344,17,11692,8935,2757,48,0,25beb0e294e4613bb9fe62319b91d9f2ab764e88,strash; if -K 4,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,14,1,/Users/zhouzixiang/Desktop/tzb/src/tmp/bin/mockturtle_blif_xag_stats,14,1
highdim,21,anf_n14_21,anf_n14_21,14,10,external_mockturtle_xag_k4,4,100,231,109,131,65,65,80,242.185,True,True,0.14168095588684082,0.03835916519165039,0.047978878021240234,34,5,65,25,40,18,0,25beb0e294e4613bb9fe62319b91d9f2ab764e88,strash; if -K 4,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,14,1,/Users/zhouzixiang/Desktop/tzb/src/tmp/bin/mockturtle_blif_xag_stats,14,1
highdim,22,anf_n14_22,anf_n14_22,14,321,external_mockturtle_xag_k4,4,33328,55003,271,21675,10837,10837,10852,57422.935000000005,True,True,0.2529330253601074,0.1014108657836914,0.07402801513671875,4051,16,10837,8332,2505,45,0,25beb0e294e4613bb9fe62319b91d9f2ab764e88,strash; if -K 4,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,14,1,/Users/zhouzixiang/Desktop/tzb/src/tmp/bin/mockturtle_blif_xag_stats,14,1
highdim,23,anf_n14_23,anf_n14_23,14,53,external_mockturtle_xag_k4,4,15620,25705,217,10085,5042,5042,5057,26836.305,True,True,0.1937258243560791,0.0677030086517334,0.06027817726135254,1937,12,5042,3905,1137,36,0,25beb0e294e4613bb9fe62319b91d9f2ab764e88,strash; if -K 4,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,14,1,/Users/zhouzixiang/Desktop/tzb/src/tmp/bin/mockturtle_blif_xag_stats,14,1
