n,name,method,correct,score,T,CNOT,depth,gates,peak_ancilla,time_s,truth_table_hex
7,truth_n7_0,and_direct_anf,True,707.1500000000001,624,992,993,57,5,0.00021004676818847656,0xbdd640fb06671ad11c80317fa3b1799d
7,truth_n7_0,and_resource_nmcts,True,369.35,316,584,587,81,5,2.3815841674804688,0xbdd640fb06671ad11c80317fa3b1799d
7,truth_n7_1,and_direct_anf,True,806.03,712,1139,1140,72,5,0.00018024444580078125,0x23b8c1e9392456de3eb13b9046685257
7,truth_n7_1,and_resource_nmcts,True,367.61,316,585,594,88,4,3.228480100631714,0x23b8c1e9392456de3eb13b9046685257
7,truth_n7_2,and_direct_anf,True,765.83,676,1082,1083,69,5,0.00014209747314453125,0xbd9c66b3ad3c2d6d1a3d1fa7bc8960a9
7,truth_n7_2,and_resource_nmcts,True,365.49,312,584,591,88,5,3.276890993118286,0xbd9c66b3ad3c2d6d1a3d1fa7bc8960a9
7,truth_n7_3,and_direct_anf,True,743.2,656,1047,1047,63,5,0.000148773193359375,0x972a846916419f828b9d2434e465e150
7,truth_n7_3,and_resource_nmcts,True,340.27,292,539,550,83,4,2.9414467811584473,0x972a846916419f828b9d2434e465e150
7,truth_n7_4,and_direct_anf,True,805.39,712,1131,1132,64,5,0.00014209747314453125,0x17fc695a07a0ca6e0822e8f36c031199
7,truth_n7_4,and_resource_nmcts,True,374.89,320,603,610,89,5,2.7918920516967773,0x17fc695a07a0ca6e0822e8f36c031199
7,truth_n7_5,and_direct_anf,True,734.2700000000001,648,1034,1035,63,5,0.00014901161193847656,0x9a1de644815ef6d13b8faa1837f8a88b
7,truth_n7_5,and_resource_nmcts,True,315.65,268,502,517,83,5,2.310976028442383,0x9a1de644815ef6d13b8faa1837f8a88b
7,truth_n7_6,and_direct_anf,True,756.63,668,1066,1067,65,5,0.00015401840209960938,0xb74d0fb132e706298fadc1a606cb0fb3
7,truth_n7_6,and_resource_nmcts,True,365.21,312,579,590,86,5,2.5079808235168457,0xb74d0fb132e706298fadc1a606cb0fb3
7,truth_n7_7,and_direct_anf,True,729.75,644,1027,1028,62,5,0.00014901161193847656,0x6b65a6a48b8148f6b38a088ca65ed389
7,truth_n7_7,and_resource_nmcts,True,342.47,292,545,546,84,5,2.661062002182007,0x6b65a6a48b8148f6b38a088ca65ed389
7,truth_n7_8,and_direct_anf,True,656.4399999999999,580,928,928,58,4,0.0001437664031982422,0x4737819096da1dac72ff5d2a386ecbe0
7,truth_n7_8,and_resource_nmcts,True,353.0,304,551,557,78,4,3.7010738849639893,0x4737819096da1dac72ff5d2a386ecbe0
7,truth_n7_9,and_direct_anf,True,710.07,628,1004,1005,63,4,0.0001518726348876953,0xc241330b01a9e71fde8a774bcf36d58b
7,truth_n7_9,and_resource_nmcts,True,372.26,320,595,601,87,4,2.9346790313720703,0xc241330b01a9e71fde8a774bcf36d58b
7,truth_n7_10,and_direct_anf,True,774.47,684,1091,1092,66,5,0.0001590251922607422,0x6c307511b2b9437a28df6ec4ce4a2bbd
7,truth_n7_10,and_resource_nmcts,True,349.44,300,554,568,83,4,2.392655849456787,0x6c307511b2b9437a28df6ec4ce4a2bbd
7,truth_n7_11,and_direct_anf,True,571.76,504,810,810,54,4,0.00014400482177734375,0x371ecd7b27cd813047229389571aa876
7,truth_n7_11,and_resource_nmcts,True,321.14,276,528,528,75,3,2.31860089302063,0x371ecd7b27cd813047229389571aa876
7,truth_n7_12,and_direct_anf,True,728.0699999999999,644,1031,1032,66,4,0.0001590251922607422,0x1a2a73ed562b0f79c37459eef50bea63
7,truth_n7_12,and_resource_nmcts,True,344.9,296,548,558,83,4,3.5710439682006836,0x1a2a73ed562b0f79c37459eef50bea63
7,truth_n7_13,and_direct_anf,True,758.99,672,1071,1072,64,4,0.0001430511474609375,0x5be6128e18c267976142ea7d17be3111
7,truth_n7_13,and_resource_nmcts,True,363.44,312,584,590,84,4,2.3602287769317627,0x5be6128e18c267976142ea7d17be3111
7,truth_n7_14,and_direct_anf,True,658.39,580,927,928,58,5,0.00014472007751464844,0x43b7a3a69a8dca03580d7b71d8f56413
7,truth_n7_14,and_resource_nmcts,True,307.63,264,505,512,77,3,2.6068220138549805,0x43b7a3a69a8dca03580d7b71d8f56413
7,truth_n7_15,and_direct_anf,True,751.79,664,1055,1056,60,5,0.00015592575073242188,0x759cde66bacfb3d00b1f9163ce9ff57f
7,truth_n7_15,and_resource_nmcts,True,394.65,340,626,635,92,4,2.367983818054199,0x759cde66bacfb3d00b1f9163ce9ff57f
7,truth_n7_16,and_direct_anf,True,787.87,696,1110,1111,67,5,0.0001647472381591797,0xec1b8ca1f91e1d4c1ff49b7889463e85
7,truth_n7_16,and_resource_nmcts,True,353.51,304,557,566,77,4,2.63916277885437,0xec1b8ca1f91e1d4c1ff49b7889463e85
7,truth_n7_17,and_direct_anf,True,603.11,532,855,856,58,4,0.00014519691467285156,0x4b0dbb418d5288f1142c3fe860e7a113
7,truth_n7_17,and_resource_nmcts,True,327.31,280,530,531,75,4,2.738626003265381,0x4b0dbb418d5288f1142c3fe860e7a113
