name,n,portfolio,selected_method,selected_score,selected_T,selected_CNOT,selected_depth,selected_peak_ancilla,selected_time_s,portfolio_run_all_time_s,revkit_lower_score,revkit_non_clifford_rz,revkit_total_rz,break_even_rz_score,break_even_impossible,revkit_score_rz0,relative_rz0,wins_rz0,revkit_score_rz0.25,relative_rz0.25,wins_rz0.25,revkit_score_rz0.5,relative_rz0.5,wins_rz0.5,revkit_score_rz0.75,relative_rz0.75,wins_rz0.75,revkit_score_rz1,relative_rz1,wins_rz1,revkit_score_rz1.5,relative_rz1.5,wins_rz1.5,revkit_score_rz2,relative_rz2,wins_rz2,revkit_score_rz4,relative_rz4,wins_rz4,revkit_score_rz10,relative_rz10,wins_rz10
adder_carry_w2,4,resource_nmcts_family,and_fprm_polarity_archive,17.63,12.0,25.0,30.0,2.0,0.004725933074951172,0.5318529605865479,5.640000000000001,15.0,19.0,0.7993333333333332,0,5.640000000000001,2.1258865248226946,0,9.39,0.8775292864749732,0,13.14,0.341704718417047,0,16.89,0.04381290704558901,0,20.64,-0.1458333333333334,1,28.14,-0.37348969438521684,1,35.64,-0.505331088664422,1,65.64,-0.731413772090189,1,155.64,-0.8867257774351067,1
adder_carry_w2,4,traditional_baseline_family,and_cube_beam,23.945,20.0,33.0,33.0,1.0,0.0013980865478515625,0.07968926429748535,5.640000000000001,15.0,19.0,1.2203333333333333,0,5.640000000000001,3.2455673758865244,0,9.39,1.5500532481363152,0,13.14,0.8222983257229832,0,16.89,0.41770278271166367,0,20.64,0.16012596899224804,0,28.14,-0.1490760483297797,1,35.64,-0.32814253647586983,1,65.64,-0.6352071907373553,1,155.64,-0.8461513749678746,1
adder_carry_w2,4,all_internal_score_portfolio,and_fprm_polarity_archive,17.63,12.0,25.0,30.0,2.0,0.004725933074951172,0.8365681171417236,5.640000000000001,15.0,19.0,0.7993333333333332,0,5.640000000000001,2.1258865248226946,0,9.39,0.8775292864749732,0,13.14,0.341704718417047,0,16.89,0.04381290704558901,0,20.64,-0.1458333333333334,1,28.14,-0.37348969438521684,1,35.64,-0.505331088664422,1,65.64,-0.731413772090189,1,155.64,-0.8867257774351067,1
adder_carry_w3,6,resource_nmcts_family,and_fprm_polarity_archive,39.394999999999996,28.0,55.0,59.0,4.0,0.09776687622070312,3.209080934524536,7.97,39.0,43.0,0.8057692307692307,0,7.97,3.942910915934755,0,17.72,1.2231941309255079,0,27.47,0.4341099381143064,0,37.22,0.05843632455668988,0,46.97,-0.16127315307643184,1,66.47,-0.4073266135098541,1,85.97,-0.5417587530533907,1,163.97,-0.759742635848021,1,397.97,-0.9010101263914366,1
adder_carry_w3,6,traditional_baseline_family,sshr_h,53.00000000000001,48.0,48.0,56.0,1.0,0.42954301834106445,10.485965967178345,7.97,39.0,43.0,1.1546153846153848,0,7.97,5.649937264742786,0,17.72,1.99097065462754,0,27.47,0.9293775027302515,0,37.22,0.4239656098871577,0,46.97,0.12837981690440725,0,66.47,-0.20264781104257548,1,85.97,-0.38350587414214254,1,163.97,-0.6767701408794292,1,397.97,-0.866824132472297,1
adder_carry_w3,6,all_internal_score_portfolio,and_fprm_polarity_archive,39.394999999999996,28.0,55.0,59.0,4.0,0.09776687622070312,13.828587055206299,7.97,39.0,43.0,0.8057692307692307,0,7.97,3.942910915934755,0,17.72,1.2231941309255079,0,27.47,0.4341099381143064,0,37.22,0.05843632455668988,0,46.97,-0.16127315307643184,1,66.47,-0.4073266135098541,1,85.97,-0.5417587530533907,1,163.97,-0.759742635848021,1,397.97,-0.9010101263914366,1
majority_n3,3,resource_nmcts_family,and_pareto_resource_nmcts,4.74,4.0,12.0,12.0,0.0,0.031308889389038086,0.03776979446411133,8.835,0.0,9.0,0.0,0,8.835,-0.46349745331069614,1,8.835,-0.46349745331069614,1,8.835,-0.46349745331069614,1,8.835,-0.46349745331069614,1,8.835,-0.46349745331069614,1,8.835,-0.46349745331069614,1,8.835,-0.46349745331069614,1,8.835,-0.46349745331069614,1,8.835,-0.46349745331069614,1
majority_n3,3,traditional_baseline_family,sshr_h,4.665,4.0,11.0,11.0,0.0,0.00025391578674316406,0.02016615867614746,8.835,0.0,9.0,0.0,0,8.835,-0.4719864176570459,1,8.835,-0.4719864176570459,1,8.835,-0.4719864176570459,1,8.835,-0.4719864176570459,1,8.835,-0.4719864176570459,1,8.835,-0.4719864176570459,1,8.835,-0.4719864176570459,1,8.835,-0.4719864176570459,1,8.835,-0.4719864176570459,1
majority_n3,3,all_internal_score_portfolio,sshr_h,4.665,4.0,11.0,11.0,0.0,0.00025391578674316406,0.06339192390441895,8.835,0.0,9.0,0.0,0,8.835,-0.4719864176570459,1,8.835,-0.4719864176570459,1,8.835,-0.4719864176570459,1,8.835,-0.4719864176570459,1,8.835,-0.4719864176570459,1,8.835,-0.4719864176570459,1,8.835,-0.4719864176570459,1,8.835,-0.4719864176570459,1,8.835,-0.4719864176570459,1
majority_n4,4,resource_nmcts_family,and_fprm_polarity_archive,31.150000000000002,24.0,49.0,58.0,2.0,0.018096208572387695,1.57511305809021,2.6999999999999997,31.0,31.0,0.9177419354838711,0,2.6999999999999997,10.53703703703704,0,10.45,1.980861244019139,0,18.2,0.7115384615384617,0,25.95,0.20038535645472072,0,33.7,-0.07566765578635017,1,49.2,-0.366869918699187,1,64.7,-0.5185471406491499,1,126.7,-0.7541436464088397,1,312.7,-0.9003837543971859,1
