CNOT,T,anf_terms,correct,depth,error,explicit_ancilla,gates,method,n,n_qubits,name,peak_ancilla,score,skipped,terms,time_s,truth_table_hex
3,0,3,True,3,,0,3,direct_anf,3,4,parity_n3,0,0.19499999999999998,,3,3.0040740966796875e-05,96
3,0,3,True,3,,0,3,and_direct_anf,3,4,parity_n3,0,0.19499999999999998,,3,2.5272369384765625e-05,96
3,0,3,True,3,,0,3,greedy_factor,3,4,parity_n3,0,0.19499999999999998,,3,4.291534423828125e-05,96
3,0,3,True,3,,0,3,mcts_factor,3,4,parity_n3,0,0.19499999999999998,,3,7.510185241699219e-05,96
3,0,3,True,3,,0,3,and_mcts_factor,3,4,parity_n3,0,0.19499999999999998,,3,5.5789947509765625e-05,96
3,0,3,True,3,,0,3,fprm_greedy,3,4,parity_n3,0,0.19499999999999998,,3,0.0001468658447265625,96
3,0,3,True,3,,0,3,fprm_mcts,3,4,parity_n3,0,0.19499999999999998,,3,0.0004050731658935547,96
3,0,3,True,3,,0,3,and_fprm_mcts,3,4,parity_n3,0,0.19499999999999998,,3,0.00039696693420410156,96
3,0,3,True,3,,0,3,and_affine_nmcts,3,4,parity_n3,0,0.19499999999999998,,3,0.004557132720947266,96
3,0,3,True,3,,0,3,and_rc_nmcts,3,4,parity_n3,0,0.19499999999999998,,3,0.0057070255279541016,96
56,64,3,True,68,,0,16,cube_greedy,3,4,parity_n3,1,69.41999999999999,,3,0.00013518333435058594,96
56,64,3,True,68,,0,16,cube_beam,3,4,parity_n3,1,69.41999999999999,,3,0.00019216537475585938,96
3,0,3,True,3,,0,3,neural_mcts,3,4,parity_n3,0,0.19499999999999998,,3,5.3882598876953125e-05,96
18,12,3,True,18,,0,3,direct_anf,3,4,majority_n3,0,13.02,,3,2.4080276489257812e-05,E8
21,12,3,True,21,,0,9,and_direct_anf,3,4,majority_n3,0,13.245,,3,1.9073486328125e-05,E8
16,8,3,True,20,,0,10,sshr_h,3,4,parity_n3,0,9.040000000000001,,3,0.00023508071899414062,96
3,0,3,True,3,,0,3,and_fprm_neural_mcts,3,4,parity_n3,0,0.19499999999999998,,3,0.0025551319122314453,96
18,12,3,True,18,,0,3,greedy_factor,3,4,majority_n3,0,13.02,,3,3.4809112548828125e-05,E8
18,12,3,True,18,,0,3,mcts_factor,3,4,majority_n3,0,13.02,,3,5.1021575927734375e-05,E8
21,12,3,True,21,,0,9,and_mcts_factor,3,4,majority_n3,0,13.245,,3,5.2928924560546875e-05,E8
18,12,3,True,18,,0,3,fprm_greedy,3,4,majority_n3,0,13.02,,3,0.00019502639770507812,E8
18,12,3,True,18,,0,3,fprm_mcts,3,4,majority_n3,0,13.02,,3,0.0005159378051757812,E8
21,12,3,True,21,,0,9,and_fprm_mcts,3,4,majority_n3,0,13.245,,3,0.0005061626434326172,E8
21,12,3,True,21,,0,9,and_fprm_neural_mcts,3,4,majority_n3,0,13.245,,3,0.001039266586303711,E8
12,4,3,True,12,,0,8,and_affine_nmcts,3,4,majority_n3,0,4.74,,2,0.0035047531127929688,E8
29,32,3,True,35,,0,9,cube_greedy,3,4,majority_n3,1,35.775,,3,0.00012373924255371094,E8
18,12,3,True,18,,0,3,neural_mcts,3,4,majority_n3,0,13.02,,3,5.507469177246094e-05,E8
29,32,3,True,35,,0,9,cube_beam,3,4,majority_n3,1,35.775,,3,0.00012111663818359375,E8
18,12,3,True,18,,0,3,direct_anf,3,4,threshold2_n3,0,13.02,,3,1.5020370483398438e-05,E8
21,12,3,True,21,,0,9,and_direct_anf,3,4,threshold2_n3,0,13.245,,3,1.5974044799804688e-05,E8
11,4,3,True,11,,0,6,sshr_h,3,4,majority_n3,0,4.665,,3,0.0001709461212158203,E8
12,4,3,True,12,,0,8,and_rc_nmcts,3,4,majority_n3,0,4.74,,2,0.004847049713134766,E8
18,12,3,True,18,,0,3,greedy_factor,3,4,threshold2_n3,0,13.02,,3,2.5272369384765625e-05,E8
18,12,3,True,18,,0,3,mcts_factor,3,4,threshold2_n3,0,13.02,,3,4.7206878662109375e-05,E8
21,12,3,True,21,,0,9,and_mcts_factor,3,4,threshold2_n3,0,13.245,,3,4.792213439941406e-05,E8
18,12,3,True,18,,0,3,fprm_greedy,3,4,threshold2_n3,0,13.02,,3,0.0001900196075439453,E8
18,12,3,True,18,,0,3,fprm_mcts,3,4,threshold2_n3,0,13.02,,3,0.0005078315734863281,E8
21,12,3,True,21,,0,9,and_fprm_mcts,3,4,threshold2_n3,0,13.245,,3,0.0004971027374267578,E8
12,4,3,True,12,,0,8,and_affine_nmcts,3,4,threshold2_n3,0,4.74,,2,0.0035190582275390625,E8
21,12,3,True,21,,0,9,and_fprm_neural_mcts,3,4,threshold2_n3,0,13.245,,3,0.0010311603546142578,E8
29,32,3,True,35,,0,9,cube_greedy,3,4,threshold2_n3,1,35.775,,3,2.8133392333984375e-05,E8
18,12,3,True,18,,0,3,neural_mcts,3,4,threshold2_n3,0,13.02,,3,5.817413330078125e-05,E8
29,32,3,True,35,,0,9,cube_beam,3,4,threshold2_n3,1,35.775,,3,0.00012993812561035156,E8
11,4,3,True,11,,0,6,sshr_h,3,4,threshold2_n3,0,4.665,,3,3.0994415283203125e-05,E8
4,0,4,True,4,,0,4,direct_anf,4,5,parity_n4,0,0.26,,4,1.6689300537109375e-05,6996
4,0,4,True,4,,0,4,and_direct_anf,4,5,parity_n4,0,0.26,,4,1.7881393432617188e-05,6996
12,4,3,True,12,,0,8,and_rc_nmcts,3,4,threshold2_n3,0,4.74,,2,0.004729032516479492,E8
