name,n,method,flow,T,CNOT,depth,gates,explicit_ancilla,peak_ancilla,n_qubits,score,revkit_lines,revkit_logic_qubits,revkit_t_count,unknown_gates,time_s,correct,permutation_checked,toffoli_distribution,skipped,error,truth_table_hex,revkit_commit,selected_method
majority_n3,3,external_revkit_cli_best_score,best_score:rms,21,18,18,3,0,0,4,22.02,4,4,21,0,0.09662008285522461,True,True,"{""0"": 0, ""1"": 0, ""2"": 3}",,,E8,104eb35f1933b080aa228ad419756f04682d4a2e,external_revkit_cli_rms
majority_n3,3,external_revkit_cli_dbs,dbs,32,29,29,3,0,1,5,35.625,4,5,32,0,0.10619401931762695,True,True,"{""0"": 0, ""1"": 1, ""2"": 0, ""3"": 2}",,,E8,104eb35f1933b080aa228ad419756f04682d4a2e,
majority_n3,3,external_revkit_cli_rms,rms,21,18,18,3,0,0,4,22.02,4,4,21,0,0.09662008285522461,True,True,"{""0"": 0, ""1"": 0, ""2"": 3}",,,E8,104eb35f1933b080aa228ad419756f04682d4a2e,
majority_n3,3,external_revkit_cli_tbs,tbs,21,18,18,3,0,0,4,22.02,4,4,21,0,0.09216117858886719,True,True,"{""0"": 0, ""1"": 0, ""2"": 3}",,,E8,104eb35f1933b080aa228ad419756f04682d4a2e,
parity_n3,3,external_revkit_cli_best_score,best_score:dbs,0,3,3,3,0,0,4,0.19499999999999998,4,4,0,0,0.1034250259399414,True,True,"{""0"": 0, ""1"": 3}",,,96,104eb35f1933b080aa228ad419756f04682d4a2e,external_revkit_cli_dbs
parity_n3,3,external_revkit_cli_dbs,dbs,0,3,3,3,0,0,4,0.19499999999999998,4,4,0,0,0.1034250259399414,True,True,"{""0"": 0, ""1"": 3}",,,96,104eb35f1933b080aa228ad419756f04682d4a2e,
parity_n3,3,external_revkit_cli_rms,rms,0,3,3,3,0,0,4,0.19499999999999998,4,4,0,0,0.09675025939941406,True,True,"{""0"": 0, ""1"": 3}",,,96,104eb35f1933b080aa228ad419756f04682d4a2e,
parity_n3,3,external_revkit_cli_tbs,tbs,0,3,3,3,0,0,4,0.19499999999999998,4,4,0,0,0.09376788139343262,True,True,"{""0"": 0, ""1"": 3}",,,96,104eb35f1933b080aa228ad419756f04682d4a2e,
threshold2_n3,3,external_revkit_cli_best_score,best_score:rms,21,18,18,3,0,0,4,22.02,4,4,21,0,0.08825516700744629,True,True,"{""0"": 0, ""1"": 0, ""2"": 3}",,,E8,104eb35f1933b080aa228ad419756f04682d4a2e,external_revkit_cli_rms
threshold2_n3,3,external_revkit_cli_dbs,dbs,32,29,29,3,0,1,5,35.625,4,5,32,0,0.09003019332885742,True,True,"{""0"": 0, ""1"": 1, ""2"": 0, ""3"": 2}",,,E8,104eb35f1933b080aa228ad419756f04682d4a2e,
threshold2_n3,3,external_revkit_cli_rms,rms,21,18,18,3,0,0,4,22.02,4,4,21,0,0.08825516700744629,True,True,"{""0"": 0, ""1"": 0, ""2"": 3}",,,E8,104eb35f1933b080aa228ad419756f04682d4a2e,
threshold2_n3,3,external_revkit_cli_tbs,tbs,21,18,18,3,0,0,4,22.02,4,4,21,0,0.09092402458190918,True,True,"{""0"": 0, ""1"": 0, ""2"": 3}",,,E8,104eb35f1933b080aa228ad419756f04682d4a2e,
adder_carry_w2,4,external_revkit_cli_best_score,best_score:dbs,39,34,34,3,0,0,5,40.9,5,5,39,0,0.08820104598999023,True,True,"{""0"": 0, ""1"": 0, ""2"": 1, ""3"": 2}",,,EC80,104eb35f1933b080aa228ad419756f04682d4a2e,external_revkit_cli_dbs
adder_carry_w2,4,external_revkit_cli_dbs,dbs,39,34,34,3,0,0,5,40.9,5,5,39,0,0.08820104598999023,True,True,"{""0"": 0, ""1"": 0, ""2"": 1, ""3"": 2}",,,EC80,104eb35f1933b080aa228ad419756f04682d4a2e,
adder_carry_w2,4,external_revkit_cli_rms,rms,39,34,34,3,0,0,5,40.9,5,5,39,0,0.08912920951843262,True,True,"{""0"": 0, ""1"": 0, ""2"": 1, ""3"": 2}",,,EC80,104eb35f1933b080aa228ad419756f04682d4a2e,
adder_carry_w2,4,external_revkit_cli_tbs,tbs,39,34,34,3,0,0,5,40.9,5,5,39,0,0.0912470817565918,True,True,"{""0"": 0, ""1"": 0, ""2"": 1, ""3"": 2}",,,EC80,104eb35f1933b080aa228ad419756f04682d4a2e,
majority_n4,4,external_revkit_cli_best_score,best_score:dbs,72,52,52,4,0,1,6,76.9,5,6,72,0,0.08520770072937012,True,True,"{""0"": 0, ""1"": 0, ""2"": 0, ""3"": 3, ""4"": 1}",,,E880,104eb35f1933b080aa228ad419756f04682d4a2e,external_revkit_cli_dbs
