angle_numerator,angle_denominator,angle_str,epsilon,t_count,depth_estimate,gate_count
1,8,1/8*pi,0.0001,40,40,40
1,8,1/8*pi,1e-06,60,60,60
1,8,1/8*pi,1e-08,80,80,80
1,8,1/8*pi,1e-10,100,100,100
1,8,1/8*pi,1e-12,120,120,120
1,16,1/16*pi,0.0001,40,40,40
1,16,1/16*pi,1e-06,60,60,60
1,16,1/16*pi,1e-08,80,80,80
1,16,1/16*pi,1e-10,100,100,100
1,16,1/16*pi,1e-12,120,120,120
1,32,1/32*pi,0.0001,40,40,40
1,32,1/32*pi,1e-06,60,60,60
1,32,1/32*pi,1e-08,80,80,80
1,32,1/32*pi,1e-10,100,100,100
1,32,1/32*pi,1e-12,120,120,120
3,8,3/8*pi,0.0001,40,40,40
3,8,3/8*pi,1e-06,60,60,60
3,8,3/8*pi,1e-08,80,80,80
3,8,3/8*pi,1e-10,100,100,100
3,8,3/8*pi,1e-12,120,120,120
5,8,5/8*pi,0.0001,40,40,40
5,8,5/8*pi,1e-06,60,60,60
5,8,5/8*pi,1e-08,80,80,80
5,8,5/8*pi,1e-10,100,100,100
5,8,5/8*pi,1e-12,120,120,120
7,8,7/8*pi,0.0001,40,40,40
7,8,7/8*pi,1e-06,60,60,60
7,8,7/8*pi,1e-08,80,80,80
7,8,7/8*pi,1e-10,100,100,100
7,8,7/8*pi,1e-12,120,120,120
1,4,1/4*pi,0.0001,40,40,40
1,4,1/4*pi,1e-06,60,60,60
1,4,1/4*pi,1e-08,80,80,80
1,4,1/4*pi,1e-10,100,100,100
1,4,1/4*pi,1e-12,120,120,120
3,4,3/4*pi,0.0001,40,40,40
3,4,3/4*pi,1e-06,60,60,60
3,4,3/4*pi,1e-08,80,80,80
3,4,3/4*pi,1e-10,100,100,100
3,4,3/4*pi,1e-12,120,120,120
1,6,1/6*pi,0.0001,40,40,40
1,6,1/6*pi,1e-06,60,60,60
1,6,1/6*pi,1e-08,80,80,80
1,6,1/6*pi,1e-10,100,100,100
1,6,1/6*pi,1e-12,120,120,120
5,6,5/6*pi,0.0001,40,40,40
5,6,5/6*pi,1e-06,60,60,60
5,6,5/6*pi,1e-08,80,80,80
5,6,5/6*pi,1e-10,100,100,100
5,6,5/6*pi,1e-12,120,120,120
1,5,1/5*pi,0.0001,40,40,40
1,5,1/5*pi,1e-06,60,60,60
1,5,1/5*pi,1e-08,80,80,80
1,5,1/5*pi,1e-10,100,100,100
1,5,1/5*pi,1e-12,120,120,120
2,5,2/5*pi,0.0001,40,40,40
2,5,2/5*pi,1e-06,60,60,60
2,5,2/5*pi,1e-08,80,80,80
2,5,2/5*pi,1e-10,100,100,100
2,5,2/5*pi,1e-12,120,120,120
3,5,3/5*pi,0.0001,40,40,40
3,5,3/5*pi,1e-06,60,60,60
3,5,3/5*pi,1e-08,80,80,80
3,5,3/5*pi,1e-10,100,100,100
3,5,3/5*pi,1e-12,120,120,120
4,5,4/5*pi,0.0001,40,40,40
4,5,4/5*pi,1e-06,60,60,60
4,5,4/5*pi,1e-08,80,80,80
4,5,4/5*pi,1e-10,100,100,100
4,5,4/5*pi,1e-12,120,120,120
