name,n,profile,term_count,truth_build_time_s,method,score,T,CNOT,depth,gates,peak_ancilla,schedule_logical_depth,schedule_cnot_depth_proxy,schedule_t_depth_proxy,explicit_ancilla_live_peak,explicit_ancilla_lifetime_area,plan_time_s,truth_verify_time_s,truth_verified,anf_verified,plan_nodes,plan_mismatches,circuit_anf_verified,circuit_gates,circuit_max_wire_terms,circuit_mismatches
truth_bridge_n23_000_deep,23,deep,152,194.59159983399877,adaptive_all_depth,1572.4150000000002,1424,2287,2287,863,7,149,1551,686,1,41,9.86957679301122,0.05367541699524736,True,True,11,0,True,151,152,0
truth_bridge_n23_000_deep,23,deep,152,194.59159983399877,depth2_guard_direct,1602.67,1452,2326,2326,874,7,146,1577,696,1,28,0.5669228750048205,0.05449300000327639,True,True,7,0,True,148,152,0
truth_bridge_n23_000_deep,23,deep,152,194.59159983399877,depth_frontier_policy,1572.4150000000002,1424,2287,2287,863,7,149,1551,686,1,41,6.938782417004404,0.05367541699524736,True,True,11,0,True,151,152,0
truth_bridge_n23_000_deep,23,deep,152,194.59159983399877,depth_policy,1602.67,1452,2326,2326,874,7,146,1577,696,1,28,0.5669228750048205,0.05449300000327639,True,True,7,0,True,148,152,0
truth_bridge_n23_000_deep,23,deep,152,194.59159983399877,direct_logical_and,1842.1800000000003,1672,2660,2660,988,7,152,1771,802,0,0,1.6250000044237822e-05,0.07157995799934724,True,True,1,0,True,152,152,0
truth_bridge_n23_000_deep,23,deep,152,194.59159983399877,screen_depth1,1646.1050000000002,1492,2385,2385,893,7,147,1613,715,1,21,0.11610354200092843,0.05499408299510833,True,True,5,0,True,147,152,0
truth_bridge_n23_000_deep,23,deep,152,194.59159983399877,screen_depth2,1602.67,1452,2326,2326,874,7,146,1577,696,1,28,0.5669228750048205,0.05449300000327639,True,True,7,0,True,148,152,0
truth_bridge_n23_000_deep,23,deep,152,194.59159983399877,screen_depth3,1580.9850000000001,1432,2297,2297,865,7,147,1559,688,1,35,2.230304749995412,0.053266333998180926,True,True,9,0,True,149,152,0
truth_bridge_n23_000_deep,23,deep,152,194.59159983399877,screen_depth4,1572.4150000000002,1424,2287,2287,863,7,149,1551,686,1,41,6.938782417004404,0.05367541699524736,True,True,11,0,True,151,152,0
truth_bridge_n23_000_deep,23,deep,152,194.59159983399877,screen_single,1733.1699999999998,1572,2506,2506,934,7,148,1683,754,1,12,0.01746320900565479,0.05548212500434602,True,True,3,0,True,148,152,0
