name,n,profile,term_count,truth_build_time_s,method,score,T,CNOT,depth,gates,peak_ancilla,schedule_logical_depth,schedule_cnot_depth_proxy,schedule_t_depth_proxy,explicit_ancilla_live_peak,explicit_ancilla_lifetime_area,plan_time_s,truth_verify_time_s,truth_verified,anf_verified,plan_nodes,plan_mismatches,circuit_anf_verified,circuit_gates,circuit_max_wire_terms,circuit_mismatches
truth_bridge_n21_000_shallow,21,shallow,49,12.0494711249994,adaptive_all_depth,330.93000000000006,292,490,490,198,5,52,458,128,1,13,0.0702950429986231,0.003326625002955552,True,True,5,0,True,52,49,0
truth_bridge_n21_000_shallow,21,shallow,49,12.0494711249994,depth2_guard_direct,330.93000000000006,292,490,490,198,5,52,458,128,1,13,0.018065917000058107,0.0033418750026612543,True,True,5,0,True,52,49,0
truth_bridge_n21_000_shallow,21,shallow,49,12.0494711249994,depth_frontier_policy,330.93000000000006,292,490,490,198,5,52,458,128,1,13,0.018065917000058107,0.0033418750026612543,True,True,5,0,True,52,49,0
truth_bridge_n21_000_shallow,21,shallow,49,12.0494711249994,depth_policy,330.93000000000006,292,490,490,198,5,52,458,128,1,13,0.011634999995294493,0.003326625002955552,True,True,5,0,True,52,49,0
truth_bridge_n21_000_shallow,21,shallow,49,12.0494711249994,direct_logical_and,398.335,356,583,583,227,4,49,520,160,0,0,6.250003934837878e-06,0.005802125000627711,True,True,1,0,True,49,49,0
truth_bridge_n21_000_shallow,21,shallow,49,12.0494711249994,screen_depth1,330.93000000000006,292,490,490,198,5,52,458,128,1,13,0.011634999995294493,0.003326625002955552,True,True,5,0,True,52,49,0
truth_bridge_n21_000_shallow,21,shallow,49,12.0494711249994,screen_depth2,330.93000000000006,292,490,490,198,5,52,458,128,1,13,0.018065917000058107,0.0033418750026612543,True,True,5,0,True,52,49,0
truth_bridge_n21_000_shallow,21,shallow,49,12.0494711249994,screen_depth3,330.93000000000006,292,490,490,198,5,52,458,128,1,13,0.018065958996885456,0.0033336670021526515,True,True,5,0,True,52,49,0
truth_bridge_n21_000_shallow,21,shallow,49,12.0494711249994,screen_depth4,330.93000000000006,292,490,490,198,5,52,458,128,1,13,0.018266708000737708,0.003371208003954962,True,True,5,0,True,52,49,0
truth_bridge_n21_000_shallow,21,shallow,49,12.0494711249994,screen_single,348.20000000000005,308,512,512,204,5,48,480,136,1,7,0.004261459005647339,0.00344941699586343,True,True,3,0,True,50,49,0
truth_bridge_n21_001_mixed,21,mixed,80,12.062085291996482,adaptive_all_depth,820.3399999999999,740,1196,1196,456,5,84,814,361,1,26,0.7635559170084889,0.00677650000579888,True,True,9,0,True,86,80,0
truth_bridge_n21_001_mixed,21,mixed,80,12.062085291996482,depth2_guard_direct,828.8450000000001,748,1205,1205,457,5,81,824,365,1,21,0.1303451670028153,0.006713332993967924,True,True,7,0,True,83,80,0
truth_bridge_n21_001_mixed,21,mixed,80,12.062085291996482,depth_frontier_policy,828.8450000000001,748,1205,1205,457,5,81,824,365,1,21,0.1303451670028153,0.006713332993967924,True,True,7,0,True,83,80,0
truth_bridge_n21_001_mixed,21,mixed,80,12.062085291996482,depth_policy,828.8450000000001,748,1205,1205,457,5,81,824,365,1,21,0.1303451670028153,0.006713332993967924,True,True,7,0,True,83,80,0
truth_bridge_n21_001_mixed,21,mixed,80,12.062085291996482,direct_logical_and,935.4,848,1352,1352,504,4,80,920,413,0,0,7.2920011007227e-06,0.00948262499878183,True,True,1,0,True,80,80,0
truth_bridge_n21_001_mixed,21,mixed,80,12.062085291996482,screen_depth1,837.4150000000001,756,1215,1215,459,5,79,832,367,1,15,0.04125133300112793,0.006759625000995584,True,True,5,0,True,81,80,0
truth_bridge_n21_001_mixed,21,mixed,80,12.062085291996482,screen_depth2,828.8450000000001,748,1205,1205,457,5,81,824,365,1,21,0.1303451670028153,0.006713332993967924,True,True,7,0,True,83,80,0
truth_bridge_n21_001_mixed,21,mixed,80,12.062085291996482,screen_depth3,820.3399999999999,740,1196,1196,456,5,84,814,361,1,26,0.2561013750018901,0.00677650000579888,True,True,9,0,True,86,80,0
truth_bridge_n21_001_mixed,21,mixed,80,12.062085291996482,screen_depth4,820.3399999999999,740,1196,1196,456,5,84,814,361,1,26,0.3285072090002359,0.006734082999173552,True,True,9,0,True,86,80,0
truth_bridge_n21_001_mixed,21,mixed,80,12.062085291996482,screen_single,863.3199999999999,780,1248,1248,468,5,76,854,380,1,10,0.007350833002419677,0.006851124999229796,True,True,3,0,True,78,80,0
truth_bridge_n21_002_deep,21,deep,174,11.985911583004054,adaptive_all_depth,1308.195,1184,1939,1939,755,5,161,1670,561,1,51,9.687955082998087,0.012135917000705376,True,True,11,0,True,163,174,0
truth_bridge_n21_002_deep,21,deep,174,11.985911583004054,depth2_guard_direct,1369.1599999999999,1240,2024,2024,784,5,162,1740,583,1,34,0.5871332499955315,0.012264249999134336,True,True,7,0,True,164,174,0
truth_bridge_n21_002_deep,21,deep,174,11.985911583004054,depth_frontier_policy,1308.195,1184,1939,1939,755,5,161,1670,561,1,51,6.7711286670019035,0.012135917000705376,True,True,11,0,True,163,174,0
truth_bridge_n21_002_deep,21,deep,174,11.985911583004054,depth_policy,1369.1599999999999,1240,2024,2024,784,5,162,1740,583,1,34,0.5871332499955315,0.012264249999134336,True,True,7,0,True,164,174,0
truth_bridge_n21_002_deep,21,deep,174,11.985911583004054,direct_logical_and,1574.2600000000002,1428,2316,2316,888,5,174,1962,669,0,0,6.207999831531197e-06,0.013822624998283572,True,True,1,0,True,174,174,0
truth_bridge_n21_002_deep,21,deep,174,11.985911583004054,screen_depth1,1421.425,1288,2097,2097,809,5,163,1790,605,1,25,0.11722583299706457,0.012584500000230037,True,True,5,0,True,165,174,0
truth_bridge_n21_002_deep,21,deep,174,11.985911583004054,screen_depth2,1369.1599999999999,1240,2024,2024,784,5,162,1740,583,1,34,0.5871332499955315,0.012264249999134336,True,True,7,0,True,164,174,0
