name,n,profile,term_count,method,score,T,CNOT,depth,gates,peak_ancilla,time_s,anf_verified,plan_nodes,plan_mismatches,circuit_anf_verified,circuit_gates,circuit_max_wire_terms,circuit_mismatches
terms_n24_0000_shallow,24,shallow,51,adaptive_all_depth,404.75000000000006,360,590,590,230,5,0.6869442490060464,True,5,0,True,50,51,0
terms_n24_0000_shallow,24,shallow,51,depth2_guard_direct,404.75000000000006,360,590,590,230,5,0.1254772500033141,True,5,0,True,50,51,0
terms_n24_0000_shallow,24,shallow,51,depth_frontier_policy,404.75000000000006,360,590,590,230,5,0.1254772500033141,True,5,0,True,50,51,0
terms_n24_0000_shallow,24,shallow,51,depth_policy,404.75000000000006,360,590,590,230,5,0.1254772500033141,True,5,0,True,50,51,0
terms_n24_0000_shallow,24,shallow,51,direct_logical_and,502.865,452,729,729,277,4,1.1669981176964939e-06,True,1,0,True,51,51,0
terms_n24_0000_shallow,24,shallow,51,screen_depth1,404.75000000000006,360,590,590,230,5,0.03812325000035344,True,5,0,True,50,51,0
terms_n24_0000_shallow,24,shallow,51,screen_depth2,404.75000000000006,360,590,590,230,5,0.1254772500033141,True,5,0,True,50,51,0
terms_n24_0000_shallow,24,shallow,51,screen_depth3,404.75000000000006,360,590,590,230,5,0.23177312500047265,True,5,0,True,50,51,0
terms_n24_0000_shallow,24,shallow,51,screen_depth4,404.75000000000006,360,590,590,230,5,0.28564908300177194,True,5,0,True,50,51,0
terms_n24_0000_shallow,24,shallow,51,screen_single,452.59999999999997,404,656,656,252,5,0.005921541000134312,True,3,0,True,50,51,0
terms_n24_0001_mixed,24,mixed,91,adaptive_all_depth,672.765,604,997,997,393,5,4.876486624998506,True,9,0,True,91,91,0
terms_n24_0001_mixed,24,mixed,91,depth2_guard_direct,685.6850000000001,616,1013,1013,397,5,0.33393454200268025,True,7,0,True,89,91,0
terms_n24_0001_mixed,24,mixed,91,depth_frontier_policy,685.6850000000001,616,1013,1013,397,5,0.33393454200268025,True,7,0,True,89,91,0
terms_n24_0001_mixed,24,mixed,91,depth_policy,685.6850000000001,616,1013,1013,397,5,0.33393454200268025,True,7,0,True,89,91,0
terms_n24_0001_mixed,24,mixed,91,direct_logical_and,853.465,772,1249,1249,477,4,9.580035111866891e-07,True,1,0,True,91,91,0
terms_n24_0001_mixed,24,mixed,91,screen_depth1,716.0699999999999,644,1054,1054,410,5,0.06794066599832149,True,5,0,True,88,91,0
terms_n24_0001_mixed,24,mixed,91,screen_depth2,685.6850000000001,616,1013,1013,397,5,0.33393454200268025,True,7,0,True,89,91,0
terms_n24_0001_mixed,24,mixed,91,screen_depth3,672.765,604,997,997,393,5,1.237828042001638,True,9,0,True,91,91,0
terms_n24_0001_mixed,24,mixed,91,screen_depth4,672.765,604,997,997,393,5,3.2262011249986244,True,9,0,True,91,91,0
terms_n24_0001_mixed,24,mixed,91,screen_single,755.155,680,1107,1107,427,5,0.010582249997241888,True,3,0,True,87,91,0
terms_n24_0002_deep,24,deep,119,adaptive_all_depth,1242.085,1124,1805,1805,681,6,8.201988539993181,True,11,0,True,119,119,0
terms_n24_0002_deep,24,deep,119,depth2_guard_direct,1315.97,1192,1906,1906,714,6,0.47029666600428754,True,7,0,True,118,119,0
terms_n24_0002_deep,24,deep,119,depth_frontier_policy,1242.085,1124,1805,1805,681,6,5.750536375002412,True,11,0,True,119,119,0
terms_n24_0002_deep,24,deep,119,depth_policy,1315.97,1192,1906,1906,714,6,0.47029666600428754,True,7,0,True,118,119,0
terms_n24_0002_deep,24,deep,119,direct_logical_and,1498.735,1360,2159,2159,799,6,1.0420044418424368e-06,True,1,0,True,119,119,0
terms_n24_0002_deep,24,deep,119,screen_depth1,1363.82,1236,1972,1972,736,6,0.09395362499344628,True,5,0,True,118,119,0
terms_n24_0002_deep,24,deep,119,screen_depth2,1315.97,1192,1906,1906,714,6,0.47029666600428754,True,7,0,True,118,119,0
terms_n24_0002_deep,24,deep,119,screen_depth3,1268.1850000000002,1148,1841,1841,693,6,1.8729523329966469,True,9,0,True,119,119,0
terms_n24_0002_deep,24,deep,119,screen_depth4,1242.085,1124,1805,1805,681,6,5.750536375002412,True,11,0,True,119,119,0
terms_n24_0002_deep,24,deep,119,screen_single,1416.02,1284,2044,2044,760,6,0.014249540996388532,True,3,0,True,118,119,0
terms_n24_0003_shallow,24,shallow,40,adaptive_all_depth,304.465,272,449,449,177,3,0.03727666699705878,True,3,0,True,41,40,0
terms_n24_0003_shallow,24,shallow,40,depth2_guard_direct,304.465,272,449,449,177,3,0.008273874998849351,True,3,0,True,41,40,0
terms_n24_0003_shallow,24,shallow,40,depth_frontier_policy,304.465,272,449,449,177,3,0.008251667000877205,True,3,0,True,41,40,0
terms_n24_0003_shallow,24,shallow,40,depth_policy,304.465,272,449,449,177,3,0.008273874998849351,True,3,0,True,41,40,0
terms_n24_0003_shallow,24,shallow,40,direct_logical_and,330.5,296,484,484,188,3,8.749993867240846e-07,True,1,0,True,40,40,0
terms_n24_0003_shallow,24,shallow,40,screen_depth1,304.465,272,449,449,177,3,0.008273874998849351,True,3,0,True,41,40,0
terms_n24_0003_shallow,24,shallow,40,screen_depth2,304.465,272,449,449,177,3,0.008251667000877205,True,3,0,True,41,40,0
terms_n24_0003_shallow,24,shallow,40,screen_depth3,304.465,272,449,449,177,3,0.00824179199844366,True,3,0,True,41,40,0
terms_n24_0003_shallow,24,shallow,40,screen_depth4,304.465,272,449,449,177,3,0.008155499999702442,True,3,0,True,41,40,0
terms_n24_0003_shallow,24,shallow,40,screen_single,304.465,272,449,449,177,3,0.004353832999186125,True,3,0,True,41,40,0
terms_n24_0004_mixed,24,mixed,66,adaptive_all_depth,622.9649999999999,560,901,901,341,5,0.20566050099296262,True,3,0,True,61,66,0
terms_n24_0004_mixed,24,mixed,66,depth2_guard_direct,622.9649999999999,560,901,901,341,5,0.05487441700097406,True,3,0,True,61,66,0
terms_n24_0004_mixed,24,mixed,66,depth_frontier_policy,622.9649999999999,560,901,901,341,5,0.05487441700097406,True,3,0,True,61,66,0
terms_n24_0004_mixed,24,mixed,66,depth_policy,622.9649999999999,560,901,901,341,5,0.05487441700097406,True,3,0,True,61,66,0
terms_n24_0004_mixed,24,mixed,66,direct_logical_and,738.74,668,1068,1068,400,4,9.590003173798323e-07,True,1,0,True,66,66,0
terms_n24_0004_mixed,24,mixed,66,screen_depth1,622.9649999999999,560,901,901,341,5,0.03530124999815598,True,3,0,True,61,66,0
terms_n24_0004_mixed,24,mixed,66,screen_depth2,622.9649999999999,560,901,901,341,5,0.05487441700097406,True,3,0,True,61,66,0
terms_n24_0004_mixed,24,mixed,66,screen_depth3,622.9649999999999,560,901,901,341,5,0.054492041999765206,True,3,0,True,61,66,0
terms_n24_0004_mixed,24,mixed,66,screen_depth4,622.9649999999999,560,901,901,341,5,0.05398158299794886,True,3,0,True,61,66,0
terms_n24_0004_mixed,24,mixed,66,screen_single,622.9649999999999,560,901,901,341,5,0.007011208996118512,True,3,0,True,61,66,0
terms_n24_0005_deep,24,deep,174,adaptive_all_depth,1843.2849999999999,1672,2677,2677,1005,7,12.707841417017335,True,11,0,True,169,174,0
terms_n24_0005_deep,24,deep,174,depth2_guard_direct,1899.77,1724,2754,2754,1030,7,0.7222342080058297,True,7,0,True,168,174,0
terms_n24_0005_deep,24,deep,174,depth_frontier_policy,1843.2849999999999,1672,2677,2677,1005,7,8.93226154200238,True,11,0,True,169,174,0
terms_n24_0005_deep,24,deep,174,depth_policy,1899.77,1724,2754,2754,1030,7,0.7222342080058297,True,7,0,True,168,174,0
terms_n24_0005_deep,24,deep,174,direct_logical_and,2143.76,1948,3096,3096,1148,7,1.2500022421590984e-06,True,1,0,True,174,174,0
terms_n24_0005_deep,24,deep,174,screen_depth1,1973.72,1792,2856,2856,1064,7,0.14666954100539442,True,5,0,True,168,174,0
terms_n24_0005_deep,24,deep,174,screen_depth2,1899.77,1724,2754,2754,1030,7,0.7222342080058297,True,7,0,True,168,174,0
terms_n24_0005_deep,24,deep,174,screen_depth3,1865.035,1692,2707,2707,1015,7,2.88553208400117,True,9,0,True,169,174,0
