name,n,profile,term_count,method,score,T,CNOT,depth,gates,peak_ancilla,time_s,anf_verified,plan_nodes,plan_mismatches,circuit_anf_verified,circuit_gates,circuit_max_wire_terms,circuit_mismatches
terms_n32_0000_deep,32,deep,248,adaptive_all_depth,2800.3150000000005,2548,4058,4059,1511,7,2.2106225839961553,True,7,0,True,237,248,0
terms_n32_0000_deep,32,deep,248,depth2_guard_direct,2800.3150000000005,2548,4058,4059,1511,7,1.8007452089950675,True,7,0,True,237,248,0
terms_n32_0000_deep,32,deep,248,depth_policy,2800.3150000000005,2548,4058,4059,1511,7,1.8007452089950675,True,7,0,True,237,248,0
terms_n32_0000_deep,32,deep,248,direct_logical_and,3096.83,2820,4477,4478,1658,7,1.1250012903474271e-06,True,1,0,True,248,248,0
terms_n32_0000_deep,32,deep,248,screen_depth1,2883.16,2624,4175,4176,1552,7,0.3573919170012232,True,5,0,True,240,248,0
terms_n32_0000_deep,32,deep,248,screen_depth2,2800.3150000000005,2548,4058,4059,1511,7,1.8007452089950675,True,7,0,True,237,248,0
terms_n32_0000_deep,32,deep,248,screen_single,2987.885,2720,4324,4325,1605,7,0.05248545799986459,True,3,0,True,245,248,0
terms_n32_0001_shallow,32,shallow,47,adaptive_all_depth,279.065,252,424,425,173,1,0.027044666996516753,True,1,0,True,47,47,0
terms_n32_0001_shallow,32,shallow,47,depth2_guard_direct,279.065,252,424,425,173,1,0.009013208997203037,True,1,0,True,47,47,0
terms_n32_0001_shallow,32,shallow,47,depth_policy,279.065,252,424,425,173,1,0.009013208997203037,True,1,0,True,47,47,0
terms_n32_0001_shallow,32,shallow,47,direct_logical_and,279.065,252,424,425,173,1,1.0000003385357559e-06,True,1,0,True,47,47,0
terms_n32_0001_shallow,32,shallow,47,screen_depth1,279.065,252,424,425,173,1,0.009076499998627696,True,1,0,True,47,47,0
terms_n32_0001_shallow,32,shallow,47,screen_depth2,279.065,252,424,425,173,1,0.009013208997203037,True,1,0,True,47,47,0
terms_n32_0001_shallow,32,shallow,47,screen_single,279.065,252,424,425,173,1,0.00895495800068602,True,1,0,True,47,47,0
terms_n32_0002_mixed,32,mixed,154,adaptive_all_depth,1507.71,1368,2206,2206,838,5,1.3342270419962006,True,7,0,True,154,154,0
terms_n32_0002_mixed,32,mixed,154,depth2_guard_direct,1507.71,1368,2206,2206,838,5,1.0880881249977392,True,7,0,True,154,154,0
terms_n32_0002_mixed,32,mixed,154,depth_policy,1507.71,1368,2206,2206,838,5,1.0880881249977392,True,7,0,True,154,154,0
terms_n32_0002_mixed,32,mixed,154,direct_logical_and,1610.11,1464,2350,2350,886,4,1.0000003385357559e-06,True,1,0,True,154,154,0
terms_n32_0002_mixed,32,mixed,154,screen_depth1,1533.7450000000001,1392,2241,2241,849,5,0.21520179200160783,True,5,0,True,153,154,0
terms_n32_0002_mixed,32,mixed,154,screen_depth2,1507.71,1368,2206,2206,838,5,1.0880881249977392,True,7,0,True,154,154,0
terms_n32_0002_mixed,32,mixed,154,screen_single,1562.1299999999999,1420,2282,2282,862,4,0.030937124996853527,True,3,0,True,152,154,0
terms_n32_0003_deep,32,deep,150,adaptive_all_depth,1655.22,1504,2404,2404,900,5,1.3278839989943663,True,7,0,True,148,150,0
terms_n32_0003_deep,32,deep,150,depth2_guard_direct,1655.22,1504,2404,2404,900,5,1.0814819579973118,True,7,0,True,148,150,0
terms_n32_0003_deep,32,deep,150,depth_policy,1655.22,1504,2404,2404,900,5,1.0814819579973118,True,7,0,True,148,150,0
terms_n32_0003_deep,32,deep,150,direct_logical_and,1829.35,1664,2646,2646,982,5,1.0830044629983604e-06,True,1,0,True,150,150,0
terms_n32_0003_deep,32,deep,150,screen_depth1,1685.605,1532,2445,2445,913,5,0.214679790995433,True,5,0,True,147,150,0
terms_n32_0003_deep,32,deep,150,screen_depth2,1655.22,1504,2404,2404,900,5,1.0814819579973118,True,7,0,True,148,150,0
terms_n32_0003_deep,32,deep,150,screen_single,1737.8049999999998,1580,2517,2517,937,5,0.03172225000162143,True,3,0,True,147,150,0
terms_n32_0004_shallow,32,shallow,39,adaptive_all_depth,380.35,340,550,550,210,4,0.036486874996626284,True,3,0,True,40,39,0
terms_n32_0004_shallow,32,shallow,39,depth2_guard_direct,380.35,340,550,550,210,4,0.014213041999028064,True,3,0,True,40,39,0
terms_n32_0004_shallow,32,shallow,39,depth_policy,380.35,340,550,550,210,4,0.014213041999028064,True,3,0,True,40,39,0
terms_n32_0004_shallow,32,shallow,39,direct_logical_and,426.13500000000005,384,615,615,231,3,1.0000003385357559e-06,True,1,0,True,39,39,0
terms_n32_0004_shallow,32,shallow,39,screen_depth1,380.35,340,550,550,210,4,0.014213041999028064,True,3,0,True,40,39,0
terms_n32_0004_shallow,32,shallow,39,screen_depth2,380.35,340,550,550,210,4,0.014284749995567836,True,3,0,True,40,39,0
terms_n32_0004_shallow,32,shallow,39,screen_single,380.35,340,550,550,210,4,0.007989083002030384,True,3,0,True,40,39,0
terms_n32_0005_mixed,32,mixed,167,adaptive_all_depth,1521.28,1380,2232,2232,852,5,1.4183313320027082,True,7,0,True,162,167,0
terms_n32_0005_mixed,32,mixed,167,depth2_guard_direct,1521.28,1380,2232,2232,852,5,1.1546579580026446,True,7,0,True,162,167,0
terms_n32_0005_mixed,32,mixed,167,depth_policy,1521.28,1380,2232,2232,852,5,1.1546579580026446,True,7,0,True,162,167,0
terms_n32_0005_mixed,32,mixed,167,direct_logical_and,1786.955,1624,2603,2603,979,5,9.580035111866891e-07,True,1,0,True,167,167,0
terms_n32_0005_mixed,32,mixed,167,screen_depth1,1595.295,1448,2335,2335,887,5,0.2305160830001114,True,5,0,True,163,167,0
terms_n32_0005_mixed,32,mixed,167,screen_depth2,1521.28,1380,2232,2232,852,5,1.1546579580026446,True,7,0,True,162,167,0
terms_n32_0005_mixed,32,mixed,167,screen_single,1686.71,1532,2462,2462,930,5,0.03315729099995224,True,3,0,True,164,167,0
terms_n32_0006_deep,32,deep,187,adaptive_all_depth,1535.3449999999998,1388,2265,2265,877,7,1.6442337920016143,True,7,0,True,183,187,0
terms_n32_0006_deep,32,deep,187,depth2_guard_direct,1535.3449999999998,1388,2265,2265,877,7,1.340096166000876,True,7,0,True,183,187,0
terms_n32_0006_deep,32,deep,187,depth_policy,1535.3449999999998,1388,2265,2265,877,7,1.340096166000876,True,7,0,True,183,187,0
terms_n32_0006_deep,32,deep,187,direct_logical_and,1705.2549999999999,1544,2503,2503,959,7,9.170034900307655e-07,True,1,0,True,187,187,0
terms_n32_0006_deep,32,deep,187,screen_depth1,1578.845,1428,2325,2325,897,7,0.26564529199822573,True,5,0,True,183,187,0
terms_n32_0006_deep,32,deep,187,screen_depth2,1535.3449999999998,1388,2265,2265,877,7,1.340096166000876,True,7,0,True,183,187,0
terms_n32_0006_deep,32,deep,187,screen_single,1639.94,1484,2412,2412,928,7,0.03849233400251251,True,3,0,True,186,187,0
terms_n32_0007_shallow,32,shallow,36,adaptive_all_depth,210.57000000000002,184,314,314,130,4,0.03055987600237131,True,3,0,True,38,36,0
terms_n32_0007_shallow,32,shallow,36,depth2_guard_direct,210.57000000000002,184,314,314,130,4,0.012125333996664267,True,3,0,True,38,36,0
terms_n32_0007_shallow,32,shallow,36,depth_policy,210.57000000000002,184,314,314,130,4,0.012125333996664267,True,3,0,True,38,36,0
terms_n32_0007_shallow,32,shallow,36,direct_logical_and,230.19,204,342,342,138,3,7.080016075633466e-07,True,1,0,True,36,36,0
terms_n32_0007_shallow,32,shallow,36,screen_depth1,210.57000000000002,184,314,314,130,4,0.011997292000160087,True,3,0,True,38,36,0
terms_n32_0007_shallow,32,shallow,36,screen_depth2,210.57000000000002,184,314,314,130,4,0.012125333996664267,True,3,0,True,38,36,0
terms_n32_0007_shallow,32,shallow,36,screen_single,210.57000000000002,184,314,314,130,4,0.006437250005546957,True,3,0,True,38,36,0
terms_n32_0008_mixed,32,mixed,118,adaptive_all_depth,887.54,800,1316,1316,516,5,0.8865656659982051,True,7,0,True,116,118,0
