CNOT,T,anf_terms,correct,depth,explicit_ancilla,gates,method,n,n_qubits,name,peak_ancilla,score,skipped,terms,time_s,truth_table_hex
3,0,3,True,3,0,3,direct_anf,3,4,parity_n3,0,0.19499999999999998,,3,4.57763671875e-05,96
3,0,3,True,3,0,3,and_direct_anf,3,4,parity_n3,0,0.19499999999999998,,3,3.2901763916015625e-05,96
3,0,3,True,3,0,3,and_mcts_factor,3,4,parity_n3,0,0.19499999999999998,,3,8.988380432128906e-05,96
3,0,3,True,3,0,3,and_affine_nmcts,3,4,parity_n3,0,0.19499999999999998,,3,0.006646156311035156,96
52,32,3,True,64,0,32,and_cube_beam,3,4,parity_n3,1,37.36,,3,0.0002529621124267578,96
3,0,3,True,3,0,3,and_esop_milp,3,4,parity_n3,0,0.19499999999999998,,3,0.014827966690063477,96
16,8,3,True,20,0,10,sshr_h,3,4,parity_n3,0,9.040000000000001,,3,0.00023865699768066406,96
18,12,3,True,18,0,3,direct_anf,3,4,majority_n3,0,13.02,,3,2.8848648071289062e-05,E8
21,12,3,True,21,0,9,and_direct_anf,3,4,majority_n3,0,13.245,,3,2.288818359375e-05,E8
21,12,3,True,21,0,9,and_mcts_factor,3,4,majority_n3,0,13.245,,3,7.82012939453125e-05,E8
12,4,3,True,12,0,8,and_affine_nmcts,3,4,majority_n3,0,4.74,,2,0.004581928253173828,E8
27,16,3,True,33,0,17,and_cube_beam,3,4,majority_n3,1,19.745,,3,0.00016379356384277344,E8
11,4,3,True,11,0,6,sshr_h,3,4,majority_n3,0,4.665,,3,0.00023126602172851562,E8
18,12,3,True,18,0,3,direct_anf,3,4,threshold2_n3,0,13.02,,3,2.9802322387695312e-05,E8
21,12,3,True,21,0,9,and_direct_anf,3,4,threshold2_n3,0,13.245,,3,3.0040740966796875e-05,E8
21,12,3,True,21,0,9,and_mcts_factor,3,4,threshold2_n3,0,13.245,,3,9.179115295410156e-05,E8
12,4,3,True,12,0,8,and_affine_nmcts,3,4,threshold2_n3,0,4.74,,2,0.0067179203033447266,E8
27,16,3,True,33,0,17,and_cube_beam,3,4,threshold2_n3,1,19.745,,3,0.0002789497375488281,E8
21,12,3,True,21,0,9,and_esop_milp,3,4,majority_n3,0,13.245,,3,0.01803278923034668,E8
11,4,3,True,11,0,6,sshr_h,3,4,threshold2_n3,0,4.665,,3,4.6253204345703125e-05,E8
4,0,4,True,4,0,4,direct_anf,4,5,parity_n4,0,0.26,,4,2.5987625122070312e-05,6996
4,0,4,True,4,0,4,and_direct_anf,4,5,parity_n4,0,0.26,,4,2.5033950805664062e-05,6996
4,0,4,True,4,0,4,and_mcts_factor,4,5,parity_n4,0,0.26,,4,6.198883056640625e-05,6996
4,0,4,True,4,0,4,and_affine_nmcts,4,5,parity_n4,0,0.26,,4,0.005116939544677734,6996
