name,n,profile,term_count,truth_build_time_s,method,score,T,CNOT,depth,gates,peak_ancilla,schedule_logical_depth,schedule_cnot_depth_proxy,schedule_t_depth_proxy,explicit_ancilla_live_peak,explicit_ancilla_lifetime_area,plan_time_s,truth_verify_time_s,truth_verified,anf_verified,plan_nodes,plan_mismatches,circuit_anf_verified,circuit_gates,circuit_max_wire_terms,circuit_mismatches
truth_bridge_n24_000_shallow,24,shallow,64,0.09848608299216721,adaptive_all_depth,505.45,452,738,738,286,5,60,530,215,1,20,0.23982725001405925,0.06089024999528192,True,True,5,0,True,60,64,0
truth_bridge_n24_000_shallow,24,shallow,64,0.09848608299216721,depth2_guard_direct,505.45,452,738,738,286,5,60,530,215,1,20,0.05795287500950508,0.06899854200310074,True,True,5,0,True,60,64,0
truth_bridge_n24_000_shallow,24,shallow,64,0.09848608299216721,depth_frontier_policy,505.45,452,738,738,286,5,60,530,215,1,20,0.05795287500950508,0.06899854200310074,True,True,5,0,True,60,64,0
truth_bridge_n24_000_shallow,24,shallow,64,0.09848608299216721,depth_policy,505.45,452,738,738,286,5,60,530,215,1,20,0.02841550001176074,0.06089024999528192,True,True,5,0,True,60,64,0
truth_bridge_n24_000_shallow,24,shallow,64,0.09848608299216721,direct_logical_and,673.3599999999999,608,976,976,368,4,64,686,291,0,0,1.0499992640689015e-05,0.11588283299352042,True,True,1,0,True,64,64,0
truth_bridge_n24_000_shallow,24,shallow,64,0.09848608299216721,screen_depth1,505.45,452,738,738,286,5,60,530,215,1,20,0.02841550001176074,0.06089024999528192,True,True,5,0,True,60,64,0
truth_bridge_n24_000_shallow,24,shallow,64,0.09848608299216721,screen_depth2,505.45,452,738,738,286,5,60,530,215,1,20,0.05795287500950508,0.06899854200310074,True,True,5,0,True,60,64,0
truth_bridge_n24_000_shallow,24,shallow,64,0.09848608299216721,screen_depth3,505.45,452,738,738,286,5,60,530,215,1,20,0.072888624999905,0.0645269160013413,True,True,5,0,True,60,64,0
truth_bridge_n24_000_shallow,24,shallow,64,0.09848608299216721,screen_depth4,505.45,452,738,738,286,5,60,530,215,1,20,0.07299566599249374,0.04641170900140423,True,True,5,0,True,60,64,0
truth_bridge_n24_000_shallow,24,shallow,64,0.09848608299216721,screen_single,557.65,500,810,810,310,5,59,581,239,1,12,0.00757458400039468,0.07219279199489392,True,True,3,0,True,60,64,0
truth_bridge_n24_001_mixed,24,mixed,134,0.23513983300654218,adaptive_all_depth,1197.1950000000002,1084,1754,1755,671,5,127,1170,527,1,45,9.072321416970226,0.12711216599564068,True,True,11,0,True,129,134,0
truth_bridge_n24_001_mixed,24,mixed,134,0.23513983300654218,depth2_guard_direct,1262.38,1144,1843,1844,700,5,126,1240,555,1,30,0.534625332991709,0.1378099590074271,True,True,7,0,True,128,134,0
truth_bridge_n24_001_mixed,24,mixed,134,0.23513983300654218,depth_frontier_policy,1197.1950000000002,1084,1754,1755,671,5,127,1170,527,1,45,6.327134166989708,0.12711216599564068,True,True,11,0,True,129,134,0
truth_bridge_n24_001_mixed,24,mixed,134,0.23513983300654218,depth_policy,1262.38,1144,1843,1844,700,5,126,1240,555,1,30,0.534625332991709,0.1378099590074271,True,True,7,0,True,128,134,0
truth_bridge_n24_001_mixed,24,mixed,134,0.23513983300654218,direct_logical_and,1506.3700000000001,1368,2185,2186,818,5,134,1442,665,0,0,8.540999260731041e-06,0.21467895900423173,True,True,1,0,True,134,134,0
truth_bridge_n24_001_mixed,24,mixed,134,0.23513983300654218,screen_depth1,1323.28,1200,1927,1928,728,5,126,1292,583,1,22,0.10872687499795575,0.15701162500772625,True,True,5,0,True,128,134,0
truth_bridge_n24_001_mixed,24,mixed,134,0.23513983300654218,screen_depth2,1262.38,1144,1843,1844,700,5,126,1240,555,1,30,0.534625332991709,0.1378099590074271,True,True,7,0,True,128,134,0
truth_bridge_n24_001_mixed,24,mixed,134,0.23513983300654218,screen_depth3,1214.53,1100,1777,1778,678,5,126,1192,533,1,38,2.0858092089911224,0.14765916600299533,True,True,9,0,True,128,134,0
truth_bridge_n24_001_mixed,24,mixed,134,0.23513983300654218,screen_depth4,1197.1950000000002,1084,1754,1755,671,5,127,1170,527,1,45,6.327134166989708,0.12711216599564068,True,True,11,0,True,129,134,0
truth_bridge_n24_001_mixed,24,mixed,134,0.23513983300654218,screen_single,1388.595,1260,2018,2019,759,5,127,1346,613,1,13,0.016025832999730483,0.16340304199547973,True,True,3,0,True,129,134,0
truth_bridge_n24_002_deep,24,deep,219,0.37456929200561717,adaptive_all_depth,2204.8050000000003,2004,3213,3213,1209,6,205,2228,967,1,52,16.48853645901545,0.21380691601370927,True,True,11,0,True,207,219,0
truth_bridge_n24_002_deep,24,deep,219,0.37456929200561717,depth2_guard_direct,2326.93,2116,3386,3386,1270,6,207,2319,1022,2,38,0.9745582920004381,0.23401800000283401,True,True,9,0,True,212,219,0
truth_bridge_n24_002_deep,24,deep,219,0.37456929200561717,depth_frontier_policy,2204.8050000000003,2004,3213,3213,1209,6,205,2228,967,1,52,11.536306499998318,0.21380691601370927,True,True,11,0,True,207,219,0
truth_bridge_n24_002_deep,24,deep,219,0.37456929200561717,depth_policy,2326.93,2116,3386,3386,1270,6,207,2319,1022,2,38,0.9745582920004381,0.23401800000283401,True,True,9,0,True,212,219,0
truth_bridge_n24_002_deep,24,deep,219,0.37456929200561717,direct_logical_and,2570.9849999999997,2340,3729,3729,1389,6,219,2586,1129,0,0,8.957998943515122e-06,0.3053560410044156,True,True,1,0,True,219,219,0
truth_bridge_n24_002_deep,24,deep,219,0.37456929200561717,screen_depth1,2396.7250000000004,2180,3485,3485,1305,6,210,2393,1053,2,27,0.1936010829958832,0.2618667080096202,True,True,7,0,True,215,219,0
truth_bridge_n24_002_deep,24,deep,219,0.37456929200561717,screen_depth2,2326.93,2116,3386,3386,1270,6,207,2319,1022,2,38,0.9745582920004381,0.23401800000283401,True,True,9,0,True,212,219,0
truth_bridge_n24_002_deep,24,deep,219,0.37456929200561717,screen_depth3,2257.1349999999998,2052,3287,3287,1235,6,207,2284,989,1,42,3.75481083401246,0.2348608750035055,True,True,9,0,True,209,219,0
truth_bridge_n24_002_deep,24,deep,219,0.37456929200561717,screen_depth4,2204.8050000000003,2004,3213,3213,1209,6,205,2228,967,1,52,11.536306499998318,0.21380691601370927,True,True,11,0,True,207,219,0
truth_bridge_n24_002_deep,24,deep,219,0.37456929200561717,screen_single,2479.44,2256,3600,3600,1344,6,214,2498,1088,1,11,0.029259750008350238,0.28764566700556315,True,True,3,0,True,216,219,0
truth_bridge_n24_003_shallow,24,shallow,65,0.10494983299577143,adaptive_all_depth,475.45500000000004,424,703,703,279,5,65,540,195,1,22,0.9541071659914451,0.07264283299446106,True,True,7,0,True,67,65,0
truth_bridge_n24_003_shallow,24,shallow,65,0.10494983299577143,depth2_guard_direct,475.45500000000004,424,703,703,279,5,65,540,195,1,22,0.14461225000559352,0.07264283299446106,True,True,7,0,True,67,65,0
truth_bridge_n24_003_shallow,24,shallow,65,0.10494983299577143,depth_frontier_policy,475.45500000000004,424,703,703,279,5,65,540,195,1,22,0.14461225000559352,0.07264283299446106,True,True,7,0,True,67,65,0
truth_bridge_n24_003_shallow,24,shallow,65,0.10494983299577143,depth_policy,488.375,436,719,719,283,5,63,556,200,1,16,0.04358829199918546,0.07107324998651166,True,True,5,0,True,65,65,0
truth_bridge_n24_003_shallow,24,shallow,65,0.10494983299577143,direct_logical_and,595.125,536,869,869,333,4,65,646,249,0,0,7.624999852851033e-06,0.12528037499578204,True,True,1,0,True,65,65,0
