baseline_CNOT,baseline_T,baseline_depth,baseline_peak_ancilla,baseline_score,baseline_time_s,name,relative_CNOT_pct,relative_T_pct,relative_depth_pct,relative_peak_ancilla_pct,relative_score_pct,relative_time_s_pct,target_CNOT,target_T,target_depth,target_peak_ancilla,target_score,target_time_s
73.0,36.0,73.0,1.0,42.385,3.6218209266662598,anf_n16_0,0.0,0.0,0.0,0.0,0.0,-7.583974951514112,73.0,36.0,73.0,1.0,42.385,3.3471429347991943
5154.0,2952.0,5154.0,4.0,3263.39,58.504660844802856,anf_n16_1,-0.3686457120682965,-0.13550135501355012,-0.3686457120682965,0.0,-0.15735171095087513,14.341655694410656,5135.0,2948.0,5135.0,4.0,3258.255,66.89519786834717
4029.0,2336.0,4029.0,4.0,2581.5049999999997,45.504640102386475,anf_n16_10,-0.4964010920824026,0.0,-0.4964010920824026,0.0,-0.046484511941652776,10.59299007471926,4009.0,2336.0,4009.0,4.0,2580.3050000000003,50.324942111968994
613.0,328.0,613.0,2.0,368.28499999999997,23.505558013916016,anf_n16_11,0.0,0.0,0.0,0.0,0.0,15.649941308125282,613.0,328.0,613.0,2.0,368.28499999999997,27.18416404724121
4445.0,2584.0,4445.0,4.0,2854.0250000000005,51.2577600479126,anf_n16_12,0.0,0.0,0.0,0.0,0.0,10.069168224393483,4445.0,2584.0,4445.0,4.0,2854.0250000000005,56.41899013519287
28.0,16.0,28.0,0.0,17.660000000000004,3.795423984527588,anf_n16_13,0.0,0.0,0.0,0.0,0.0,-13.77843883993391,28.0,16.0,28.0,0.0,17.660000000000004,3.2724738121032715
845.0,444.0,846.0,2.0,498.09000000000003,34.764431953430176,anf_n16_14,-0.4733727810650888,-0.9009009009009009,-0.4728132387706856,0.0,-0.8472364432130794,14.859106547969287,841.0,440.0,842.0,2.0,493.87,39.930115938186646
17641.0,10416.0,17641.0,5.0,11463.005,110.35134887695312,anf_n16_15,0.0,0.0,0.0,0.0,0.0,-9.5978455122839,17641.0,10416.0,17641.0,5.0,11463.005,99.75999689102173
543.0,288.0,543.0,2.0,324.15500000000003,19.880277156829834,anf_n16_16,0.0,0.0,0.0,0.0,0.0,12.84710796658819,543.0,288.0,543.0,2.0,324.15500000000003,22.43431782722473
10217.0,5896.0,10218.0,5.0,6506.7300000000005,215.8251039981842,anf_n16_17,0.0,0.0,0.0,0.0,0.0,16.121438316881438,10217.0,5896.0,10218.0,5.0,6506.7300000000005,250.61921501159668
