assignment,bits_x4_to_x0,x0,x1,x2,x3,x4,f
0,00000,0,0,0,0,0,0
1,00001,1,0,0,0,0,0
2,00010,0,1,0,0,0,0
3,00011,1,1,0,0,0,0
4,00100,0,0,1,0,0,0
5,00101,1,0,1,0,0,0
6,00110,0,1,1,0,0,0
7,00111,1,1,1,0,0,1
8,01000,0,0,0,1,0,0
9,01001,1,0,0,1,0,0
10,01010,0,1,0,1,0,0
11,01011,1,1,0,1,0,1
12,01100,0,0,1,1,0,0
13,01101,1,0,1,1,0,0
14,01110,0,1,1,1,0,1
15,01111,1,1,1,1,0,1
16,10000,0,0,0,0,1,0
17,10001,1,0,0,0,1,0
18,10010,0,1,0,0,1,0
19,10011,1,1,0,0,1,1
20,10100,0,0,1,0,1,0
21,10101,1,0,1,0,1,0
22,10110,0,1,1,0,1,0
23,10111,1,1,1,0,1,0
24,11000,0,0,0,1,1,0
25,11001,1,0,0,1,1,0
26,11010,0,1,0,1,1,0
27,11011,1,1,0,1,1,0
28,11100,0,0,1,1,1,1
29,11101,1,0,1,1,1,1
30,11110,0,1,1,1,1,0
31,11111,1,1,1,1,1,1
