row_type,budget,method,pairs,gate_enabled,gate_fraction,score_wins,score_losses,score_ties,learned_score_wins,learned_score_losses,learned_score_ties,retained_learned_wins,mean_score_relative,mean_always_learned_score_relative,mean_time_relative,mean_always_learned_time_relative,learned_overhead_reduction,status
budget_aggregate,top8_s8_n12,all_methods,531,393,0.7401129943502824,109,0,422,109,0,422,True,-0.010408473380401038,-0.010408473380401038,0.17636619175118243,0.22319650391954682,0.20981651300974138,pass
method_budget,top8_s8_n12,and_affine_nmcts,177,131,0.7401129943502824,42,0,135,42,0,135,True,-0.012824796928832621,-0.012824796928832621,0.2431527393584134,0.3660074408029441,0.33566175915717206,pass
method_budget,top8_s8_n12,and_resource_nmcts,177,131,0.7401129943502824,38,0,139,38,0,139,True,-0.01064754600666657,-0.01064754600666657,0.19078596781152934,0.20746518180396142,0.08039524438463437,pass
method_budget,top8_s8_n12,and_pareto_resource_nmcts,177,131,0.7401129943502824,29,0,148,29,0,148,True,-0.007753077205703922,-0.007753077205703922,0.09515986808360456,0.09611688915173491,0.009956846050432924,pass
budget_aggregate,top12_s12_n16,all_methods,531,393,0.7401129943502824,109,0,422,109,0,422,True,-0.010408473380401038,-0.010408473380401038,0.23907827818508937,0.2611532866844615,0.08452893233560675,pass
method_budget,top12_s12_n16,and_affine_nmcts,177,131,0.7401129943502824,42,0,135,42,0,135,True,-0.012824796928832621,-0.012824796928832621,0.3042847847849997,0.3421293948750172,0.11061490376716229,pass
method_budget,top12_s12_n16,and_resource_nmcts,177,131,0.7401129943502824,38,0,139,38,0,139,True,-0.01064754600666657,-0.01064754600666657,0.2661712519771108,0.2862101734452472,0.07001470711861299,pass
method_budget,top12_s12_n16,and_pareto_resource_nmcts,177,131,0.7401129943502824,29,0,148,29,0,148,True,-0.007753077205703922,-0.007753077205703922,0.14677879779315767,0.15512029173312017,0.053774356963651106,pass
budget_aggregate,top24_s24_n32,all_methods,531,393,0.7401129943502824,110,0,421,110,0,421,True,-0.011141795417794927,-0.011141795417794927,0.46807054243216695,0.5503297502321374,0.14947258033074218,pass
method_budget,top24_s24_n32,and_affine_nmcts,177,131,0.7401129943502824,42,0,135,42,0,135,True,-0.014692186222159192,-0.014692186222159192,0.7365250960852417,0.9121617332714514,0.1925498853764585,pass
method_budget,top24_s24_n32,and_resource_nmcts,177,131,0.7401129943502824,39,0,138,39,0,138,True,-0.010980122825521667,-0.010980122825521667,0.5019280627477767,0.5511397546172127,0.08929076782642062,pass
method_budget,top24_s24_n32,and_pareto_resource_nmcts,177,131,0.7401129943502824,29,0,148,29,0,148,True,-0.007753077205703922,-0.007753077205703922,0.16575846846348238,0.18768776280774802,0.1168392335025497,pass
all_aggregate,all,all_methods,1593,1179,0.7401129943502824,328,0,1265,328,0,1265,True,-0.010652914059532335,-0.010652914059532335,0.29450500412281294,0.34489318027871524,0.14609791969554917,pass
