method,functions,mean_T,mean_CNOT,mean_depth,mean_peak_ancilla,mean_score,mean_time_s
root_beam4_oracle_eval,10,5484.0000,8889.0000,8889.4000,3.9000,6013.5630,0.178812
root_direct,12,5609.3333,8787.3333,8787.8333,2.4167,6129.2625,0.610105
root_heuristic_top1,10,5491.6000,8897.2000,8897.6000,3.9000,6021.6340,0.071749
root_neural_top12,10,5482.0000,8890.6000,8891.0000,3.9000,6011.6670,0.000532
root_neural_top4,10,5483.2000,8890.5000,8890.9000,3.9000,6012.8565,0.003886
root_neural_top8,10,5482.4000,8889.9000,8890.3000,3.9000,6012.0215,0.000483
root_oracle12,10,5478.8000,8888.3000,8888.7000,3.9000,6008.3395,0.431114
root_oracle24,10,5478.8000,8888.3000,8888.7000,3.9000,6008.3395,0.624999
root_union_h4_n12,10,5480.4000,8887.0000,8887.4000,3.9000,6009.8550,0.000572
root_union_h4_n4,10,5481.2000,8887.6000,8888.0000,3.9000,6010.6900,0.000433
root_union_h4_n8,10,5480.4000,8887.0000,8887.4000,3.9000,6009.8550,0.000468
